team,games,covers,pushes,wins,cover_rate,win_rate
Seattle Seahawks,20,16,0,17,0.8,0.85
Jacksonville Jaguars,18,13,0,13,0.7222222222222222,0.7222222222222222
New England Patriots,21,15,0,17,0.7142857142857143,0.8095238095238095
Chicago Bears,19,13,0,12,0.6842105263157895,0.631578947368421
San Francisco 49ers,19,12,0,13,0.631578947368421,0.6842105263157895
New Orleans Saints,17,10,0,6,0.5882352941176471,0.35294117647058826
Denver Broncos,19,11,0,15,0.5789473684210527,0.7894736842105263
Carolina Panthers,18,10,0,8,0.5555555555555556,0.4444444444444444
Philadelphia Eagles,18,10,0,11,0.5555555555555556,0.6111111111111112
Los Angeles Chargers,18,10,0,11,0.5555555555555556,0.6111111111111112
Los Angeles Rams,20,11,0,13,0.55,0.65
Detroit Lions,17,9,0,10,0.5294117647058824,0.5882352941176471
Indianapolis Colts,17,9,0,8,0.5294117647058824,0.47058823529411764
Cleveland Browns,17,9,0,5,0.5294117647058824,0.29411764705882354
Atlanta Falcons,17,9,0,8,0.5294117647058824,0.47058823529411764
Houston Texans,19,10,0,13,0.5263157894736842,0.6842105263157895
Pittsburgh Steelers,18,9,0,10,0.5,0.5555555555555556
Dallas Cowboys,17,8,1,7,0.47058823529411764,0.4117647058823529
Minnesota Vikings,17,8,0,9,0.47058823529411764,0.5294117647058824
Buffalo Bills,19,8,2,13,0.42105263157894735,0.6842105263157895
New York Jets,17,7,0,3,0.4117647058823529,0.17647058823529413
Las Vegas Raiders,17,7,0,3,0.4117647058823529,0.17647058823529413
Tennessee Titans,17,6,0,3,0.35294117647058826,0.17647058823529413
Arizona Cardinals,17,6,0,3,0.35294117647058826,0.17647058823529413
New York Giants,17,6,2,4,0.35294117647058826,0.23529411764705882
Miami Dolphins,17,6,1,7,0.35294117647058826,0.4117647058823529
Cincinnati Bengals,17,6,0,6,0.35294117647058826,0.35294117647058826
Baltimore Ravens,17,6,1,8,0.35294117647058826,0.47058823529411764
Washington Commanders,17,6,0,5,0.35294117647058826,0.29411764705882354
Kansas City Chiefs,17,5,0,6,0.29411764705882354,0.35294117647058826
Tampa Bay Buccaneers,17,5,0,8,0.29411764705882354,0.47058823529411764
Green Bay Packers,18,5,1,9,0.2777777777777778,0.5
