week,week_num,away_covers,n,away_cover_rate
1,0,7,15,0.4666666666666667
2,1,9,15,0.6
3,2,5,15,0.3333333333333333
4,3,5,16,0.3125
5,4,9,14,0.6428571428571429
6,5,7,15,0.4666666666666667
7,6,6,15,0.4
8,7,5,13,0.38461538461538464
9,8,9,14,0.6428571428571429
10,9,8,14,0.5714285714285714
11,10,5,14,0.35714285714285715
12,11,7,14,0.5
13,12,9,16,0.5625
14,13,8,14,0.5714285714285714
15,14,7,16,0.4375
16,15,10,16,0.625
17,16,10,16,0.625
18,17,7,16,0.4375
WC,18,3,6,0.5
DIV,19,0,4,0.0
CC,20,0,2,0.0
SB,21,1,1,1.0
