timestamp,datetime,team,side,probability,week,date,away_team,home_team
1764547210,2025-12-01 00:00:10,Arizona Cardinals,away,0.5,15,2025-12-14,Arizona Cardinals,Houston Texans
1764547221,2025-12-01 00:00:21,Houston Texans,home,0.5,15,2025-12-14,Arizona Cardinals,Houston Texans
1764590423,2025-12-01 12:00:23,Arizona Cardinals,away,0.495,15,2025-12-14,Arizona Cardinals,Houston Texans
1764590436,2025-12-01 12:00:36,Houston Texans,home,0.505,15,2025-12-14,Arizona Cardinals,Houston Texans
1764633608,2025-12-02 00:00:08,Arizona Cardinals,away,0.505,15,2025-12-14,Arizona Cardinals,Houston Texans
1764633614,2025-12-02 00:00:14,Houston Texans,home,0.495,15,2025-12-14,Arizona Cardinals,Houston Texans
1764676813,2025-12-02 12:00:13,Arizona Cardinals,away,0.585,15,2025-12-14,Arizona Cardinals,Houston Texans
1764676825,2025-12-02 12:00:25,Houston Texans,home,0.415,15,2025-12-14,Arizona Cardinals,Houston Texans
1764720011,2025-12-03 00:00:11,Arizona Cardinals,away,0.495,15,2025-12-14,Arizona Cardinals,Houston Texans
1764720022,2025-12-03 00:00:22,Houston Texans,home,0.505,15,2025-12-14,Arizona Cardinals,Houston Texans
1764763214,2025-12-03 12:00:14,Arizona Cardinals,away,0.315,15,2025-12-14,Arizona Cardinals,Houston Texans
1764763229,2025-12-03 12:00:29,Houston Texans,home,0.685,15,2025-12-14,Arizona Cardinals,Houston Texans
1764806409,2025-12-04 00:00:09,Arizona Cardinals,away,0.285,15,2025-12-14,Arizona Cardinals,Houston Texans
1764806414,2025-12-04 00:00:14,Houston Texans,home,0.715,15,2025-12-14,Arizona Cardinals,Houston Texans
1764849614,2025-12-04 12:00:14,Arizona Cardinals,away,0.265,15,2025-12-14,Arizona Cardinals,Houston Texans
1764849629,2025-12-04 12:00:29,Houston Texans,home,0.735,15,2025-12-14,Arizona Cardinals,Houston Texans
1764892810,2025-12-05 00:00:10,Arizona Cardinals,away,0.295,15,2025-12-14,Arizona Cardinals,Houston Texans
1764892816,2025-12-05 00:00:16,Houston Texans,home,0.705,15,2025-12-14,Arizona Cardinals,Houston Texans
1764936011,2025-12-05 12:00:11,Arizona Cardinals,away,0.305,15,2025-12-14,Arizona Cardinals,Houston Texans
1764936018,2025-12-05 12:00:18,Houston Texans,home,0.695,15,2025-12-14,Arizona Cardinals,Houston Texans
1764979211,2025-12-06 00:00:11,Arizona Cardinals,away,0.285,15,2025-12-14,Arizona Cardinals,Houston Texans
1764979217,2025-12-06 00:00:17,Houston Texans,home,0.715,15,2025-12-14,Arizona Cardinals,Houston Texans
1765022411,2025-12-06 12:00:11,Arizona Cardinals,away,0.285,15,2025-12-14,Arizona Cardinals,Houston Texans
1765022418,2025-12-06 12:00:18,Houston Texans,home,0.715,15,2025-12-14,Arizona Cardinals,Houston Texans
1765065623,2025-12-07 00:00:23,Arizona Cardinals,away,0.3,15,2025-12-14,Arizona Cardinals,Houston Texans
1765065630,2025-12-07 00:00:30,Houston Texans,home,0.7,15,2025-12-14,Arizona Cardinals,Houston Texans
1765108811,2025-12-07 12:00:11,Arizona Cardinals,away,0.285,15,2025-12-14,Arizona Cardinals,Houston Texans
1765108820,2025-12-07 12:00:20,Houston Texans,home,0.715,15,2025-12-14,Arizona Cardinals,Houston Texans
1765152022,2025-12-08 00:00:22,Arizona Cardinals,away,0.275,15,2025-12-14,Arizona Cardinals,Houston Texans
1765152029,2025-12-08 00:00:29,Houston Texans,home,0.725,15,2025-12-14,Arizona Cardinals,Houston Texans
1765195222,2025-12-08 12:00:22,Arizona Cardinals,away,0.215,15,2025-12-14,Arizona Cardinals,Houston Texans
1765195230,2025-12-08 12:00:30,Houston Texans,home,0.785,15,2025-12-14,Arizona Cardinals,Houston Texans
1765238420,2025-12-09 00:00:20,Arizona Cardinals,away,0.19,15,2025-12-14,Arizona Cardinals,Houston Texans
1765238427,2025-12-09 00:00:27,Houston Texans,home,0.81,15,2025-12-14,Arizona Cardinals,Houston Texans
