timestamp,datetime,team,side,probability,week,date,away_team,home_team
1759665605,2025-10-05 12:00:05,Indianapolis Colts,home,0.655,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759665609,2025-10-05 12:00:09,Arizona Cardinals,away,0.345,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759708805,2025-10-06 00:00:05,Arizona Cardinals,away,0.31,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759708809,2025-10-06 00:00:09,Indianapolis Colts,home,0.69,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759752006,2025-10-06 12:00:06,Arizona Cardinals,away,0.31,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759752010,2025-10-06 12:00:10,Indianapolis Colts,home,0.69,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759795206,2025-10-07 00:00:06,Arizona Cardinals,away,0.265,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759795206,2025-10-07 00:00:06,Indianapolis Colts,home,0.735,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759838405,2025-10-07 12:00:05,Indianapolis Colts,home,0.725,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759838413,2025-10-07 12:00:13,Arizona Cardinals,away,0.275,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759881605,2025-10-08 00:00:05,Arizona Cardinals,away,0.265,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759881612,2025-10-08 00:00:12,Indianapolis Colts,home,0.735,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759924813,2025-10-08 12:00:13,Arizona Cardinals,away,0.265,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759924816,2025-10-08 12:00:16,Indianapolis Colts,home,0.735,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759968006,2025-10-09 00:00:06,Arizona Cardinals,away,0.255,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1759968008,2025-10-09 00:00:08,Indianapolis Colts,home,0.745,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1760011213,2025-10-09 12:00:13,Indianapolis Colts,home,0.745,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1760011214,2025-10-09 12:00:14,Arizona Cardinals,away,0.255,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1760054414,2025-10-10 00:00:14,Indianapolis Colts,home,0.765,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1760054415,2025-10-10 00:00:15,Arizona Cardinals,away,0.235,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1760097615,2025-10-10 12:00:15,Indianapolis Colts,home,0.765,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1760097619,2025-10-10 12:00:19,Arizona Cardinals,away,0.235,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1760140803,2025-10-11 00:00:03,Indianapolis Colts,home,0.755,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1760140807,2025-10-11 00:00:07,Arizona Cardinals,away,0.245,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1760184014,2025-10-11 12:00:14,Indianapolis Colts,home,0.755,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1760184021,2025-10-11 12:00:21,Arizona Cardinals,away,0.245,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1760227212,2025-10-12 00:00:12,Indianapolis Colts,home,0.765,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1760227218,2025-10-12 00:00:18,Arizona Cardinals,away,0.235,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1760270414,2025-10-12 12:00:14,Arizona Cardinals,away,0.195,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
1760270418,2025-10-12 12:00:18,Indianapolis Colts,home,0.805,6,2025-10-12,Arizona Cardinals,Indianapolis Colts
