timestamp,datetime,team,side,probability,week,date,away_team,home_team
1762084818,2025-11-02 12:00:18,Arizona Cardinals,away,0.32,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762084827,2025-11-02 12:00:27,Seattle Seahawks,home,0.68,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762128014,2025-11-03 00:00:14,Arizona Cardinals,away,0.26,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762128021,2025-11-03 00:00:21,Seattle Seahawks,home,0.74,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762171217,2025-11-03 12:00:17,Arizona Cardinals,away,0.24,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762171227,2025-11-03 12:00:27,Seattle Seahawks,home,0.76,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762214415,2025-11-04 00:00:15,Arizona Cardinals,away,0.25,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762214421,2025-11-04 00:00:21,Seattle Seahawks,home,0.75,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762257620,2025-11-04 12:00:20,Arizona Cardinals,away,0.26,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762257630,2025-11-04 12:00:30,Seattle Seahawks,home,0.74,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762300816,2025-11-05 00:00:16,Arizona Cardinals,away,0.275,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762300824,2025-11-05 00:00:24,Seattle Seahawks,home,0.725,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762344020,2025-11-05 12:00:20,Arizona Cardinals,away,0.265,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762344031,2025-11-05 12:00:31,Seattle Seahawks,home,0.735,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762387210,2025-11-06 00:00:10,Arizona Cardinals,away,0.255,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762387214,2025-11-06 00:00:14,Seattle Seahawks,home,0.745,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762430421,2025-11-06 12:00:21,Arizona Cardinals,away,0.255,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762430433,2025-11-06 12:00:33,Seattle Seahawks,home,0.745,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762473615,2025-11-07 00:00:15,Arizona Cardinals,away,0.255,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762473624,2025-11-07 00:00:24,Seattle Seahawks,home,0.745,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762516821,2025-11-07 12:00:21,Arizona Cardinals,away,0.255,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762516832,2025-11-07 12:00:32,Seattle Seahawks,home,0.745,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762560011,2025-11-08 00:00:11,Arizona Cardinals,away,0.255,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762560015,2025-11-08 00:00:15,Seattle Seahawks,home,0.745,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762603233,2025-11-08 12:00:33,Arizona Cardinals,away,0.255,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762603242,2025-11-08 12:00:42,Seattle Seahawks,home,0.745,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762646428,2025-11-09 00:00:28,Arizona Cardinals,away,0.255,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762646435,2025-11-09 00:00:35,Seattle Seahawks,home,0.745,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762689618,2025-11-09 12:00:18,Arizona Cardinals,away,0.255,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762689628,2025-11-09 12:00:28,Seattle Seahawks,home,0.745,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762732811,2025-11-10 00:00:11,Arizona Cardinals,away,0.0035,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
1762732815,2025-11-10 00:00:15,Seattle Seahawks,home,0.9965,10,2025-11-09,Arizona Cardinals,Seattle Seahawks
