timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765238421,2025-12-09 00:00:21,Arizona Cardinals,home,0.42,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765238428,2025-12-09 00:00:28,Atlanta Falcons,away,0.58,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765281609,2025-12-09 12:00:09,Arizona Cardinals,home,0.4,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765281617,2025-12-09 12:00:17,Atlanta Falcons,away,0.6,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765324810,2025-12-10 00:00:10,Arizona Cardinals,home,0.44,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765324815,2025-12-10 00:00:15,Atlanta Falcons,away,0.56,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765368014,2025-12-10 12:00:14,Arizona Cardinals,home,0.52,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765368031,2025-12-10 12:00:31,Atlanta Falcons,away,0.48,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765411210,2025-12-11 00:00:10,Arizona Cardinals,home,0.52,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765411216,2025-12-11 00:00:16,Atlanta Falcons,away,0.48,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765454411,2025-12-11 12:00:11,Arizona Cardinals,home,0.52,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765454418,2025-12-11 12:00:18,Atlanta Falcons,away,0.48,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765497610,2025-12-12 00:00:10,Arizona Cardinals,home,0.52,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765497617,2025-12-12 00:00:17,Atlanta Falcons,away,0.48,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765540810,2025-12-12 12:00:10,Arizona Cardinals,home,0.52,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765540819,2025-12-12 12:00:19,Atlanta Falcons,away,0.48,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765584011,2025-12-13 00:00:11,Arizona Cardinals,home,0.515,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765584019,2025-12-13 00:00:19,Atlanta Falcons,away,0.485,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765627211,2025-12-13 12:00:11,Arizona Cardinals,home,0.5,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765627221,2025-12-13 12:00:21,Atlanta Falcons,away,0.5,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765670411,2025-12-14 00:00:11,Arizona Cardinals,home,0.5,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765670420,2025-12-14 00:00:20,Atlanta Falcons,away,0.5,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765713611,2025-12-14 12:00:11,Arizona Cardinals,home,0.49,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765713620,2025-12-14 12:00:20,Atlanta Falcons,away,0.51,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765756811,2025-12-15 00:00:11,Arizona Cardinals,home,0.495,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765756822,2025-12-15 00:00:22,Atlanta Falcons,away,0.505,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765800009,2025-12-15 12:00:09,Arizona Cardinals,home,0.455,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765800018,2025-12-15 12:00:18,Atlanta Falcons,away,0.545,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765843209,2025-12-16 00:00:09,Arizona Cardinals,home,0.42,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765843218,2025-12-16 00:00:18,Atlanta Falcons,away,0.58,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765886422,2025-12-16 12:00:22,Arizona Cardinals,home,0.415,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
1765886432,2025-12-16 12:00:32,Atlanta Falcons,away,0.585,16,2025-12-21,Atlanta Falcons,Arizona Cardinals
