timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757851208,2025-09-14 12:00:08,Atlanta Falcons,away,0.58,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1757851228,2025-09-14 12:00:28,Carolina Panthers,home,0.42,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1757894407,2025-09-15 00:00:07,Atlanta Falcons,away,0.62,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1757894414,2025-09-15 00:00:14,Carolina Panthers,home,0.38,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1757937612,2025-09-15 12:00:12,Atlanta Falcons,away,0.7,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1757937618,2025-09-15 12:00:18,Carolina Panthers,home,0.3,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1757980805,2025-09-16 00:00:05,Carolina Panthers,home,0.315,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1757980814,2025-09-16 00:00:14,Atlanta Falcons,away,0.685,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758024012,2025-09-16 12:00:12,Carolina Panthers,home,0.305,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758024014,2025-09-16 12:00:14,Atlanta Falcons,away,0.695,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758067204,2025-09-17 00:00:04,Atlanta Falcons,away,0.705,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758067211,2025-09-17 00:00:11,Carolina Panthers,home,0.295,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758110410,2025-09-17 12:00:10,Atlanta Falcons,away,0.705,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758110423,2025-09-17 12:00:23,Carolina Panthers,home,0.295,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758153602,2025-09-18 00:00:02,Atlanta Falcons,away,0.695,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758153610,2025-09-18 00:00:10,Carolina Panthers,home,0.305,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758196805,2025-09-18 12:00:05,Atlanta Falcons,away,0.7,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758196818,2025-09-18 12:00:18,Carolina Panthers,home,0.3,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758240002,2025-09-19 00:00:02,Carolina Panthers,home,0.305,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758240013,2025-09-19 00:00:13,Atlanta Falcons,away,0.695,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758283233,2025-09-19 12:00:33,Atlanta Falcons,away,0.685,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758283235,2025-09-19 12:00:35,Carolina Panthers,home,0.315,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758326417,2025-09-20 00:00:17,Atlanta Falcons,away,0.68,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758326419,2025-09-20 00:00:19,Carolina Panthers,home,0.32,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758369613,2025-09-20 12:00:13,Atlanta Falcons,away,0.685,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758369637,2025-09-20 12:00:37,Carolina Panthers,home,0.315,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758412803,2025-09-21 00:00:03,Atlanta Falcons,away,0.685,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758412810,2025-09-21 00:00:10,Carolina Panthers,home,0.315,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758456002,2025-09-21 12:00:02,Atlanta Falcons,away,0.68,3,2025-09-21,Atlanta Falcons,Carolina Panthers
1758456014,2025-09-21 12:00:14,Carolina Panthers,home,0.32,3,2025-09-21,Atlanta Falcons,Carolina Panthers
