timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757246405,2025-09-07 12:00:05,Minnesota Vikings,home,0.67,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757246408,2025-09-07 12:00:08,Atlanta Falcons,away,0.33,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757289606,2025-09-08 00:00:06,Atlanta Falcons,away,0.33,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757289615,2025-09-08 00:00:15,Minnesota Vikings,home,0.67,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757332816,2025-09-08 12:00:16,Atlanta Falcons,away,0.33,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757332826,2025-09-08 12:00:26,Minnesota Vikings,home,0.67,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757376007,2025-09-09 00:00:07,Atlanta Falcons,away,0.345,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757376011,2025-09-09 00:00:11,Minnesota Vikings,home,0.655,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757419207,2025-09-09 12:00:07,Atlanta Falcons,away,0.33,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757419224,2025-09-09 12:00:24,Minnesota Vikings,home,0.67,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757462408,2025-09-10 00:00:08,Minnesota Vikings,home,0.665,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757462414,2025-09-10 00:00:14,Atlanta Falcons,away,0.335,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757505616,2025-09-10 12:00:16,Minnesota Vikings,home,0.665,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757505624,2025-09-10 12:00:24,Atlanta Falcons,away,0.335,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757548808,2025-09-11 00:00:08,Atlanta Falcons,away,0.355,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757548812,2025-09-11 00:00:12,Minnesota Vikings,home,0.645,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757592010,2025-09-11 12:00:10,Minnesota Vikings,home,0.635,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757592012,2025-09-11 12:00:12,Atlanta Falcons,away,0.365,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757635226,2025-09-12 00:00:26,Minnesota Vikings,home,0.615,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757635227,2025-09-12 00:00:27,Atlanta Falcons,away,0.385,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757678427,2025-09-12 12:00:27,Atlanta Falcons,away,0.385,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757678432,2025-09-12 12:00:32,Minnesota Vikings,home,0.615,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757721608,2025-09-13 00:00:08,Minnesota Vikings,home,0.615,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757721608,2025-09-13 00:00:08,Atlanta Falcons,away,0.385,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757764822,2025-09-13 12:00:22,Atlanta Falcons,away,0.385,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757764830,2025-09-13 12:00:30,Minnesota Vikings,home,0.615,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757808006,2025-09-14 00:00:06,Minnesota Vikings,home,0.615,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757808017,2025-09-14 00:00:17,Atlanta Falcons,away,0.385,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757851202,2025-09-14 12:00:02,Atlanta Falcons,away,0.385,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757851232,2025-09-14 12:00:32,Minnesota Vikings,home,0.615,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757894404,2025-09-15 00:00:04,Minnesota Vikings,home,0.605,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
1757894406,2025-09-15 00:00:06,Atlanta Falcons,away,0.395,2,2025-09-14,Atlanta Falcons,Minnesota Vikings
