timestamp,datetime,team,side,probability,week,date,away_team,home_team
1761480017,2025-10-26 12:00:17,Atlanta Falcons,away,0.42,9,2025-11-02,Atlanta Falcons,New England Patriots
1761480031,2025-10-26 12:00:31,New England Patriots,home,0.58,9,2025-11-02,Atlanta Falcons,New England Patriots
1761523213,2025-10-27 00:00:13,Atlanta Falcons,away,0.315,9,2025-11-02,Atlanta Falcons,New England Patriots
1761523220,2025-10-27 00:00:20,New England Patriots,home,0.685,9,2025-11-02,Atlanta Falcons,New England Patriots
1761566415,2025-10-27 12:00:15,Atlanta Falcons,away,0.305,9,2025-11-02,Atlanta Falcons,New England Patriots
1761566425,2025-10-27 12:00:25,New England Patriots,home,0.695,9,2025-11-02,Atlanta Falcons,New England Patriots
1761609615,2025-10-28 00:00:15,Atlanta Falcons,away,0.31,9,2025-11-02,Atlanta Falcons,New England Patriots
1761609624,2025-10-28 00:00:24,New England Patriots,home,0.69,9,2025-11-02,Atlanta Falcons,New England Patriots
1761652813,2025-10-28 12:00:13,Atlanta Falcons,away,0.305,9,2025-11-02,Atlanta Falcons,New England Patriots
1761652824,2025-10-28 12:00:24,New England Patriots,home,0.695,9,2025-11-02,Atlanta Falcons,New England Patriots
1761696014,2025-10-29 00:00:14,Atlanta Falcons,away,0.295,9,2025-11-02,Atlanta Falcons,New England Patriots
1761696023,2025-10-29 00:00:23,New England Patriots,home,0.705,9,2025-11-02,Atlanta Falcons,New England Patriots
1761782415,2025-10-30 00:00:15,Atlanta Falcons,away,0.305,9,2025-11-02,Atlanta Falcons,New England Patriots
1761782423,2025-10-30 00:00:23,New England Patriots,home,0.695,9,2025-11-02,Atlanta Falcons,New England Patriots
1761825615,2025-10-30 12:00:15,Atlanta Falcons,away,0.315,9,2025-11-02,Atlanta Falcons,New England Patriots
1761825629,2025-10-30 12:00:29,New England Patriots,home,0.685,9,2025-11-02,Atlanta Falcons,New England Patriots
1761868810,2025-10-31 00:00:10,Atlanta Falcons,away,0.305,9,2025-11-02,Atlanta Falcons,New England Patriots
1761868815,2025-10-31 00:00:15,New England Patriots,home,0.695,9,2025-11-02,Atlanta Falcons,New England Patriots
1761912015,2025-10-31 12:00:15,Atlanta Falcons,away,0.305,9,2025-11-02,Atlanta Falcons,New England Patriots
1761912028,2025-10-31 12:00:28,New England Patriots,home,0.695,9,2025-11-02,Atlanta Falcons,New England Patriots
1761955214,2025-11-01 00:00:14,Atlanta Falcons,away,0.315,9,2025-11-02,Atlanta Falcons,New England Patriots
1761955223,2025-11-01 00:00:23,New England Patriots,home,0.685,9,2025-11-02,Atlanta Falcons,New England Patriots
1761998418,2025-11-01 12:00:18,Atlanta Falcons,away,0.315,9,2025-11-02,Atlanta Falcons,New England Patriots
1761998431,2025-11-01 12:00:31,New England Patriots,home,0.685,9,2025-11-02,Atlanta Falcons,New England Patriots
1762041611,2025-11-02 00:00:11,Atlanta Falcons,away,0.325,9,2025-11-02,Atlanta Falcons,New England Patriots
1762041618,2025-11-02 00:00:18,New England Patriots,home,0.675,9,2025-11-02,Atlanta Falcons,New England Patriots
1762084815,2025-11-02 12:00:15,Atlanta Falcons,away,0.325,9,2025-11-02,Atlanta Falcons,New England Patriots
1762084828,2025-11-02 12:00:28,New England Patriots,home,0.675,9,2025-11-02,Atlanta Falcons,New England Patriots
