timestamp,datetime,team,side,probability,week,date,away_team,home_team
1764374411,2025-11-29 00:00:11,Atlanta Falcons,away,0.5,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764374418,2025-11-29 00:00:18,Tampa Bay Buccaneers,home,0.5,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764417612,2025-11-29 12:00:12,Atlanta Falcons,away,0.505,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764417622,2025-11-29 12:00:22,Tampa Bay Buccaneers,home,0.495,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764460809,2025-11-30 00:00:09,Atlanta Falcons,away,0.505,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764460815,2025-11-30 00:00:15,Tampa Bay Buccaneers,home,0.495,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764504038,2025-11-30 12:00:38,Atlanta Falcons,away,0.51,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764504047,2025-11-30 12:00:47,Tampa Bay Buccaneers,home,0.49,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764547209,2025-12-01 00:00:09,Atlanta Falcons,away,0.505,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764547216,2025-12-01 00:00:16,Tampa Bay Buccaneers,home,0.495,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764590421,2025-12-01 12:00:21,Atlanta Falcons,away,0.52,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764590430,2025-12-01 12:00:30,Tampa Bay Buccaneers,home,0.48,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764633607,2025-12-02 00:00:07,Atlanta Falcons,away,0.53,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764633611,2025-12-02 00:00:11,Tampa Bay Buccaneers,home,0.47,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764676810,2025-12-02 12:00:10,Atlanta Falcons,away,0.525,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764676820,2025-12-02 12:00:20,Tampa Bay Buccaneers,home,0.475,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764720010,2025-12-03 00:00:10,Atlanta Falcons,away,0.35,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764720017,2025-12-03 00:00:17,Tampa Bay Buccaneers,home,0.65,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764763212,2025-12-03 12:00:12,Atlanta Falcons,away,0.355,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764763222,2025-12-03 12:00:22,Tampa Bay Buccaneers,home,0.645,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764806409,2025-12-04 00:00:09,Atlanta Falcons,away,0.41,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764806412,2025-12-04 00:00:12,Tampa Bay Buccaneers,home,0.59,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764849613,2025-12-04 12:00:13,Atlanta Falcons,away,0.32,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764849622,2025-12-04 12:00:22,Tampa Bay Buccaneers,home,0.68,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764892809,2025-12-05 00:00:09,Atlanta Falcons,away,0.315,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764892813,2025-12-05 00:00:13,Tampa Bay Buccaneers,home,0.685,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764936009,2025-12-05 12:00:09,Atlanta Falcons,away,0.305,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764936015,2025-12-05 12:00:15,Tampa Bay Buccaneers,home,0.695,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764979210,2025-12-06 00:00:10,Atlanta Falcons,away,0.29,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1764979214,2025-12-06 00:00:14,Tampa Bay Buccaneers,home,0.71,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765022410,2025-12-06 12:00:10,Atlanta Falcons,away,0.29,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765022415,2025-12-06 12:00:15,Tampa Bay Buccaneers,home,0.71,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765065622,2025-12-07 00:00:22,Atlanta Falcons,away,0.29,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765065627,2025-12-07 00:00:27,Tampa Bay Buccaneers,home,0.71,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765108809,2025-12-07 12:00:09,Atlanta Falcons,away,0.29,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765108816,2025-12-07 12:00:16,Tampa Bay Buccaneers,home,0.71,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765152022,2025-12-08 00:00:22,Atlanta Falcons,away,0.285,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765152026,2025-12-08 00:00:26,Tampa Bay Buccaneers,home,0.715,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765195222,2025-12-08 12:00:22,Atlanta Falcons,away,0.295,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765195227,2025-12-08 12:00:27,Tampa Bay Buccaneers,home,0.705,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765238419,2025-12-09 00:00:19,Atlanta Falcons,away,0.315,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765238424,2025-12-09 00:00:24,Tampa Bay Buccaneers,home,0.685,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765281608,2025-12-09 12:00:08,Atlanta Falcons,away,0.315,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765281613,2025-12-09 12:00:13,Tampa Bay Buccaneers,home,0.685,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765324809,2025-12-10 00:00:09,Atlanta Falcons,away,0.325,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765324812,2025-12-10 00:00:12,Tampa Bay Buccaneers,home,0.675,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765368011,2025-12-10 12:00:11,Atlanta Falcons,away,0.325,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765368021,2025-12-10 12:00:21,Tampa Bay Buccaneers,home,0.675,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765411209,2025-12-11 00:00:09,Atlanta Falcons,away,0.325,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765411213,2025-12-11 00:00:13,Tampa Bay Buccaneers,home,0.675,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765454410,2025-12-11 12:00:10,Atlanta Falcons,away,0.325,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765454414,2025-12-11 12:00:14,Tampa Bay Buccaneers,home,0.675,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765497609,2025-12-12 00:00:09,Atlanta Falcons,away,0.295,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
1765497613,2025-12-12 00:00:13,Tampa Bay Buccaneers,home,0.705,15,2025-12-11,Atlanta Falcons,Tampa Bay Buccaneers
