timestamp,datetime,team,side,probability,week,date,away_team,home_team
1764547216,2025-12-01 00:00:16,Baltimore Ravens,away,0.5,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764547217,2025-12-01 00:00:17,Cincinnati Bengals,home,0.5,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764590430,2025-12-01 12:00:30,Baltimore Ravens,away,0.33,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764590432,2025-12-01 12:00:32,Cincinnati Bengals,home,0.67,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764633612,2025-12-02 00:00:12,Baltimore Ravens,away,0.335,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764633612,2025-12-02 00:00:12,Cincinnati Bengals,home,0.665,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764676820,2025-12-02 12:00:20,Baltimore Ravens,away,0.345,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764676821,2025-12-02 12:00:21,Cincinnati Bengals,home,0.655,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764720017,2025-12-03 00:00:17,Baltimore Ravens,away,0.465,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764720018,2025-12-03 00:00:18,Cincinnati Bengals,home,0.535,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764763223,2025-12-03 12:00:23,Baltimore Ravens,away,0.54,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764763224,2025-12-03 12:00:24,Cincinnati Bengals,home,0.46,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764806412,2025-12-04 00:00:12,Baltimore Ravens,away,0.485,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764806413,2025-12-04 00:00:13,Cincinnati Bengals,home,0.515,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764849622,2025-12-04 12:00:22,Baltimore Ravens,away,0.55,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764849624,2025-12-04 12:00:24,Cincinnati Bengals,home,0.45,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764892814,2025-12-05 00:00:14,Baltimore Ravens,away,0.55,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764892814,2025-12-05 00:00:14,Cincinnati Bengals,home,0.45,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764936015,2025-12-05 12:00:15,Baltimore Ravens,away,0.555,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764936016,2025-12-05 12:00:16,Cincinnati Bengals,home,0.445,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764979214,2025-12-06 00:00:14,Baltimore Ravens,away,0.57,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1764979215,2025-12-06 00:00:15,Cincinnati Bengals,home,0.43,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765022415,2025-12-06 12:00:15,Baltimore Ravens,away,0.585,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765022416,2025-12-06 12:00:16,Cincinnati Bengals,home,0.415,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765065627,2025-12-07 00:00:27,Baltimore Ravens,away,0.58,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765065628,2025-12-07 00:00:28,Cincinnati Bengals,home,0.42,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765108817,2025-12-07 12:00:17,Cincinnati Bengals,home,0.425,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765108817,2025-12-07 12:00:17,Baltimore Ravens,away,0.575,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765152026,2025-12-08 00:00:26,Baltimore Ravens,away,0.545,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765152027,2025-12-08 00:00:27,Cincinnati Bengals,home,0.455,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765195227,2025-12-08 12:00:27,Baltimore Ravens,away,0.55,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765195228,2025-12-08 12:00:28,Cincinnati Bengals,home,0.45,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765238424,2025-12-09 00:00:24,Baltimore Ravens,away,0.565,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765238425,2025-12-09 00:00:25,Cincinnati Bengals,home,0.435,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765281613,2025-12-09 12:00:13,Baltimore Ravens,away,0.57,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765281614,2025-12-09 12:00:14,Cincinnati Bengals,home,0.43,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765324812,2025-12-10 00:00:12,Baltimore Ravens,away,0.56,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765324813,2025-12-10 00:00:13,Cincinnati Bengals,home,0.44,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765368022,2025-12-10 12:00:22,Baltimore Ravens,away,0.57,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765368023,2025-12-10 12:00:23,Cincinnati Bengals,home,0.43,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765411213,2025-12-11 00:00:13,Baltimore Ravens,away,0.575,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765411214,2025-12-11 00:00:14,Cincinnati Bengals,home,0.425,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765454415,2025-12-11 12:00:15,Baltimore Ravens,away,0.58,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765454416,2025-12-11 12:00:16,Cincinnati Bengals,home,0.42,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765497613,2025-12-12 00:00:13,Baltimore Ravens,away,0.585,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765497614,2025-12-12 00:00:14,Cincinnati Bengals,home,0.415,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765540814,2025-12-12 12:00:14,Baltimore Ravens,away,0.585,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765540815,2025-12-12 12:00:15,Cincinnati Bengals,home,0.415,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765584015,2025-12-13 00:00:15,Cincinnati Bengals,home,0.425,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765584015,2025-12-13 00:00:15,Baltimore Ravens,away,0.575,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765627216,2025-12-13 12:00:16,Baltimore Ravens,away,0.585,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765627217,2025-12-13 12:00:17,Cincinnati Bengals,home,0.415,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765670415,2025-12-14 00:00:15,Baltimore Ravens,away,0.585,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765670416,2025-12-14 00:00:16,Cincinnati Bengals,home,0.415,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765713615,2025-12-14 12:00:15,Baltimore Ravens,away,0.595,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
1765713616,2025-12-14 12:00:16,Cincinnati Bengals,home,0.405,15,2025-12-14,Baltimore Ravens,Cincinnati Bengals
