timestamp,datetime,team,side,probability,week,date,away_team,home_team
1762689611,2025-11-09 12:00:11,Cleveland Browns,home,0.225,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762689624,2025-11-09 12:00:24,Baltimore Ravens,away,0.775,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762732808,2025-11-10 00:00:08,Cleveland Browns,home,0.195,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762732813,2025-11-10 00:00:13,Baltimore Ravens,away,0.805,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762776012,2025-11-10 12:00:12,Cleveland Browns,home,0.205,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762776023,2025-11-10 12:00:23,Baltimore Ravens,away,0.795,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762819212,2025-11-11 00:00:12,Cleveland Browns,home,0.195,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762819221,2025-11-11 00:00:21,Baltimore Ravens,away,0.805,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762862428,2025-11-11 12:00:28,Cleveland Browns,home,0.195,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762862440,2025-11-11 12:00:40,Baltimore Ravens,away,0.805,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762905612,2025-11-12 00:00:12,Cleveland Browns,home,0.205,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762905618,2025-11-12 00:00:18,Baltimore Ravens,away,0.795,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762948814,2025-11-12 12:00:14,Cleveland Browns,home,0.195,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762948826,2025-11-12 12:00:26,Baltimore Ravens,away,0.805,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762992010,2025-11-13 00:00:10,Cleveland Browns,home,0.21,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1762992019,2025-11-13 00:00:19,Baltimore Ravens,away,0.79,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763035214,2025-11-13 12:00:14,Cleveland Browns,home,0.205,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763035228,2025-11-13 12:00:28,Baltimore Ravens,away,0.795,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763078411,2025-11-14 00:00:11,Cleveland Browns,home,0.205,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763078418,2025-11-14 00:00:18,Baltimore Ravens,away,0.795,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763121614,2025-11-14 12:00:14,Cleveland Browns,home,0.195,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763121629,2025-11-14 12:00:29,Baltimore Ravens,away,0.805,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763164812,2025-11-15 00:00:12,Cleveland Browns,home,0.205,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763164823,2025-11-15 00:00:23,Baltimore Ravens,away,0.795,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763208016,2025-11-15 12:00:16,Cleveland Browns,home,0.205,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763208030,2025-11-15 12:00:30,Baltimore Ravens,away,0.795,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763251209,2025-11-16 00:00:09,Cleveland Browns,home,0.205,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763251215,2025-11-16 00:00:15,Baltimore Ravens,away,0.795,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763294413,2025-11-16 12:00:13,Cleveland Browns,home,0.205,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763294425,2025-11-16 12:00:25,Baltimore Ravens,away,0.795,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763337611,2025-11-17 00:00:11,Cleveland Browns,home,0.33,11,2025-11-16,Baltimore Ravens,Cleveland Browns
1763337620,2025-11-17 00:00:20,Baltimore Ravens,away,0.67,11,2025-11-16,Baltimore Ravens,Cleveland Browns
