timestamp,datetime,team,side,probability,week,date,away_team,home_team
1762084811,2025-11-02 12:00:11,Minnesota Vikings,home,0.335,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762084827,2025-11-02 12:00:27,Baltimore Ravens,away,0.665,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762128008,2025-11-03 00:00:08,Minnesota Vikings,home,0.35,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762128021,2025-11-03 00:00:21,Baltimore Ravens,away,0.65,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762171210,2025-11-03 12:00:10,Minnesota Vikings,home,0.365,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762171226,2025-11-03 12:00:26,Baltimore Ravens,away,0.635,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762214410,2025-11-04 00:00:10,Minnesota Vikings,home,0.335,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762214421,2025-11-04 00:00:21,Baltimore Ravens,away,0.665,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762257611,2025-11-04 12:00:11,Minnesota Vikings,home,0.345,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762257629,2025-11-04 12:00:29,Baltimore Ravens,away,0.655,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762300809,2025-11-05 00:00:09,Minnesota Vikings,home,0.345,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762300823,2025-11-05 00:00:23,Baltimore Ravens,away,0.655,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762344012,2025-11-05 12:00:12,Minnesota Vikings,home,0.335,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762344030,2025-11-05 12:00:30,Baltimore Ravens,away,0.665,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762387206,2025-11-06 00:00:06,Minnesota Vikings,home,0.345,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762387214,2025-11-06 00:00:14,Baltimore Ravens,away,0.655,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762430412,2025-11-06 12:00:12,Minnesota Vikings,home,0.345,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762430433,2025-11-06 12:00:33,Baltimore Ravens,away,0.655,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762473609,2025-11-07 00:00:09,Minnesota Vikings,home,0.345,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762473623,2025-11-07 00:00:23,Baltimore Ravens,away,0.655,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762516812,2025-11-07 12:00:12,Minnesota Vikings,home,0.345,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762516831,2025-11-07 12:00:31,Baltimore Ravens,away,0.655,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762560008,2025-11-08 00:00:08,Minnesota Vikings,home,0.345,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762560015,2025-11-08 00:00:15,Baltimore Ravens,away,0.655,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762603225,2025-11-08 12:00:25,Minnesota Vikings,home,0.345,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762603242,2025-11-08 12:00:42,Baltimore Ravens,away,0.655,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762646422,2025-11-09 00:00:22,Minnesota Vikings,home,0.345,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762646435,2025-11-09 00:00:35,Baltimore Ravens,away,0.655,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762689610,2025-11-09 12:00:10,Minnesota Vikings,home,0.325,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
1762689627,2025-11-09 12:00:27,Baltimore Ravens,away,0.675,10,2025-11-09,Baltimore Ravens,Minnesota Vikings
