timestamp,datetime,team,side,probability,week,date,away_team,home_team
1766361614,2025-12-22 00:00:14,Pittsburgh Steelers,home,0.51,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766361618,2025-12-22 00:00:18,Baltimore Ravens,away,0.49,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766404814,2025-12-22 12:00:14,Pittsburgh Steelers,home,0.505,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766404818,2025-12-22 12:00:18,Baltimore Ravens,away,0.495,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766448016,2025-12-23 00:00:16,Pittsburgh Steelers,home,0.505,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766448021,2025-12-23 00:00:21,Baltimore Ravens,away,0.495,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766491217,2025-12-23 12:00:17,Pittsburgh Steelers,home,0.485,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766491224,2025-12-23 12:00:24,Baltimore Ravens,away,0.515,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766534416,2025-12-24 00:00:16,Pittsburgh Steelers,home,0.44,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766534421,2025-12-24 00:00:21,Baltimore Ravens,away,0.56,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766577615,2025-12-24 12:00:15,Pittsburgh Steelers,home,0.44,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766577621,2025-12-24 12:00:21,Baltimore Ravens,away,0.56,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766620825,2025-12-25 00:00:25,Pittsburgh Steelers,home,0.445,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766620830,2025-12-25 00:00:30,Baltimore Ravens,away,0.555,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766664016,2025-12-25 12:00:16,Pittsburgh Steelers,home,0.445,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766664022,2025-12-25 12:00:22,Baltimore Ravens,away,0.555,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766707212,2025-12-26 00:00:12,Pittsburgh Steelers,home,0.44,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766707215,2025-12-26 00:00:15,Baltimore Ravens,away,0.56,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766750414,2025-12-26 12:00:14,Pittsburgh Steelers,home,0.44,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766750418,2025-12-26 12:00:18,Baltimore Ravens,away,0.56,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766793615,2025-12-27 00:00:15,Pittsburgh Steelers,home,0.44,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766793619,2025-12-27 00:00:19,Baltimore Ravens,away,0.56,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766836815,2025-12-27 12:00:15,Pittsburgh Steelers,home,0.44,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766836819,2025-12-27 12:00:19,Baltimore Ravens,away,0.56,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766880016,2025-12-28 00:00:16,Pittsburgh Steelers,home,0.515,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766880020,2025-12-28 00:00:20,Baltimore Ravens,away,0.485,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766923216,2025-12-28 12:00:16,Pittsburgh Steelers,home,0.515,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766923220,2025-12-28 12:00:20,Baltimore Ravens,away,0.485,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766966432,2025-12-29 00:00:32,Pittsburgh Steelers,home,0.365,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1766966437,2025-12-29 00:00:37,Baltimore Ravens,away,0.635,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767009616,2025-12-29 12:00:16,Pittsburgh Steelers,home,0.365,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767009620,2025-12-29 12:00:20,Baltimore Ravens,away,0.635,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767052819,2025-12-30 00:00:19,Pittsburgh Steelers,home,0.36,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767052824,2025-12-30 00:00:24,Baltimore Ravens,away,0.64,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767096018,2025-12-30 12:00:18,Pittsburgh Steelers,home,0.36,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767096024,2025-12-30 12:00:24,Baltimore Ravens,away,0.64,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767139216,2025-12-31 00:00:16,Pittsburgh Steelers,home,0.36,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767139221,2025-12-31 00:00:21,Baltimore Ravens,away,0.64,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767182416,2025-12-31 12:00:16,Pittsburgh Steelers,home,0.365,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767182421,2025-12-31 12:00:21,Baltimore Ravens,away,0.635,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767225616,2026-01-01 00:00:16,Pittsburgh Steelers,home,0.36,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767225621,2026-01-01 00:00:21,Baltimore Ravens,away,0.64,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767268817,2026-01-01 12:00:17,Pittsburgh Steelers,home,0.36,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767268822,2026-01-01 12:00:22,Baltimore Ravens,away,0.64,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767312015,2026-01-02 00:00:15,Pittsburgh Steelers,home,0.365,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767312019,2026-01-02 00:00:19,Baltimore Ravens,away,0.635,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767355215,2026-01-02 12:00:15,Pittsburgh Steelers,home,0.355,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767355220,2026-01-02 12:00:20,Baltimore Ravens,away,0.645,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767398414,2026-01-03 00:00:14,Pittsburgh Steelers,home,0.345,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767398417,2026-01-03 00:00:17,Baltimore Ravens,away,0.655,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767441616,2026-01-03 12:00:16,Pittsburgh Steelers,home,0.345,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767441620,2026-01-03 12:00:20,Baltimore Ravens,away,0.655,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767484816,2026-01-04 00:00:16,Pittsburgh Steelers,home,0.35,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767484820,2026-01-04 00:00:20,Baltimore Ravens,away,0.65,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767528018,2026-01-04 12:00:18,Pittsburgh Steelers,home,0.345,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767528022,2026-01-04 12:00:22,Baltimore Ravens,away,0.655,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767571218,2026-01-05 00:00:18,Pittsburgh Steelers,home,0.345,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
1767571222,2026-01-05 00:00:22,Baltimore Ravens,away,0.655,18,2026-01-04,Baltimore Ravens,Pittsburgh Steelers
