timestamp,datetime,team,side,probability,week,date,away_team,home_team
1759752009,2025-10-06 12:00:09,Buffalo Bills,away,0.655,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1759752010,2025-10-06 12:00:10,Atlanta Falcons,home,0.345,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1759795210,2025-10-07 00:00:10,Buffalo Bills,away,0.645,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1759795212,2025-10-07 00:00:12,Atlanta Falcons,home,0.355,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1759838404,2025-10-07 12:00:04,Buffalo Bills,away,0.655,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1759838406,2025-10-07 12:00:06,Atlanta Falcons,home,0.345,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1759881610,2025-10-08 00:00:10,Buffalo Bills,away,0.655,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1759881612,2025-10-08 00:00:12,Atlanta Falcons,home,0.345,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1759924808,2025-10-08 12:00:08,Atlanta Falcons,home,0.34,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1759924809,2025-10-08 12:00:09,Buffalo Bills,away,0.66,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1759968006,2025-10-09 00:00:06,Buffalo Bills,away,0.665,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1759968008,2025-10-09 00:00:08,Atlanta Falcons,home,0.335,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760011202,2025-10-09 12:00:02,Atlanta Falcons,home,0.335,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760011222,2025-10-09 12:00:22,Buffalo Bills,away,0.665,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760054406,2025-10-10 00:00:06,Buffalo Bills,away,0.665,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760054407,2025-10-10 00:00:07,Atlanta Falcons,home,0.335,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760097606,2025-10-10 12:00:06,Buffalo Bills,away,0.67,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760097615,2025-10-10 12:00:15,Atlanta Falcons,home,0.33,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760140812,2025-10-11 00:00:12,Atlanta Falcons,home,0.335,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760140814,2025-10-11 00:00:14,Buffalo Bills,away,0.665,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760184011,2025-10-11 12:00:11,Atlanta Falcons,home,0.335,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760184014,2025-10-11 12:00:14,Buffalo Bills,away,0.665,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760227209,2025-10-12 00:00:09,Atlanta Falcons,home,0.335,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760227213,2025-10-12 00:00:13,Buffalo Bills,away,0.665,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760270410,2025-10-12 12:00:10,Buffalo Bills,away,0.655,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760270419,2025-10-12 12:00:19,Atlanta Falcons,home,0.345,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760313604,2025-10-13 00:00:04,Buffalo Bills,away,0.645,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760313611,2025-10-13 00:00:11,Atlanta Falcons,home,0.355,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760356812,2025-10-13 12:00:12,Atlanta Falcons,home,0.345,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760356826,2025-10-13 12:00:26,Buffalo Bills,away,0.655,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760400007,2025-10-14 00:00:07,Buffalo Bills,away,0.505,6,2025-10-13,Buffalo Bills,Atlanta Falcons
1760400014,2025-10-14 00:00:14,Atlanta Falcons,home,0.495,6,2025-10-13,Buffalo Bills,Atlanta Falcons
