timestamp,datetime,team,side,probability,week,date,away_team,home_team
1760875213,2025-10-19 12:00:13,Carolina Panthers,home,0.595,8,2025-10-26,Buffalo Bills,Carolina Panthers
1760875219,2025-10-19 12:00:19,Buffalo Bills,away,0.405,8,2025-10-26,Buffalo Bills,Carolina Panthers
1760918418,2025-10-20 00:00:18,Carolina Panthers,home,0.23,8,2025-10-26,Buffalo Bills,Carolina Panthers
1760918421,2025-10-20 00:00:21,Buffalo Bills,away,0.77,8,2025-10-26,Buffalo Bills,Carolina Panthers
1760961607,2025-10-20 12:00:07,Buffalo Bills,away,0.775,8,2025-10-26,Buffalo Bills,Carolina Panthers
1760961627,2025-10-20 12:00:27,Carolina Panthers,home,0.225,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761004808,2025-10-21 00:00:08,Carolina Panthers,home,0.215,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761004812,2025-10-21 00:00:12,Buffalo Bills,away,0.785,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761048003,2025-10-21 12:00:03,Carolina Panthers,home,0.215,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761048003,2025-10-21 12:00:03,Buffalo Bills,away,0.785,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761091211,2025-10-22 00:00:11,Buffalo Bills,away,0.785,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761091227,2025-10-22 00:00:27,Carolina Panthers,home,0.215,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761134414,2025-10-22 12:00:14,Buffalo Bills,away,0.775,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761134438,2025-10-22 12:00:38,Carolina Panthers,home,0.225,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761177607,2025-10-23 00:00:07,Buffalo Bills,away,0.765,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761177612,2025-10-23 00:00:12,Carolina Panthers,home,0.235,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761220809,2025-10-23 12:00:09,Buffalo Bills,away,0.775,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761220825,2025-10-23 12:00:25,Carolina Panthers,home,0.225,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761264009,2025-10-24 00:00:09,Buffalo Bills,away,0.775,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761264023,2025-10-24 00:00:23,Carolina Panthers,home,0.225,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761307210,2025-10-24 12:00:10,Buffalo Bills,away,0.77,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761307229,2025-10-24 12:00:29,Carolina Panthers,home,0.23,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761350410,2025-10-25 00:00:10,Buffalo Bills,away,0.77,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761350420,2025-10-25 00:00:20,Carolina Panthers,home,0.23,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761393611,2025-10-25 12:00:11,Buffalo Bills,away,0.775,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761393630,2025-10-25 12:00:30,Carolina Panthers,home,0.225,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761436811,2025-10-26 00:00:11,Buffalo Bills,away,0.775,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761436825,2025-10-26 00:00:25,Carolina Panthers,home,0.225,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761480012,2025-10-26 12:00:12,Buffalo Bills,away,0.775,8,2025-10-26,Buffalo Bills,Carolina Panthers
1761480033,2025-10-26 12:00:33,Carolina Panthers,home,0.225,8,2025-10-26,Buffalo Bills,Carolina Panthers
