timestamp,datetime,team,side,probability,week,date,away_team,home_team
1768348818,2026-01-14 00:00:18,Denver Broncos,home,0.505,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768348822,2026-01-14 00:00:22,Buffalo Bills,away,0.495,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768392019,2026-01-14 12:00:19,Denver Broncos,home,0.515,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768392023,2026-01-14 12:00:23,Buffalo Bills,away,0.485,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768435219,2026-01-15 00:00:19,Denver Broncos,home,0.515,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768435224,2026-01-15 00:00:24,Buffalo Bills,away,0.485,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768478419,2026-01-15 12:00:19,Denver Broncos,home,0.525,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768478423,2026-01-15 12:00:23,Buffalo Bills,away,0.475,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768521622,2026-01-16 00:00:22,Denver Broncos,home,0.525,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768521627,2026-01-16 00:00:27,Buffalo Bills,away,0.475,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768564819,2026-01-16 12:00:19,Denver Broncos,home,0.525,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768564824,2026-01-16 12:00:24,Buffalo Bills,away,0.475,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768608019,2026-01-17 00:00:19,Denver Broncos,home,0.525,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768608024,2026-01-17 00:00:24,Buffalo Bills,away,0.475,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768651223,2026-01-17 12:00:23,Denver Broncos,home,0.525,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768651234,2026-01-17 12:00:34,Buffalo Bills,away,0.475,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768694427,2026-01-18 00:00:27,Denver Broncos,home,0.445,DIV,2026-01-17,Buffalo Bills,Denver Broncos
1768694436,2026-01-18 00:00:36,Buffalo Bills,away,0.555,DIV,2026-01-17,Buffalo Bills,Denver Broncos
