timestamp,datetime,team,side,probability,week,date,away_team,home_team
1763424013,2025-11-18 00:00:13,Buffalo Bills,away,0.5,12,2025-11-20,Buffalo Bills,Houston Texans
1763424015,2025-11-18 00:00:15,Houston Texans,home,0.5,12,2025-11-20,Buffalo Bills,Houston Texans
1763467222,2025-11-18 12:00:22,Buffalo Bills,away,0.56,12,2025-11-20,Buffalo Bills,Houston Texans
1763467224,2025-11-18 12:00:24,Houston Texans,home,0.44,12,2025-11-20,Buffalo Bills,Houston Texans
1763510419,2025-11-19 00:00:19,Buffalo Bills,away,0.465,12,2025-11-20,Buffalo Bills,Houston Texans
1763510422,2025-11-19 00:00:22,Houston Texans,home,0.535,12,2025-11-20,Buffalo Bills,Houston Texans
1763553625,2025-11-19 12:00:25,Buffalo Bills,away,0.465,12,2025-11-20,Buffalo Bills,Houston Texans
1763553627,2025-11-19 12:00:27,Houston Texans,home,0.535,12,2025-11-20,Buffalo Bills,Houston Texans
1763596813,2025-11-20 00:00:13,Buffalo Bills,away,0.49,12,2025-11-20,Buffalo Bills,Houston Texans
1763596814,2025-11-20 00:00:14,Houston Texans,home,0.51,12,2025-11-20,Buffalo Bills,Houston Texans
1763640014,2025-11-20 12:00:14,Buffalo Bills,away,0.475,12,2025-11-20,Buffalo Bills,Houston Texans
1763640015,2025-11-20 12:00:15,Houston Texans,home,0.525,12,2025-11-20,Buffalo Bills,Houston Texans
1763683220,2025-11-21 00:00:20,Buffalo Bills,away,0.625,12,2025-11-20,Buffalo Bills,Houston Texans
1763683223,2025-11-21 00:00:23,Houston Texans,home,0.375,12,2025-11-20,Buffalo Bills,Houston Texans
