timestamp,datetime,team,side,probability,week,date,away_team,home_team
1767657613,2026-01-06 00:00:13,Jacksonville Jaguars,home,0.475,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767657620,2026-01-06 00:00:20,Buffalo Bills,away,0.525,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767700809,2026-01-06 12:00:09,Jacksonville Jaguars,home,0.485,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767700817,2026-01-06 12:00:17,Buffalo Bills,away,0.515,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767744010,2026-01-07 00:00:10,Jacksonville Jaguars,home,0.495,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767744017,2026-01-07 00:00:17,Buffalo Bills,away,0.505,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767787214,2026-01-07 12:00:14,Jacksonville Jaguars,home,0.495,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767787222,2026-01-07 12:00:22,Buffalo Bills,away,0.505,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767830425,2026-01-08 00:00:25,Jacksonville Jaguars,home,0.495,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767830433,2026-01-08 00:00:33,Buffalo Bills,away,0.505,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767873611,2026-01-08 12:00:11,Jacksonville Jaguars,home,0.505,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767873632,2026-01-08 12:00:32,Buffalo Bills,away,0.495,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767916810,2026-01-09 00:00:10,Jacksonville Jaguars,home,0.495,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767916818,2026-01-09 00:00:18,Buffalo Bills,away,0.505,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767960023,2026-01-09 12:00:23,Jacksonville Jaguars,home,0.495,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1767960032,2026-01-09 12:00:32,Buffalo Bills,away,0.505,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1768003210,2026-01-10 00:00:10,Jacksonville Jaguars,home,0.505,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1768003219,2026-01-10 00:00:19,Buffalo Bills,away,0.495,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1768046410,2026-01-10 12:00:10,Jacksonville Jaguars,home,0.515,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1768046421,2026-01-10 12:00:21,Buffalo Bills,away,0.485,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1768089610,2026-01-11 00:00:10,Jacksonville Jaguars,home,0.515,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1768089617,2026-01-11 00:00:17,Buffalo Bills,away,0.485,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1768132810,2026-01-11 12:00:10,Jacksonville Jaguars,home,0.535,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
1768132816,2026-01-11 12:00:16,Buffalo Bills,away,0.465,WC,2026-01-11,Buffalo Bills,Jacksonville Jaguars
