timestamp,datetime,team,side,probability,week,date,away_team,home_team
1762084820,2025-11-02 12:00:20,Buffalo Bills,away,0.775,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762084826,2025-11-02 12:00:26,Miami Dolphins,home,0.225,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762128016,2025-11-03 00:00:16,Buffalo Bills,away,0.785,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762128020,2025-11-03 00:00:20,Miami Dolphins,home,0.215,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762171220,2025-11-03 12:00:20,Buffalo Bills,away,0.815,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762171226,2025-11-03 12:00:26,Miami Dolphins,home,0.185,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762214417,2025-11-04 00:00:17,Buffalo Bills,away,0.805,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762214421,2025-11-04 00:00:21,Miami Dolphins,home,0.195,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762257621,2025-11-04 12:00:21,Buffalo Bills,away,0.815,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762257629,2025-11-04 12:00:29,Miami Dolphins,home,0.185,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762300818,2025-11-05 00:00:18,Buffalo Bills,away,0.815,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762300823,2025-11-05 00:00:23,Miami Dolphins,home,0.185,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762344022,2025-11-05 12:00:22,Buffalo Bills,away,0.815,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762344030,2025-11-05 12:00:30,Miami Dolphins,home,0.185,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762387211,2025-11-06 00:00:11,Buffalo Bills,away,0.815,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762387214,2025-11-06 00:00:14,Miami Dolphins,home,0.185,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762430424,2025-11-06 12:00:24,Buffalo Bills,away,0.815,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762430432,2025-11-06 12:00:32,Miami Dolphins,home,0.185,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762473617,2025-11-07 00:00:17,Buffalo Bills,away,0.815,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762473623,2025-11-07 00:00:23,Miami Dolphins,home,0.185,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762516822,2025-11-07 12:00:22,Buffalo Bills,away,0.815,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762516830,2025-11-07 12:00:30,Miami Dolphins,home,0.185,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762560012,2025-11-08 00:00:12,Buffalo Bills,away,0.815,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762560015,2025-11-08 00:00:15,Miami Dolphins,home,0.185,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762603236,2025-11-08 12:00:36,Buffalo Bills,away,0.82,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762603241,2025-11-08 12:00:41,Miami Dolphins,home,0.18,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762646430,2025-11-09 00:00:30,Buffalo Bills,away,0.815,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762646435,2025-11-09 00:00:35,Miami Dolphins,home,0.185,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762689620,2025-11-09 12:00:20,Buffalo Bills,away,0.815,10,2025-11-09,Buffalo Bills,Miami Dolphins
1762689627,2025-11-09 12:00:27,Miami Dolphins,home,0.185,10,2025-11-09,Buffalo Bills,Miami Dolphins
