timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757246420,2025-09-07 12:00:20,Arizona Cardinals,home,0.68,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757246431,2025-09-07 12:00:31,Carolina Panthers,away,0.32,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757289602,2025-09-08 00:00:02,Arizona Cardinals,home,0.71,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757289604,2025-09-08 00:00:04,Carolina Panthers,away,0.29,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757332816,2025-09-08 12:00:16,Arizona Cardinals,home,0.73,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757332826,2025-09-08 12:00:26,Carolina Panthers,away,0.27,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757376007,2025-09-09 00:00:07,Arizona Cardinals,home,0.735,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757376012,2025-09-09 00:00:12,Carolina Panthers,away,0.265,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757419214,2025-09-09 12:00:14,Arizona Cardinals,home,0.73,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757419222,2025-09-09 12:00:22,Carolina Panthers,away,0.27,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757462403,2025-09-10 00:00:03,Arizona Cardinals,home,0.735,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757462408,2025-09-10 00:00:08,Carolina Panthers,away,0.265,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757505607,2025-09-10 12:00:07,Arizona Cardinals,home,0.735,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757505614,2025-09-10 12:00:14,Carolina Panthers,away,0.265,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757548806,2025-09-11 00:00:06,Arizona Cardinals,home,0.74,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757548810,2025-09-11 00:00:10,Carolina Panthers,away,0.26,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757592005,2025-09-11 12:00:05,Arizona Cardinals,home,0.735,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757592010,2025-09-11 12:00:10,Carolina Panthers,away,0.265,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757635223,2025-09-12 00:00:23,Arizona Cardinals,home,0.735,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757635226,2025-09-12 00:00:26,Carolina Panthers,away,0.265,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757678418,2025-09-12 12:00:18,Arizona Cardinals,home,0.735,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757678432,2025-09-12 12:00:32,Carolina Panthers,away,0.265,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757721604,2025-09-13 00:00:04,Arizona Cardinals,home,0.74,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757721608,2025-09-13 00:00:08,Carolina Panthers,away,0.26,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757764806,2025-09-13 12:00:06,Carolina Panthers,away,0.255,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757764828,2025-09-13 12:00:28,Arizona Cardinals,home,0.745,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757808011,2025-09-14 00:00:11,Carolina Panthers,away,0.255,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757808018,2025-09-14 00:00:18,Arizona Cardinals,home,0.745,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757851202,2025-09-14 12:00:02,Arizona Cardinals,home,0.745,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757851232,2025-09-14 12:00:32,Carolina Panthers,away,0.255,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757894404,2025-09-15 00:00:04,Carolina Panthers,away,0.0005,2,2025-09-14,Carolina Panthers,Arizona Cardinals
1757894406,2025-09-15 00:00:06,Arizona Cardinals,home,0.9995,2,2025-09-14,Carolina Panthers,Arizona Cardinals
