timestamp,datetime,team,side,probability,week,date,away_team,home_team
1762689607,2025-11-09 12:00:07,Carolina Panthers,away,0.395,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762689620,2025-11-09 12:00:20,Atlanta Falcons,home,0.605,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762732806,2025-11-10 00:00:06,Carolina Panthers,away,0.335,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762732812,2025-11-10 00:00:12,Atlanta Falcons,home,0.665,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762776008,2025-11-10 12:00:08,Carolina Panthers,away,0.35,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762776020,2025-11-10 12:00:20,Atlanta Falcons,home,0.65,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762819209,2025-11-11 00:00:09,Carolina Panthers,away,0.355,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762819219,2025-11-11 00:00:19,Atlanta Falcons,home,0.645,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762862422,2025-11-11 12:00:22,Carolina Panthers,away,0.36,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762862436,2025-11-11 12:00:36,Atlanta Falcons,home,0.64,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762905609,2025-11-12 00:00:09,Carolina Panthers,away,0.36,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762905617,2025-11-12 00:00:17,Atlanta Falcons,home,0.64,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762948808,2025-11-12 12:00:08,Carolina Panthers,away,0.35,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762948822,2025-11-12 12:00:22,Atlanta Falcons,home,0.65,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762992007,2025-11-13 00:00:07,Carolina Panthers,away,0.35,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1762992017,2025-11-13 00:00:17,Atlanta Falcons,home,0.65,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1763035208,2025-11-13 12:00:08,Carolina Panthers,away,0.355,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1763035225,2025-11-13 12:00:25,Atlanta Falcons,home,0.645,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1763078408,2025-11-14 00:00:08,Carolina Panthers,away,0.355,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1763078416,2025-11-14 00:00:16,Atlanta Falcons,home,0.645,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1763121610,2025-11-14 12:00:10,Carolina Panthers,away,0.355,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1763121625,2025-11-14 12:00:25,Atlanta Falcons,home,0.645,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1763164808,2025-11-15 00:00:08,Carolina Panthers,away,0.355,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1763164820,2025-11-15 00:00:20,Atlanta Falcons,home,0.645,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1763208010,2025-11-15 12:00:10,Carolina Panthers,away,0.355,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1763208026,2025-11-15 12:00:26,Atlanta Falcons,home,0.645,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1763251207,2025-11-16 00:00:07,Carolina Panthers,away,0.355,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1763251213,2025-11-16 00:00:13,Atlanta Falcons,home,0.645,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1763294408,2025-11-16 12:00:08,Carolina Panthers,away,0.355,11,2025-11-16,Carolina Panthers,Atlanta Falcons
1763294423,2025-11-16 12:00:23,Atlanta Falcons,home,0.645,11,2025-11-16,Carolina Panthers,Atlanta Falcons
