timestamp,datetime,team,side,probability,week,date,away_team,home_team
1756641606,2025-08-31 12:00:06,Carolina Panthers,away,0.395,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756641632,2025-08-31 12:00:32,Jacksonville Jaguars,home,0.605,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756684805,2025-09-01 00:00:05,Carolina Panthers,away,0.395,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756684813,2025-09-01 00:00:13,Jacksonville Jaguars,home,0.605,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756728015,2025-09-01 12:00:15,Carolina Panthers,away,0.395,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756728029,2025-09-01 12:00:29,Jacksonville Jaguars,home,0.605,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756771206,2025-09-02 00:00:06,Jacksonville Jaguars,home,0.635,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756771213,2025-09-02 00:00:13,Carolina Panthers,away,0.365,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756814409,2025-09-02 12:00:09,Carolina Panthers,away,0.36,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756814425,2025-09-02 12:00:25,Jacksonville Jaguars,home,0.64,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756857611,2025-09-03 00:00:11,Jacksonville Jaguars,home,0.64,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756857615,2025-09-03 00:00:15,Carolina Panthers,away,0.36,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756900809,2025-09-03 12:00:09,Carolina Panthers,away,0.36,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756900827,2025-09-03 12:00:27,Jacksonville Jaguars,home,0.64,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756944013,2025-09-04 00:00:13,Jacksonville Jaguars,home,0.645,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756944015,2025-09-04 00:00:15,Carolina Panthers,away,0.355,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756987218,2025-09-04 12:00:18,Jacksonville Jaguars,home,0.645,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1756987220,2025-09-04 12:00:20,Carolina Panthers,away,0.355,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1757030403,2025-09-05 00:00:03,Jacksonville Jaguars,home,0.645,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1757030404,2025-09-05 00:00:04,Carolina Panthers,away,0.355,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1757073628,2025-09-05 12:00:28,Carolina Panthers,away,0.355,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1757073629,2025-09-05 12:00:29,Jacksonville Jaguars,home,0.645,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1757116813,2025-09-06 00:00:13,Jacksonville Jaguars,home,0.645,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1757116813,2025-09-06 00:00:13,Carolina Panthers,away,0.355,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1757160007,2025-09-06 12:00:07,Carolina Panthers,away,0.355,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1757160027,2025-09-06 12:00:27,Jacksonville Jaguars,home,0.645,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1757203204,2025-09-07 00:00:04,Carolina Panthers,away,0.35,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1757203213,2025-09-07 00:00:13,Jacksonville Jaguars,home,0.65,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1757246415,2025-09-07 12:00:15,Jacksonville Jaguars,home,0.655,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
1757246420,2025-09-07 12:00:20,Carolina Panthers,away,0.345,1,2025-09-07,Carolina Panthers,Jacksonville Jaguars
