timestamp,datetime,team,side,probability,week,date,away_team,home_team
1760875206,2025-10-19 12:00:06,Baltimore Ravens,home,0.705,8,2025-10-26,Chicago Bears,Baltimore Ravens
1760875220,2025-10-19 12:00:20,Chicago Bears,away,0.295,8,2025-10-26,Chicago Bears,Baltimore Ravens
1760918412,2025-10-20 00:00:12,Baltimore Ravens,home,0.7,8,2025-10-26,Chicago Bears,Baltimore Ravens
1760918423,2025-10-20 00:00:23,Chicago Bears,away,0.3,8,2025-10-26,Chicago Bears,Baltimore Ravens
1760961609,2025-10-20 12:00:09,Chicago Bears,away,0.245,8,2025-10-26,Chicago Bears,Baltimore Ravens
1760961621,2025-10-20 12:00:21,Baltimore Ravens,home,0.755,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761004813,2025-10-21 00:00:13,Chicago Bears,away,0.265,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761004820,2025-10-21 00:00:20,Baltimore Ravens,home,0.735,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761048008,2025-10-21 12:00:08,Chicago Bears,away,0.27,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761048011,2025-10-21 12:00:11,Baltimore Ravens,home,0.73,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761091210,2025-10-22 00:00:10,Baltimore Ravens,home,0.72,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761091226,2025-10-22 00:00:26,Chicago Bears,away,0.28,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761134412,2025-10-22 12:00:12,Baltimore Ravens,home,0.72,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761134435,2025-10-22 12:00:35,Chicago Bears,away,0.28,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761177607,2025-10-23 00:00:07,Baltimore Ravens,home,0.715,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761177612,2025-10-23 00:00:12,Chicago Bears,away,0.285,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761220808,2025-10-23 12:00:08,Baltimore Ravens,home,0.715,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761220824,2025-10-23 12:00:24,Chicago Bears,away,0.285,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761264009,2025-10-24 00:00:09,Baltimore Ravens,home,0.715,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761264021,2025-10-24 00:00:21,Chicago Bears,away,0.285,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761307210,2025-10-24 12:00:10,Baltimore Ravens,home,0.715,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761307229,2025-10-24 12:00:29,Chicago Bears,away,0.285,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761350409,2025-10-25 00:00:09,Baltimore Ravens,home,0.735,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761350419,2025-10-25 00:00:19,Chicago Bears,away,0.265,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761393611,2025-10-25 12:00:11,Baltimore Ravens,home,0.745,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761393630,2025-10-25 12:00:30,Chicago Bears,away,0.255,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761436809,2025-10-26 00:00:09,Baltimore Ravens,home,0.56,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761436823,2025-10-26 00:00:23,Chicago Bears,away,0.44,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761480012,2025-10-26 12:00:12,Baltimore Ravens,home,0.585,8,2025-10-26,Chicago Bears,Baltimore Ravens
1761480032,2025-10-26 12:00:32,Chicago Bears,away,0.415,8,2025-10-26,Chicago Bears,Baltimore Ravens
