timestamp,datetime,team,side,probability,week,date,away_team,home_team
1761480011,2025-10-26 12:00:11,Cincinnati Bengals,home,0.48,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761480032,2025-10-26 12:00:32,Chicago Bears,away,0.52,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761523209,2025-10-27 00:00:09,Cincinnati Bengals,home,0.46,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761523221,2025-10-27 00:00:21,Chicago Bears,away,0.54,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761566410,2025-10-27 12:00:10,Cincinnati Bengals,home,0.46,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761566426,2025-10-27 12:00:26,Chicago Bears,away,0.54,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761609610,2025-10-28 00:00:10,Cincinnati Bengals,home,0.435,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761609626,2025-10-28 00:00:26,Chicago Bears,away,0.565,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761652808,2025-10-28 12:00:08,Cincinnati Bengals,home,0.42,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761652826,2025-10-28 12:00:26,Chicago Bears,away,0.58,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761696009,2025-10-29 00:00:09,Cincinnati Bengals,home,0.415,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761696024,2025-10-29 00:00:24,Chicago Bears,away,0.585,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761782410,2025-10-30 00:00:10,Cincinnati Bengals,home,0.405,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761782424,2025-10-30 00:00:24,Chicago Bears,away,0.595,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761825609,2025-10-30 12:00:09,Cincinnati Bengals,home,0.405,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761825630,2025-10-30 12:00:30,Chicago Bears,away,0.595,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761868807,2025-10-31 00:00:07,Cincinnati Bengals,home,0.425,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761868816,2025-10-31 00:00:16,Chicago Bears,away,0.575,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761912009,2025-10-31 12:00:09,Cincinnati Bengals,home,0.425,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761912030,2025-10-31 12:00:30,Chicago Bears,away,0.575,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761955209,2025-11-01 00:00:09,Cincinnati Bengals,home,0.415,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761955225,2025-11-01 00:00:25,Chicago Bears,away,0.585,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761998411,2025-11-01 12:00:11,Cincinnati Bengals,home,0.415,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1761998433,2025-11-01 12:00:33,Chicago Bears,away,0.585,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1762041608,2025-11-02 00:00:08,Cincinnati Bengals,home,0.415,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1762041619,2025-11-02 00:00:19,Chicago Bears,away,0.585,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1762084809,2025-11-02 12:00:09,Cincinnati Bengals,home,0.415,9,2025-11-02,Chicago Bears,Cincinnati Bengals
1762084830,2025-11-02 12:00:30,Chicago Bears,away,0.585,9,2025-11-02,Chicago Bears,Cincinnati Bengals
