timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757246408,2025-09-07 12:00:08,Detroit Lions,home,0.69,2,2025-09-14,Chicago Bears,Detroit Lions
1757246427,2025-09-07 12:00:27,Chicago Bears,away,0.31,2,2025-09-14,Chicago Bears,Detroit Lions
1757289602,2025-09-08 00:00:02,Chicago Bears,away,0.34,2,2025-09-14,Chicago Bears,Detroit Lions
1757289619,2025-09-08 00:00:19,Detroit Lions,home,0.66,2,2025-09-14,Chicago Bears,Detroit Lions
1757332824,2025-09-08 12:00:24,Detroit Lions,home,0.675,2,2025-09-14,Chicago Bears,Detroit Lions
1757332828,2025-09-08 12:00:28,Chicago Bears,away,0.325,2,2025-09-14,Chicago Bears,Detroit Lions
1757376010,2025-09-09 00:00:10,Detroit Lions,home,0.68,2,2025-09-14,Chicago Bears,Detroit Lions
1757376013,2025-09-09 00:00:13,Chicago Bears,away,0.32,2,2025-09-14,Chicago Bears,Detroit Lions
1757419212,2025-09-09 12:00:12,Detroit Lions,home,0.69,2,2025-09-14,Chicago Bears,Detroit Lions
1757419220,2025-09-09 12:00:20,Chicago Bears,away,0.31,2,2025-09-14,Chicago Bears,Detroit Lions
1757462402,2025-09-10 00:00:02,Detroit Lions,home,0.695,2,2025-09-14,Chicago Bears,Detroit Lions
1757462406,2025-09-10 00:00:06,Chicago Bears,away,0.305,2,2025-09-14,Chicago Bears,Detroit Lions
1757505603,2025-09-10 12:00:03,Detroit Lions,home,0.695,2,2025-09-14,Chicago Bears,Detroit Lions
1757505611,2025-09-10 12:00:11,Chicago Bears,away,0.305,2,2025-09-14,Chicago Bears,Detroit Lions
1757548809,2025-09-11 00:00:09,Chicago Bears,away,0.285,2,2025-09-14,Chicago Bears,Detroit Lions
1757548812,2025-09-11 00:00:12,Detroit Lions,home,0.715,2,2025-09-14,Chicago Bears,Detroit Lions
1757592019,2025-09-11 12:00:19,Chicago Bears,away,0.285,2,2025-09-14,Chicago Bears,Detroit Lions
1757592033,2025-09-11 12:00:33,Detroit Lions,home,0.715,2,2025-09-14,Chicago Bears,Detroit Lions
1757635207,2025-09-12 00:00:07,Chicago Bears,away,0.285,2,2025-09-14,Chicago Bears,Detroit Lions
1757635220,2025-09-12 00:00:20,Detroit Lions,home,0.715,2,2025-09-14,Chicago Bears,Detroit Lions
1757678429,2025-09-12 12:00:29,Chicago Bears,away,0.285,2,2025-09-14,Chicago Bears,Detroit Lions
1757678429,2025-09-12 12:00:29,Detroit Lions,home,0.715,2,2025-09-14,Chicago Bears,Detroit Lions
1757721608,2025-09-13 00:00:08,Detroit Lions,home,0.72,2,2025-09-14,Chicago Bears,Detroit Lions
1757721608,2025-09-13 00:00:08,Chicago Bears,away,0.28,2,2025-09-14,Chicago Bears,Detroit Lions
1757764814,2025-09-13 12:00:14,Chicago Bears,away,0.275,2,2025-09-14,Chicago Bears,Detroit Lions
1757764820,2025-09-13 12:00:20,Detroit Lions,home,0.725,2,2025-09-14,Chicago Bears,Detroit Lions
1757808003,2025-09-14 00:00:03,Detroit Lions,home,0.735,2,2025-09-14,Chicago Bears,Detroit Lions
1757808019,2025-09-14 00:00:19,Chicago Bears,away,0.265,2,2025-09-14,Chicago Bears,Detroit Lions
1757851224,2025-09-14 12:00:24,Detroit Lions,home,0.73,2,2025-09-14,Chicago Bears,Detroit Lions
1757851232,2025-09-14 12:00:32,Chicago Bears,away,0.27,2,2025-09-14,Chicago Bears,Detroit Lions
