timestamp,datetime,team,side,probability,week,date,away_team,home_team
1764028809,2025-11-25 00:00:09,Chicago Bears,away,0.32,14,2025-12-07,Chicago Bears,Green Bay Packers
1764028821,2025-11-25 00:00:21,Green Bay Packers,home,0.68,14,2025-12-07,Chicago Bears,Green Bay Packers
1764072011,2025-11-25 12:00:11,Chicago Bears,away,0.43,14,2025-12-07,Chicago Bears,Green Bay Packers
1764072028,2025-11-25 12:00:28,Green Bay Packers,home,0.57,14,2025-12-07,Chicago Bears,Green Bay Packers
1764115209,2025-11-26 00:00:09,Chicago Bears,away,0.355,14,2025-12-07,Chicago Bears,Green Bay Packers
1764115217,2025-11-26 00:00:17,Green Bay Packers,home,0.645,14,2025-12-07,Chicago Bears,Green Bay Packers
1764158424,2025-11-26 12:00:24,Chicago Bears,away,0.51,14,2025-12-07,Chicago Bears,Green Bay Packers
1764158442,2025-11-26 12:00:42,Green Bay Packers,home,0.49,14,2025-12-07,Chicago Bears,Green Bay Packers
1764201609,2025-11-27 00:00:09,Chicago Bears,away,0.345,14,2025-12-07,Chicago Bears,Green Bay Packers
1764201621,2025-11-27 00:00:21,Green Bay Packers,home,0.655,14,2025-12-07,Chicago Bears,Green Bay Packers
1764244812,2025-11-27 12:00:12,Chicago Bears,away,0.34,14,2025-12-07,Chicago Bears,Green Bay Packers
1764244832,2025-11-27 12:00:32,Green Bay Packers,home,0.66,14,2025-12-07,Chicago Bears,Green Bay Packers
1764288009,2025-11-28 00:00:09,Chicago Bears,away,0.24,14,2025-12-07,Chicago Bears,Green Bay Packers
1764288020,2025-11-28 00:00:20,Green Bay Packers,home,0.76,14,2025-12-07,Chicago Bears,Green Bay Packers
1764331212,2025-11-28 12:00:12,Chicago Bears,away,0.53,14,2025-12-07,Chicago Bears,Green Bay Packers
1764331232,2025-11-28 12:00:32,Green Bay Packers,home,0.47,14,2025-12-07,Chicago Bears,Green Bay Packers
1764374411,2025-11-29 00:00:11,Chicago Bears,away,0.32,14,2025-12-07,Chicago Bears,Green Bay Packers
1764374426,2025-11-29 00:00:26,Green Bay Packers,home,0.68,14,2025-12-07,Chicago Bears,Green Bay Packers
1764417612,2025-11-29 12:00:12,Chicago Bears,away,0.32,14,2025-12-07,Chicago Bears,Green Bay Packers
1764417634,2025-11-29 12:00:34,Green Bay Packers,home,0.68,14,2025-12-07,Chicago Bears,Green Bay Packers
1764460809,2025-11-30 00:00:09,Chicago Bears,away,0.32,14,2025-12-07,Chicago Bears,Green Bay Packers
1764460820,2025-11-30 00:00:20,Green Bay Packers,home,0.68,14,2025-12-07,Chicago Bears,Green Bay Packers
1764504037,2025-11-30 12:00:37,Chicago Bears,away,0.315,14,2025-12-07,Chicago Bears,Green Bay Packers
1764504058,2025-11-30 12:00:58,Green Bay Packers,home,0.685,14,2025-12-07,Chicago Bears,Green Bay Packers
1764547208,2025-12-01 00:00:08,Chicago Bears,away,0.305,14,2025-12-07,Chicago Bears,Green Bay Packers
1764547223,2025-12-01 00:00:23,Green Bay Packers,home,0.695,14,2025-12-07,Chicago Bears,Green Bay Packers
1764590421,2025-12-01 12:00:21,Chicago Bears,away,0.305,14,2025-12-07,Chicago Bears,Green Bay Packers
1764590439,2025-12-01 12:00:39,Green Bay Packers,home,0.695,14,2025-12-07,Chicago Bears,Green Bay Packers
1764633608,2025-12-02 00:00:08,Chicago Bears,away,0.285,14,2025-12-07,Chicago Bears,Green Bay Packers
1764633615,2025-12-02 00:00:15,Green Bay Packers,home,0.715,14,2025-12-07,Chicago Bears,Green Bay Packers
1764676811,2025-12-02 12:00:11,Chicago Bears,away,0.265,14,2025-12-07,Chicago Bears,Green Bay Packers
1764676829,2025-12-02 12:00:29,Green Bay Packers,home,0.735,14,2025-12-07,Chicago Bears,Green Bay Packers
1764720010,2025-12-03 00:00:10,Chicago Bears,away,0.275,14,2025-12-07,Chicago Bears,Green Bay Packers
1764720024,2025-12-03 00:00:24,Green Bay Packers,home,0.725,14,2025-12-07,Chicago Bears,Green Bay Packers
1764763212,2025-12-03 12:00:12,Chicago Bears,away,0.275,14,2025-12-07,Chicago Bears,Green Bay Packers
1764763232,2025-12-03 12:00:32,Green Bay Packers,home,0.725,14,2025-12-07,Chicago Bears,Green Bay Packers
1764806409,2025-12-04 00:00:09,Chicago Bears,away,0.265,14,2025-12-07,Chicago Bears,Green Bay Packers
1764806416,2025-12-04 00:00:16,Green Bay Packers,home,0.735,14,2025-12-07,Chicago Bears,Green Bay Packers
1764849613,2025-12-04 12:00:13,Chicago Bears,away,0.27,14,2025-12-07,Chicago Bears,Green Bay Packers
1764849632,2025-12-04 12:00:32,Green Bay Packers,home,0.73,14,2025-12-07,Chicago Bears,Green Bay Packers
1764892809,2025-12-05 00:00:09,Chicago Bears,away,0.265,14,2025-12-07,Chicago Bears,Green Bay Packers
1764892818,2025-12-05 00:00:18,Green Bay Packers,home,0.735,14,2025-12-07,Chicago Bears,Green Bay Packers
1764936009,2025-12-05 12:00:09,Chicago Bears,away,0.27,14,2025-12-07,Chicago Bears,Green Bay Packers
1764936020,2025-12-05 12:00:20,Green Bay Packers,home,0.73,14,2025-12-07,Chicago Bears,Green Bay Packers
1764979210,2025-12-06 00:00:10,Chicago Bears,away,0.275,14,2025-12-07,Chicago Bears,Green Bay Packers
1764979219,2025-12-06 00:00:19,Green Bay Packers,home,0.725,14,2025-12-07,Chicago Bears,Green Bay Packers
1765022410,2025-12-06 12:00:10,Chicago Bears,away,0.265,14,2025-12-07,Chicago Bears,Green Bay Packers
1765022419,2025-12-06 12:00:19,Green Bay Packers,home,0.735,14,2025-12-07,Chicago Bears,Green Bay Packers
1765065622,2025-12-07 00:00:22,Chicago Bears,away,0.265,14,2025-12-07,Chicago Bears,Green Bay Packers
1765065631,2025-12-07 00:00:31,Green Bay Packers,home,0.735,14,2025-12-07,Chicago Bears,Green Bay Packers
1765108809,2025-12-07 12:00:09,Chicago Bears,away,0.265,14,2025-12-07,Chicago Bears,Green Bay Packers
1765108823,2025-12-07 12:00:23,Green Bay Packers,home,0.735,14,2025-12-07,Chicago Bears,Green Bay Packers
1765152021,2025-12-08 00:00:21,Chicago Bears,away,0.335,14,2025-12-07,Chicago Bears,Green Bay Packers
1765152030,2025-12-08 00:00:30,Green Bay Packers,home,0.665,14,2025-12-07,Chicago Bears,Green Bay Packers
