timestamp,datetime,team,side,probability,week,date,away_team,home_team
1758456007,2025-09-21 12:00:07,Chicago Bears,away,0.435,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758456021,2025-09-21 12:00:21,Las Vegas Raiders,home,0.565,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758499207,2025-09-22 00:00:07,Chicago Bears,away,0.48,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758499216,2025-09-22 00:00:16,Las Vegas Raiders,home,0.52,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758542417,2025-09-22 12:00:17,Las Vegas Raiders,home,0.52,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758542423,2025-09-22 12:00:23,Chicago Bears,away,0.48,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758585609,2025-09-23 00:00:09,Las Vegas Raiders,home,0.515,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758585612,2025-09-23 00:00:12,Chicago Bears,away,0.485,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758628819,2025-09-23 12:00:19,Chicago Bears,away,0.485,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758628825,2025-09-23 12:00:25,Las Vegas Raiders,home,0.515,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758672010,2025-09-24 00:00:10,Las Vegas Raiders,home,0.515,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758672017,2025-09-24 00:00:17,Chicago Bears,away,0.485,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758715216,2025-09-24 12:00:16,Chicago Bears,away,0.495,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758715216,2025-09-24 12:00:16,Las Vegas Raiders,home,0.505,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758758407,2025-09-25 00:00:07,Chicago Bears,away,0.495,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758758407,2025-09-25 00:00:07,Las Vegas Raiders,home,0.505,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758801605,2025-09-25 12:00:05,Las Vegas Raiders,home,0.505,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758801617,2025-09-25 12:00:17,Chicago Bears,away,0.495,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758844811,2025-09-26 00:00:11,Chicago Bears,away,0.495,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758844815,2025-09-26 00:00:15,Las Vegas Raiders,home,0.505,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758888004,2025-09-26 12:00:04,Chicago Bears,away,0.495,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758888015,2025-09-26 12:00:15,Las Vegas Raiders,home,0.505,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758931203,2025-09-27 00:00:03,Chicago Bears,away,0.495,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758931209,2025-09-27 00:00:09,Las Vegas Raiders,home,0.505,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758974411,2025-09-27 12:00:11,Las Vegas Raiders,home,0.515,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1758974412,2025-09-27 12:00:12,Chicago Bears,away,0.485,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1759017610,2025-09-28 00:00:10,Las Vegas Raiders,home,0.53,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1759017610,2025-09-28 00:00:10,Chicago Bears,away,0.47,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1759060809,2025-09-28 12:00:09,Las Vegas Raiders,home,0.535,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1759060817,2025-09-28 12:00:17,Chicago Bears,away,0.465,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1759104003,2025-09-29 00:00:03,Chicago Bears,away,0.9995,4,2025-09-28,Chicago Bears,Las Vegas Raiders
1759104008,2025-09-29 00:00:08,Las Vegas Raiders,home,0.0005,4,2025-09-28,Chicago Bears,Las Vegas Raiders
