timestamp,datetime,team,side,probability,week,date,away_team,home_team
1762689624,2025-11-09 12:00:24,Minnesota Vikings,home,0.575,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762689625,2025-11-09 12:00:25,Chicago Bears,away,0.425,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762732814,2025-11-10 00:00:14,Chicago Bears,away,0.415,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762732814,2025-11-10 00:00:14,Minnesota Vikings,home,0.585,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762776023,2025-11-10 12:00:23,Minnesota Vikings,home,0.595,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762776025,2025-11-10 12:00:25,Chicago Bears,away,0.405,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762819222,2025-11-11 00:00:22,Minnesota Vikings,home,0.61,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762819223,2025-11-11 00:00:23,Chicago Bears,away,0.39,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762862441,2025-11-11 12:00:41,Minnesota Vikings,home,0.61,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762862442,2025-11-11 12:00:42,Chicago Bears,away,0.39,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762905619,2025-11-12 00:00:19,Chicago Bears,away,0.385,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762905619,2025-11-12 00:00:19,Minnesota Vikings,home,0.615,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762948827,2025-11-12 12:00:27,Minnesota Vikings,home,0.615,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762948829,2025-11-12 12:00:29,Chicago Bears,away,0.385,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762992020,2025-11-13 00:00:20,Minnesota Vikings,home,0.615,11,2025-11-16,Chicago Bears,Minnesota Vikings
1762992021,2025-11-13 00:00:21,Chicago Bears,away,0.385,11,2025-11-16,Chicago Bears,Minnesota Vikings
1763035230,2025-11-13 12:00:30,Minnesota Vikings,home,0.615,11,2025-11-16,Chicago Bears,Minnesota Vikings
1763035232,2025-11-13 12:00:32,Chicago Bears,away,0.385,11,2025-11-16,Chicago Bears,Minnesota Vikings
1763078419,2025-11-14 00:00:19,Minnesota Vikings,home,0.585,11,2025-11-16,Chicago Bears,Minnesota Vikings
1763078420,2025-11-14 00:00:20,Chicago Bears,away,0.415,11,2025-11-16,Chicago Bears,Minnesota Vikings
1763121629,2025-11-14 12:00:29,Minnesota Vikings,home,0.585,11,2025-11-16,Chicago Bears,Minnesota Vikings
1763121631,2025-11-14 12:00:31,Chicago Bears,away,0.415,11,2025-11-16,Chicago Bears,Minnesota Vikings
1763164823,2025-11-15 00:00:23,Minnesota Vikings,home,0.585,11,2025-11-16,Chicago Bears,Minnesota Vikings
1763164825,2025-11-15 00:00:25,Chicago Bears,away,0.415,11,2025-11-16,Chicago Bears,Minnesota Vikings
1763208031,2025-11-15 12:00:31,Minnesota Vikings,home,0.585,11,2025-11-16,Chicago Bears,Minnesota Vikings
1763208033,2025-11-15 12:00:33,Chicago Bears,away,0.415,11,2025-11-16,Chicago Bears,Minnesota Vikings
1763251215,2025-11-16 00:00:15,Minnesota Vikings,home,0.585,11,2025-11-16,Chicago Bears,Minnesota Vikings
1763251216,2025-11-16 00:00:16,Chicago Bears,away,0.415,11,2025-11-16,Chicago Bears,Minnesota Vikings
1763294426,2025-11-16 12:00:26,Minnesota Vikings,home,0.595,11,2025-11-16,Chicago Bears,Minnesota Vikings
1763294428,2025-11-16 12:00:28,Chicago Bears,away,0.405,11,2025-11-16,Chicago Bears,Minnesota Vikings
