timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765843210,2025-12-16 00:00:10,San Francisco 49ers,home,0.555,17,2025-12-28,Chicago Bears,San Francisco 49ers
1765843221,2025-12-16 00:00:21,Chicago Bears,away,0.445,17,2025-12-28,Chicago Bears,San Francisco 49ers
1765886423,2025-12-16 12:00:23,San Francisco 49ers,home,0.61,17,2025-12-28,Chicago Bears,San Francisco 49ers
1765886435,2025-12-16 12:00:35,Chicago Bears,away,0.39,17,2025-12-28,Chicago Bears,San Francisco 49ers
1765929607,2025-12-17 00:00:07,San Francisco 49ers,home,0.575,17,2025-12-28,Chicago Bears,San Francisco 49ers
1765929618,2025-12-17 00:00:18,Chicago Bears,away,0.425,17,2025-12-28,Chicago Bears,San Francisco 49ers
1765929632,2025-12-17 00:00:32,San Francisco 49ers,home,0.575,17,2025-12-28,Chicago Bears,San Francisco 49ers
1765929637,2025-12-17 00:00:37,Chicago Bears,away,0.425,17,2025-12-28,Chicago Bears,San Francisco 49ers
1765972811,2025-12-17 12:00:11,San Francisco 49ers,home,0.59,17,2025-12-28,Chicago Bears,San Francisco 49ers
1765972833,2025-12-17 12:00:33,Chicago Bears,away,0.41,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766016020,2025-12-18 00:00:20,San Francisco 49ers,home,0.585,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766016028,2025-12-18 00:00:28,Chicago Bears,away,0.415,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766059211,2025-12-18 12:00:11,San Francisco 49ers,home,0.59,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766059220,2025-12-18 12:00:20,Chicago Bears,away,0.41,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766102411,2025-12-19 00:00:11,San Francisco 49ers,home,0.595,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766102419,2025-12-19 00:00:19,Chicago Bears,away,0.405,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766145612,2025-12-19 12:00:12,San Francisco 49ers,home,0.6,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766145622,2025-12-19 12:00:22,Chicago Bears,away,0.4,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766188810,2025-12-20 00:00:10,San Francisco 49ers,home,0.595,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766188820,2025-12-20 00:00:20,Chicago Bears,away,0.405,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766232011,2025-12-20 12:00:11,San Francisco 49ers,home,0.595,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766232024,2025-12-20 12:00:24,Chicago Bears,away,0.405,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766275211,2025-12-21 00:00:11,San Francisco 49ers,home,0.605,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766275220,2025-12-21 00:00:20,Chicago Bears,away,0.395,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766318410,2025-12-21 12:00:10,San Francisco 49ers,home,0.58,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766318420,2025-12-21 12:00:20,Chicago Bears,away,0.42,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766361610,2025-12-22 00:00:10,San Francisco 49ers,home,0.575,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766361620,2025-12-22 00:00:20,Chicago Bears,away,0.425,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766404810,2025-12-22 12:00:10,San Francisco 49ers,home,0.55,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766404820,2025-12-22 12:00:20,Chicago Bears,away,0.45,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766448012,2025-12-23 00:00:12,San Francisco 49ers,home,0.565,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766448022,2025-12-23 00:00:22,Chicago Bears,away,0.435,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766491212,2025-12-23 12:00:12,San Francisco 49ers,home,0.62,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766491226,2025-12-23 12:00:26,Chicago Bears,away,0.38,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766534411,2025-12-24 00:00:11,San Francisco 49ers,home,0.62,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766534422,2025-12-24 00:00:22,Chicago Bears,away,0.38,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766577611,2025-12-24 12:00:11,San Francisco 49ers,home,0.62,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766577622,2025-12-24 12:00:22,Chicago Bears,away,0.38,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766620821,2025-12-25 00:00:21,San Francisco 49ers,home,0.615,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766620832,2025-12-25 00:00:32,Chicago Bears,away,0.385,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766664012,2025-12-25 12:00:12,San Francisco 49ers,home,0.62,17,2025-12-28,Chicago Bears,San Francisco 49ers
1766664023,2025-12-25 12:00:23,Chicago Bears,away,0.38,17,2025-12-28,Chicago Bears,San Francisco 49ers
