timestamp,datetime,team,side,probability,week,date,away_team,home_team
1756641602,2025-08-31 12:00:02,Cleveland Browns,home,0.305,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756641613,2025-08-31 12:00:13,Cincinnati Bengals,away,0.695,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756684804,2025-09-01 00:00:04,Cleveland Browns,home,0.305,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756684806,2025-09-01 00:00:06,Cincinnati Bengals,away,0.695,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756728022,2025-09-01 12:00:22,Cincinnati Bengals,away,0.695,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756728026,2025-09-01 12:00:26,Cleveland Browns,home,0.305,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756771203,2025-09-02 00:00:03,Cleveland Browns,home,0.31,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756771217,2025-09-02 00:00:17,Cincinnati Bengals,away,0.69,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756814411,2025-09-02 12:00:11,Cleveland Browns,home,0.305,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756814419,2025-09-02 12:00:19,Cincinnati Bengals,away,0.695,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756857607,2025-09-03 00:00:07,Cincinnati Bengals,away,0.685,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756857615,2025-09-03 00:00:15,Cleveland Browns,home,0.315,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756900812,2025-09-03 12:00:12,Cincinnati Bengals,away,0.685,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756900827,2025-09-03 12:00:27,Cleveland Browns,home,0.315,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756944003,2025-09-04 00:00:03,Cincinnati Bengals,away,0.685,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756944013,2025-09-04 00:00:13,Cleveland Browns,home,0.315,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756987211,2025-09-04 12:00:11,Cleveland Browns,home,0.32,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1756987235,2025-09-04 12:00:35,Cincinnati Bengals,away,0.68,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1757030408,2025-09-05 00:00:08,Cleveland Browns,home,0.32,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1757030410,2025-09-05 00:00:10,Cincinnati Bengals,away,0.68,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1757073603,2025-09-05 12:00:03,Cincinnati Bengals,away,0.685,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1757073612,2025-09-05 12:00:12,Cleveland Browns,home,0.315,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1757116816,2025-09-06 00:00:16,Cincinnati Bengals,away,0.675,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1757116821,2025-09-06 00:00:21,Cleveland Browns,home,0.325,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1757160015,2025-09-06 12:00:15,Cleveland Browns,home,0.325,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1757160018,2025-09-06 12:00:18,Cincinnati Bengals,away,0.675,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1757203208,2025-09-07 00:00:08,Cleveland Browns,home,0.325,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1757203210,2025-09-07 00:00:10,Cincinnati Bengals,away,0.675,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1757246415,2025-09-07 12:00:15,Cincinnati Bengals,away,0.675,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
1757246420,2025-09-07 12:00:20,Cleveland Browns,home,0.325,1,2025-09-07,Cincinnati Bengals,Cleveland Browns
