timestamp,datetime,team,side,probability,week,date,away_team,home_team
1758542419,2025-09-22 12:00:19,Denver Broncos,home,0.77,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758542420,2025-09-22 12:00:20,Cincinnati Bengals,away,0.23,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758585610,2025-09-23 00:00:10,Denver Broncos,home,0.775,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758585611,2025-09-23 00:00:11,Cincinnati Bengals,away,0.225,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758628803,2025-09-23 12:00:03,Cincinnati Bengals,away,0.235,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758628810,2025-09-23 12:00:10,Denver Broncos,home,0.765,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758672004,2025-09-24 00:00:04,Cincinnati Bengals,away,0.235,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758672019,2025-09-24 00:00:19,Denver Broncos,home,0.765,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758715206,2025-09-24 12:00:06,Cincinnati Bengals,away,0.235,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758715208,2025-09-24 12:00:08,Denver Broncos,home,0.765,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758758403,2025-09-25 00:00:03,Denver Broncos,home,0.775,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758758408,2025-09-25 00:00:08,Cincinnati Bengals,away,0.225,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758801611,2025-09-25 12:00:11,Denver Broncos,home,0.775,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758801613,2025-09-25 12:00:13,Cincinnati Bengals,away,0.225,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758844807,2025-09-26 00:00:07,Denver Broncos,home,0.775,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758844809,2025-09-26 00:00:09,Cincinnati Bengals,away,0.225,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758888014,2025-09-26 12:00:14,Cincinnati Bengals,away,0.215,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758888017,2025-09-26 12:00:17,Denver Broncos,home,0.785,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758931208,2025-09-27 00:00:08,Cincinnati Bengals,away,0.22,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758931210,2025-09-27 00:00:10,Denver Broncos,home,0.78,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758974406,2025-09-27 12:00:06,Cincinnati Bengals,away,0.215,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1758974407,2025-09-27 12:00:07,Denver Broncos,home,0.785,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1759017606,2025-09-28 00:00:06,Cincinnati Bengals,away,0.215,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1759017607,2025-09-28 00:00:07,Denver Broncos,home,0.785,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1759060803,2025-09-28 12:00:03,Denver Broncos,home,0.785,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1759060809,2025-09-28 12:00:09,Cincinnati Bengals,away,0.215,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1759104006,2025-09-29 00:00:06,Denver Broncos,home,0.795,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1759104007,2025-09-29 00:00:07,Cincinnati Bengals,away,0.205,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1759147205,2025-09-29 12:00:05,Cincinnati Bengals,away,0.205,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1759147216,2025-09-29 12:00:16,Denver Broncos,home,0.795,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1759190407,2025-09-30 00:00:07,Denver Broncos,home,0.795,4,2025-09-29,Cincinnati Bengals,Denver Broncos
1759190409,2025-09-30 00:00:09,Cincinnati Bengals,away,0.205,4,2025-09-29,Cincinnati Bengals,Denver Broncos
