timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765238426,2025-12-09 00:00:26,Cincinnati Bengals,away,0.5,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765238426,2025-12-09 00:00:26,Miami Dolphins,home,0.5,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765281615,2025-12-09 12:00:15,Miami Dolphins,home,0.455,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765281616,2025-12-09 12:00:16,Cincinnati Bengals,away,0.545,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765324813,2025-12-10 00:00:13,Miami Dolphins,home,0.405,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765324814,2025-12-10 00:00:14,Cincinnati Bengals,away,0.595,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765368025,2025-12-10 12:00:25,Miami Dolphins,home,0.43,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765368027,2025-12-10 12:00:27,Cincinnati Bengals,away,0.57,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765411214,2025-12-11 00:00:14,Miami Dolphins,home,0.45,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765411215,2025-12-11 00:00:15,Cincinnati Bengals,away,0.55,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765454416,2025-12-11 12:00:16,Miami Dolphins,home,0.45,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765454417,2025-12-11 12:00:17,Cincinnati Bengals,away,0.55,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765497614,2025-12-12 00:00:14,Miami Dolphins,home,0.46,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765497615,2025-12-12 00:00:15,Cincinnati Bengals,away,0.54,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765540816,2025-12-12 12:00:16,Miami Dolphins,home,0.48,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765540817,2025-12-12 12:00:17,Cincinnati Bengals,away,0.52,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765584017,2025-12-13 00:00:17,Cincinnati Bengals,away,0.53,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765584017,2025-12-13 00:00:17,Miami Dolphins,home,0.47,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765627218,2025-12-13 12:00:18,Miami Dolphins,home,0.47,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765627219,2025-12-13 12:00:19,Cincinnati Bengals,away,0.53,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765670417,2025-12-14 00:00:17,Miami Dolphins,home,0.465,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765670418,2025-12-14 00:00:18,Cincinnati Bengals,away,0.535,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765713617,2025-12-14 12:00:17,Miami Dolphins,home,0.465,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765713618,2025-12-14 12:00:18,Cincinnati Bengals,away,0.535,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765756819,2025-12-15 00:00:19,Miami Dolphins,home,0.47,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765756820,2025-12-15 00:00:20,Cincinnati Bengals,away,0.53,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765800016,2025-12-15 12:00:16,Miami Dolphins,home,0.51,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765800017,2025-12-15 12:00:17,Cincinnati Bengals,away,0.49,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765843215,2025-12-16 00:00:15,Miami Dolphins,home,0.52,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765843216,2025-12-16 00:00:16,Cincinnati Bengals,away,0.48,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765886428,2025-12-16 12:00:28,Miami Dolphins,home,0.475,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765886430,2025-12-16 12:00:30,Cincinnati Bengals,away,0.525,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765929612,2025-12-17 00:00:12,Miami Dolphins,home,0.45,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765929613,2025-12-17 00:00:13,Cincinnati Bengals,away,0.55,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765929634,2025-12-17 00:00:34,Miami Dolphins,home,0.45,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765929635,2025-12-17 00:00:35,Cincinnati Bengals,away,0.55,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765972820,2025-12-17 12:00:20,Miami Dolphins,home,0.45,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1765972822,2025-12-17 12:00:22,Cincinnati Bengals,away,0.55,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766016024,2025-12-18 00:00:24,Miami Dolphins,home,0.34,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766016025,2025-12-18 00:00:25,Cincinnati Bengals,away,0.66,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766059215,2025-12-18 12:00:15,Miami Dolphins,home,0.335,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766059216,2025-12-18 12:00:16,Cincinnati Bengals,away,0.665,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766102415,2025-12-19 00:00:15,Miami Dolphins,home,0.34,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766102416,2025-12-19 00:00:16,Cincinnati Bengals,away,0.66,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766145616,2025-12-19 12:00:16,Miami Dolphins,home,0.345,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766145617,2025-12-19 12:00:17,Cincinnati Bengals,away,0.655,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766188815,2025-12-20 00:00:15,Miami Dolphins,home,0.34,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766188815,2025-12-20 00:00:15,Cincinnati Bengals,away,0.66,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766232017,2025-12-20 12:00:17,Miami Dolphins,home,0.345,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766232019,2025-12-20 12:00:19,Cincinnati Bengals,away,0.655,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766275215,2025-12-21 00:00:15,Miami Dolphins,home,0.335,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766275216,2025-12-21 00:00:16,Cincinnati Bengals,away,0.665,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766318415,2025-12-21 12:00:15,Miami Dolphins,home,0.345,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
1766318416,2025-12-21 12:00:16,Cincinnati Bengals,away,0.655,16,2025-12-21,Cincinnati Bengals,Miami Dolphins
