timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757851222,2025-09-14 12:00:22,Cincinnati Bengals,away,0.46,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1757851224,2025-09-14 12:00:24,Minnesota Vikings,home,0.54,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1757894412,2025-09-15 00:00:12,Cincinnati Bengals,away,0.13,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1757894412,2025-09-15 00:00:12,Minnesota Vikings,home,0.87,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1757937602,2025-09-15 12:00:02,Cincinnati Bengals,away,0.415,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1757937612,2025-09-15 12:00:12,Minnesota Vikings,home,0.585,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1757980808,2025-09-16 00:00:08,Minnesota Vikings,home,0.6,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1757980810,2025-09-16 00:00:10,Cincinnati Bengals,away,0.4,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758024014,2025-09-16 12:00:14,Minnesota Vikings,home,0.595,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758024033,2025-09-16 12:00:33,Cincinnati Bengals,away,0.405,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758067204,2025-09-17 00:00:04,Minnesota Vikings,home,0.58,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758067218,2025-09-17 00:00:18,Cincinnati Bengals,away,0.42,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758110416,2025-09-17 12:00:16,Cincinnati Bengals,away,0.41,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758110423,2025-09-17 12:00:23,Minnesota Vikings,home,0.59,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758153602,2025-09-18 00:00:02,Cincinnati Bengals,away,0.405,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758153605,2025-09-18 00:00:05,Minnesota Vikings,home,0.595,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758196832,2025-09-18 12:00:32,Minnesota Vikings,home,0.595,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758196832,2025-09-18 12:00:32,Cincinnati Bengals,away,0.405,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758240008,2025-09-19 00:00:08,Cincinnati Bengals,away,0.405,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758240012,2025-09-19 00:00:12,Minnesota Vikings,home,0.595,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758283215,2025-09-19 12:00:15,Cincinnati Bengals,away,0.405,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758283231,2025-09-19 12:00:31,Minnesota Vikings,home,0.595,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758326405,2025-09-20 00:00:05,Cincinnati Bengals,away,0.405,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758326415,2025-09-20 00:00:15,Minnesota Vikings,home,0.595,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758369613,2025-09-20 12:00:13,Minnesota Vikings,home,0.595,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758369639,2025-09-20 12:00:39,Cincinnati Bengals,away,0.405,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758412803,2025-09-21 00:00:03,Minnesota Vikings,home,0.595,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758412810,2025-09-21 00:00:10,Cincinnati Bengals,away,0.405,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758456012,2025-09-21 12:00:12,Minnesota Vikings,home,0.585,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
1758456021,2025-09-21 12:00:21,Cincinnati Bengals,away,0.415,3,2025-09-21,Cincinnati Bengals,Minnesota Vikings
