timestamp,datetime,team,side,probability,week,date,away_team,home_team
1762689607,2025-11-09 12:00:07,Cincinnati Bengals,away,0.335,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762689626,2025-11-09 12:00:26,Pittsburgh Steelers,home,0.665,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762732806,2025-11-10 00:00:06,Cincinnati Bengals,away,0.33,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762732814,2025-11-10 00:00:14,Pittsburgh Steelers,home,0.67,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762776008,2025-11-10 12:00:08,Cincinnati Bengals,away,0.305,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762776025,2025-11-10 12:00:25,Pittsburgh Steelers,home,0.695,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762819208,2025-11-11 00:00:08,Cincinnati Bengals,away,0.31,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762819223,2025-11-11 00:00:23,Pittsburgh Steelers,home,0.69,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762862422,2025-11-11 12:00:22,Cincinnati Bengals,away,0.315,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762862443,2025-11-11 12:00:43,Pittsburgh Steelers,home,0.685,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762905609,2025-11-12 00:00:09,Cincinnati Bengals,away,0.31,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762905620,2025-11-12 00:00:20,Pittsburgh Steelers,home,0.69,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762948808,2025-11-12 12:00:08,Cincinnati Bengals,away,0.315,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762948829,2025-11-12 12:00:29,Pittsburgh Steelers,home,0.685,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762992007,2025-11-13 00:00:07,Cincinnati Bengals,away,0.305,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1762992021,2025-11-13 00:00:21,Pittsburgh Steelers,home,0.695,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1763035209,2025-11-13 12:00:09,Cincinnati Bengals,away,0.305,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1763035232,2025-11-13 12:00:32,Pittsburgh Steelers,home,0.695,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1763078408,2025-11-14 00:00:08,Cincinnati Bengals,away,0.315,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1763078420,2025-11-14 00:00:20,Pittsburgh Steelers,home,0.685,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1763121610,2025-11-14 12:00:10,Cincinnati Bengals,away,0.315,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1763121632,2025-11-14 12:00:32,Pittsburgh Steelers,home,0.685,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1763164808,2025-11-15 00:00:08,Cincinnati Bengals,away,0.315,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1763164825,2025-11-15 00:00:25,Pittsburgh Steelers,home,0.685,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1763208010,2025-11-15 12:00:10,Cincinnati Bengals,away,0.31,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1763208033,2025-11-15 12:00:33,Pittsburgh Steelers,home,0.69,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1763251207,2025-11-16 00:00:07,Cincinnati Bengals,away,0.31,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1763251216,2025-11-16 00:00:16,Pittsburgh Steelers,home,0.69,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1763294408,2025-11-16 12:00:08,Cincinnati Bengals,away,0.315,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
1763294428,2025-11-16 12:00:28,Pittsburgh Steelers,home,0.685,11,2025-11-16,Cincinnati Bengals,Pittsburgh Steelers
