timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757246420,2025-09-07 12:00:20,Baltimore Ravens,home,0.875,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757246432,2025-09-07 12:00:32,Cleveland Browns,away,0.125,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757289611,2025-09-08 00:00:11,Baltimore Ravens,home,0.855,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757289616,2025-09-08 00:00:16,Cleveland Browns,away,0.145,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757332820,2025-09-08 12:00:20,Cleveland Browns,away,0.13,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757332824,2025-09-08 12:00:24,Baltimore Ravens,home,0.87,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757376008,2025-09-09 00:00:08,Cleveland Browns,away,0.135,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757376011,2025-09-09 00:00:11,Baltimore Ravens,home,0.865,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757419202,2025-09-09 12:00:02,Cleveland Browns,away,0.13,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757419222,2025-09-09 12:00:22,Baltimore Ravens,home,0.87,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757462407,2025-09-10 00:00:07,Baltimore Ravens,home,0.865,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757462413,2025-09-10 00:00:13,Cleveland Browns,away,0.135,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757505614,2025-09-10 12:00:14,Baltimore Ravens,home,0.87,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757505622,2025-09-10 12:00:22,Cleveland Browns,away,0.13,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757548808,2025-09-11 00:00:08,Cleveland Browns,away,0.135,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757548808,2025-09-11 00:00:08,Baltimore Ravens,home,0.865,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757592007,2025-09-11 12:00:07,Baltimore Ravens,home,0.865,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757592031,2025-09-11 12:00:31,Cleveland Browns,away,0.135,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757635218,2025-09-12 00:00:18,Cleveland Browns,away,0.135,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757635224,2025-09-12 00:00:24,Baltimore Ravens,home,0.865,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757678403,2025-09-12 12:00:03,Baltimore Ravens,home,0.875,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757678427,2025-09-12 12:00:27,Cleveland Browns,away,0.125,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757721607,2025-09-13 00:00:07,Cleveland Browns,away,0.125,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757721611,2025-09-13 00:00:11,Baltimore Ravens,home,0.875,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757764810,2025-09-13 12:00:10,Baltimore Ravens,home,0.88,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757764830,2025-09-13 12:00:30,Cleveland Browns,away,0.12,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757808017,2025-09-14 00:00:17,Cleveland Browns,away,0.125,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757808021,2025-09-14 00:00:21,Baltimore Ravens,home,0.875,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757851213,2025-09-14 12:00:13,Baltimore Ravens,home,0.875,2,2025-09-14,Cleveland Browns,Baltimore Ravens
1757851232,2025-09-14 12:00:32,Cleveland Browns,away,0.125,2,2025-09-14,Cleveland Browns,Baltimore Ravens
