timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765238418,2025-12-09 00:00:18,Chicago Bears,home,0.515,15,2025-12-14,Cleveland Browns,Chicago Bears
1765238422,2025-12-09 00:00:22,Cleveland Browns,away,0.485,15,2025-12-14,Cleveland Browns,Chicago Bears
1765281606,2025-12-09 12:00:06,Chicago Bears,home,0.515,15,2025-12-14,Cleveland Browns,Chicago Bears
1765281610,2025-12-09 12:00:10,Cleveland Browns,away,0.485,15,2025-12-14,Cleveland Browns,Chicago Bears
1765324807,2025-12-10 00:00:07,Chicago Bears,home,0.52,15,2025-12-14,Cleveland Browns,Chicago Bears
1765324810,2025-12-10 00:00:10,Cleveland Browns,away,0.48,15,2025-12-14,Cleveland Browns,Chicago Bears
1765368007,2025-12-10 12:00:07,Chicago Bears,home,0.51,15,2025-12-14,Cleveland Browns,Chicago Bears
1765368015,2025-12-10 12:00:15,Cleveland Browns,away,0.49,15,2025-12-14,Cleveland Browns,Chicago Bears
1765411207,2025-12-11 00:00:07,Chicago Bears,home,0.495,15,2025-12-14,Cleveland Browns,Chicago Bears
1765411211,2025-12-11 00:00:11,Cleveland Browns,away,0.505,15,2025-12-14,Cleveland Browns,Chicago Bears
1765454407,2025-12-11 12:00:07,Chicago Bears,home,0.49,15,2025-12-14,Cleveland Browns,Chicago Bears
1765454412,2025-12-11 12:00:12,Cleveland Browns,away,0.51,15,2025-12-14,Cleveland Browns,Chicago Bears
1765497607,2025-12-12 00:00:07,Chicago Bears,home,0.5,15,2025-12-14,Cleveland Browns,Chicago Bears
1765497611,2025-12-12 00:00:11,Cleveland Browns,away,0.5,15,2025-12-14,Cleveland Browns,Chicago Bears
1765540806,2025-12-12 12:00:06,Chicago Bears,home,0.73,15,2025-12-14,Cleveland Browns,Chicago Bears
1765540812,2025-12-12 12:00:12,Cleveland Browns,away,0.27,15,2025-12-14,Cleveland Browns,Chicago Bears
1765584008,2025-12-13 00:00:08,Chicago Bears,home,0.73,15,2025-12-14,Cleveland Browns,Chicago Bears
1765584012,2025-12-13 00:00:12,Cleveland Browns,away,0.27,15,2025-12-14,Cleveland Browns,Chicago Bears
1765627207,2025-12-13 12:00:07,Chicago Bears,home,0.63,15,2025-12-14,Cleveland Browns,Chicago Bears
1765627213,2025-12-13 12:00:13,Cleveland Browns,away,0.37,15,2025-12-14,Cleveland Browns,Chicago Bears
1765670407,2025-12-14 00:00:07,Chicago Bears,home,0.7,15,2025-12-14,Cleveland Browns,Chicago Bears
1765670412,2025-12-14 00:00:12,Cleveland Browns,away,0.3,15,2025-12-14,Cleveland Browns,Chicago Bears
1765713607,2025-12-14 12:00:07,Chicago Bears,home,0.71,15,2025-12-14,Cleveland Browns,Chicago Bears
1765713612,2025-12-14 12:00:12,Cleveland Browns,away,0.29,15,2025-12-14,Cleveland Browns,Chicago Bears
