timestamp,datetime,team,side,probability,week,date,away_team,home_team
1766361610,2025-12-22 00:00:10,Cleveland Browns,away,0.445,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
1766361621,2025-12-22 00:00:21,Cincinnati Bengals,home,0.555,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
1766404809,2025-12-22 12:00:09,Cleveland Browns,away,0.4,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
1766404822,2025-12-22 12:00:22,Cincinnati Bengals,home,0.6,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
1766448011,2025-12-23 00:00:11,Cleveland Browns,away,0.35,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
1766448024,2025-12-23 00:00:24,Cincinnati Bengals,home,0.65,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
1766491212,2025-12-23 12:00:12,Cleveland Browns,away,0.375,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
1766491228,2025-12-23 12:00:28,Cincinnati Bengals,home,0.625,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
1766534411,2025-12-24 00:00:11,Cleveland Browns,away,0.375,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
1766534424,2025-12-24 00:00:24,Cincinnati Bengals,home,0.625,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
1766577610,2025-12-24 12:00:10,Cleveland Browns,away,0.375,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
1766577624,2025-12-24 12:00:24,Cincinnati Bengals,home,0.625,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
1766620821,2025-12-25 00:00:21,Cleveland Browns,away,0.375,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
1766620833,2025-12-25 00:00:33,Cincinnati Bengals,home,0.625,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
1766664011,2025-12-25 12:00:11,Cleveland Browns,away,0.375,18,2026-01-04,Cleveland Browns,Cincinnati Bengals
