timestamp,datetime,team,side,probability,week,date,away_team,home_team
1758456007,2025-09-21 12:00:07,Cleveland Browns,away,0.185,4,2025-09-28,Cleveland Browns,Detroit Lions
1758456022,2025-09-21 12:00:22,Detroit Lions,home,0.815,4,2025-09-28,Cleveland Browns,Detroit Lions
1758499206,2025-09-22 00:00:06,Cleveland Browns,away,0.2,4,2025-09-28,Cleveland Browns,Detroit Lions
1758499217,2025-09-22 00:00:17,Detroit Lions,home,0.8,4,2025-09-28,Cleveland Browns,Detroit Lions
1758542417,2025-09-22 12:00:17,Cleveland Browns,away,0.205,4,2025-09-28,Cleveland Browns,Detroit Lions
1758542425,2025-09-22 12:00:25,Detroit Lions,home,0.795,4,2025-09-28,Cleveland Browns,Detroit Lions
1758585609,2025-09-23 00:00:09,Cleveland Browns,away,0.205,4,2025-09-28,Cleveland Browns,Detroit Lions
1758585612,2025-09-23 00:00:12,Detroit Lions,home,0.795,4,2025-09-28,Cleveland Browns,Detroit Lions
1758628808,2025-09-23 12:00:08,Detroit Lions,home,0.805,4,2025-09-28,Cleveland Browns,Detroit Lions
1758628810,2025-09-23 12:00:10,Cleveland Browns,away,0.195,4,2025-09-28,Cleveland Browns,Detroit Lions
1758672010,2025-09-24 00:00:10,Detroit Lions,home,0.805,4,2025-09-28,Cleveland Browns,Detroit Lions
1758672018,2025-09-24 00:00:18,Cleveland Browns,away,0.195,4,2025-09-28,Cleveland Browns,Detroit Lions
1758715204,2025-09-24 12:00:04,Detroit Lions,home,0.81,4,2025-09-28,Cleveland Browns,Detroit Lions
1758715209,2025-09-24 12:00:09,Cleveland Browns,away,0.19,4,2025-09-28,Cleveland Browns,Detroit Lions
1758758404,2025-09-25 00:00:04,Cleveland Browns,away,0.185,4,2025-09-28,Cleveland Browns,Detroit Lions
1758758408,2025-09-25 00:00:08,Detroit Lions,home,0.815,4,2025-09-28,Cleveland Browns,Detroit Lions
1758801610,2025-09-25 12:00:10,Detroit Lions,home,0.815,4,2025-09-28,Cleveland Browns,Detroit Lions
1758801616,2025-09-25 12:00:16,Cleveland Browns,away,0.185,4,2025-09-28,Cleveland Browns,Detroit Lions
1758844807,2025-09-26 00:00:07,Detroit Lions,home,0.815,4,2025-09-28,Cleveland Browns,Detroit Lions
1758844811,2025-09-26 00:00:11,Cleveland Browns,away,0.185,4,2025-09-28,Cleveland Browns,Detroit Lions
1758888012,2025-09-26 12:00:12,Cleveland Browns,away,0.185,4,2025-09-28,Cleveland Browns,Detroit Lions
1758888013,2025-09-26 12:00:13,Detroit Lions,home,0.815,4,2025-09-28,Cleveland Browns,Detroit Lions
1758931208,2025-09-27 00:00:08,Detroit Lions,home,0.825,4,2025-09-28,Cleveland Browns,Detroit Lions
1758931208,2025-09-27 00:00:08,Cleveland Browns,away,0.175,4,2025-09-28,Cleveland Browns,Detroit Lions
1758974412,2025-09-27 12:00:12,Cleveland Browns,away,0.175,4,2025-09-28,Cleveland Browns,Detroit Lions
1758974414,2025-09-27 12:00:14,Detroit Lions,home,0.825,4,2025-09-28,Cleveland Browns,Detroit Lions
1759017610,2025-09-28 00:00:10,Cleveland Browns,away,0.175,4,2025-09-28,Cleveland Browns,Detroit Lions
1759017612,2025-09-28 00:00:12,Detroit Lions,home,0.825,4,2025-09-28,Cleveland Browns,Detroit Lions
1759060811,2025-09-28 12:00:11,Cleveland Browns,away,0.175,4,2025-09-28,Cleveland Browns,Detroit Lions
1759060819,2025-09-28 12:00:19,Detroit Lions,home,0.825,4,2025-09-28,Cleveland Browns,Detroit Lions
