timestamp,datetime,team,side,probability,week,date,away_team,home_team
1763424005,2025-11-18 00:00:05,Cleveland Browns,away,0.49,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763424016,2025-11-18 00:00:16,Las Vegas Raiders,home,0.51,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763467204,2025-11-18 12:00:04,Cleveland Browns,away,0.455,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763467226,2025-11-18 12:00:26,Las Vegas Raiders,home,0.545,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763510405,2025-11-19 00:00:05,Cleveland Browns,away,0.475,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763510423,2025-11-19 00:00:23,Las Vegas Raiders,home,0.525,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763553605,2025-11-19 12:00:05,Cleveland Browns,away,0.49,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763553629,2025-11-19 12:00:29,Las Vegas Raiders,home,0.51,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763596805,2025-11-20 00:00:05,Cleveland Browns,away,0.45,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763596815,2025-11-20 00:00:15,Las Vegas Raiders,home,0.55,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763640005,2025-11-20 12:00:05,Cleveland Browns,away,0.42,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763640016,2025-11-20 12:00:16,Las Vegas Raiders,home,0.58,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763683205,2025-11-21 00:00:05,Cleveland Browns,away,0.455,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763683224,2025-11-21 00:00:24,Las Vegas Raiders,home,0.545,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763726405,2025-11-21 12:00:05,Cleveland Browns,away,0.44,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763726416,2025-11-21 12:00:16,Las Vegas Raiders,home,0.56,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763769605,2025-11-22 00:00:05,Cleveland Browns,away,0.465,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763769616,2025-11-22 00:00:16,Las Vegas Raiders,home,0.535,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763812806,2025-11-22 12:00:06,Cleveland Browns,away,0.46,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763812816,2025-11-22 12:00:16,Las Vegas Raiders,home,0.54,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763856005,2025-11-23 00:00:05,Cleveland Browns,away,0.45,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763856017,2025-11-23 00:00:17,Las Vegas Raiders,home,0.55,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763899204,2025-11-23 12:00:04,Cleveland Browns,away,0.385,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763899216,2025-11-23 12:00:16,Las Vegas Raiders,home,0.615,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763942408,2025-11-24 00:00:08,Cleveland Browns,away,0.9995,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
1763942415,2025-11-24 00:00:15,Las Vegas Raiders,home,0.0005,12,2025-11-23,Cleveland Browns,Las Vegas Raiders
