timestamp,datetime,team,side,probability,week,date,away_team,home_team
1759665603,2025-10-05 12:00:03,Cleveland Browns,away,0.295,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759665603,2025-10-05 12:00:03,Pittsburgh Steelers,home,0.705,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759708808,2025-10-06 00:00:08,Cleveland Browns,away,0.305,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759708808,2025-10-06 00:00:08,Pittsburgh Steelers,home,0.695,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759752005,2025-10-06 12:00:05,Cleveland Browns,away,0.305,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759752009,2025-10-06 12:00:09,Pittsburgh Steelers,home,0.695,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759795205,2025-10-07 00:00:05,Cleveland Browns,away,0.305,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759795211,2025-10-07 00:00:11,Pittsburgh Steelers,home,0.695,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759838405,2025-10-07 12:00:05,Pittsburgh Steelers,home,0.68,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759838408,2025-10-07 12:00:08,Cleveland Browns,away,0.32,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759881611,2025-10-08 00:00:11,Pittsburgh Steelers,home,0.705,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759881613,2025-10-08 00:00:13,Cleveland Browns,away,0.295,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759924808,2025-10-08 12:00:08,Cleveland Browns,away,0.295,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759924817,2025-10-08 12:00:17,Pittsburgh Steelers,home,0.705,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759968005,2025-10-09 00:00:05,Pittsburgh Steelers,home,0.705,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1759968008,2025-10-09 00:00:08,Cleveland Browns,away,0.295,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1760011212,2025-10-09 12:00:12,Pittsburgh Steelers,home,0.715,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1760011212,2025-10-09 12:00:12,Cleveland Browns,away,0.285,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1760054413,2025-10-10 00:00:13,Cleveland Browns,away,0.285,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1760054413,2025-10-10 00:00:13,Pittsburgh Steelers,home,0.715,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1760097612,2025-10-10 12:00:12,Cleveland Browns,away,0.285,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1760097623,2025-10-10 12:00:23,Pittsburgh Steelers,home,0.715,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1760140807,2025-10-11 00:00:07,Pittsburgh Steelers,home,0.715,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1760140809,2025-10-11 00:00:09,Cleveland Browns,away,0.285,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1760184014,2025-10-11 12:00:14,Pittsburgh Steelers,home,0.715,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1760184021,2025-10-11 12:00:21,Cleveland Browns,away,0.285,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1760227212,2025-10-12 00:00:12,Pittsburgh Steelers,home,0.715,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1760227218,2025-10-12 00:00:18,Cleveland Browns,away,0.285,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1760270415,2025-10-12 12:00:15,Cleveland Browns,away,0.275,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
1760270420,2025-10-12 12:00:20,Pittsburgh Steelers,home,0.725,6,2025-10-12,Cleveland Browns,Pittsburgh Steelers
