timestamp,datetime,team,side,probability,week,date,away_team,home_team
1759665607,2025-10-05 12:00:07,Dallas Cowboys,away,0.635,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759665609,2025-10-05 12:00:09,Carolina Panthers,home,0.365,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759708803,2025-10-06 00:00:03,Dallas Cowboys,away,0.635,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759708805,2025-10-06 00:00:05,Carolina Panthers,home,0.365,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759752011,2025-10-06 12:00:11,Dallas Cowboys,away,0.63,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759752011,2025-10-06 12:00:11,Carolina Panthers,home,0.37,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759795208,2025-10-07 00:00:08,Dallas Cowboys,away,0.63,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759795210,2025-10-07 00:00:10,Carolina Panthers,home,0.37,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759838405,2025-10-07 12:00:05,Carolina Panthers,home,0.37,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759838407,2025-10-07 12:00:07,Dallas Cowboys,away,0.63,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759881611,2025-10-08 00:00:11,Carolina Panthers,home,0.375,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759881612,2025-10-08 00:00:12,Dallas Cowboys,away,0.625,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759924805,2025-10-08 12:00:05,Carolina Panthers,home,0.38,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759924815,2025-10-08 12:00:15,Dallas Cowboys,away,0.62,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759968006,2025-10-09 00:00:06,Carolina Panthers,home,0.4,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1759968014,2025-10-09 00:00:14,Dallas Cowboys,away,0.6,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1760011217,2025-10-09 12:00:17,Dallas Cowboys,away,0.605,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1760011221,2025-10-09 12:00:21,Carolina Panthers,home,0.395,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1760054404,2025-10-10 00:00:04,Carolina Panthers,home,0.395,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1760054418,2025-10-10 00:00:18,Dallas Cowboys,away,0.605,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1760097613,2025-10-10 12:00:13,Carolina Panthers,home,0.395,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1760097613,2025-10-10 12:00:13,Dallas Cowboys,away,0.605,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1760140807,2025-10-11 00:00:07,Carolina Panthers,home,0.395,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1760140814,2025-10-11 00:00:14,Dallas Cowboys,away,0.605,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1760184006,2025-10-11 12:00:06,Carolina Panthers,home,0.395,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1760184014,2025-10-11 12:00:14,Dallas Cowboys,away,0.605,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1760227207,2025-10-12 00:00:07,Carolina Panthers,home,0.405,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1760227213,2025-10-12 00:00:13,Dallas Cowboys,away,0.595,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1760270422,2025-10-12 12:00:22,Carolina Panthers,home,0.405,6,2025-10-12,Dallas Cowboys,Carolina Panthers
1760270423,2025-10-12 12:00:23,Dallas Cowboys,away,0.595,6,2025-10-12,Dallas Cowboys,Carolina Panthers
