timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757851232,2025-09-14 12:00:32,Chicago Bears,home,0.54,3,2025-09-21,Dallas Cowboys,Chicago Bears
1757851233,2025-09-14 12:00:33,Dallas Cowboys,away,0.46,3,2025-09-21,Dallas Cowboys,Chicago Bears
1757894403,2025-09-15 00:00:03,Chicago Bears,home,0.51,3,2025-09-21,Dallas Cowboys,Chicago Bears
1757894405,2025-09-15 00:00:05,Dallas Cowboys,away,0.49,3,2025-09-21,Dallas Cowboys,Chicago Bears
1757937614,2025-09-15 12:00:14,Dallas Cowboys,away,0.51,3,2025-09-21,Dallas Cowboys,Chicago Bears
1757937634,2025-09-15 12:00:34,Chicago Bears,home,0.49,3,2025-09-21,Dallas Cowboys,Chicago Bears
1757980811,2025-09-16 00:00:11,Dallas Cowboys,away,0.485,3,2025-09-21,Dallas Cowboys,Chicago Bears
1757980814,2025-09-16 00:00:14,Chicago Bears,home,0.515,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758024025,2025-09-16 12:00:25,Dallas Cowboys,away,0.495,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758024034,2025-09-16 12:00:34,Chicago Bears,home,0.505,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758067211,2025-09-17 00:00:11,Chicago Bears,home,0.495,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758067212,2025-09-17 00:00:12,Dallas Cowboys,away,0.505,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758110402,2025-09-17 12:00:02,Chicago Bears,home,0.48,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758110405,2025-09-17 12:00:05,Dallas Cowboys,away,0.52,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758153611,2025-09-18 00:00:11,Dallas Cowboys,away,0.505,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758153611,2025-09-18 00:00:11,Chicago Bears,home,0.495,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758196810,2025-09-18 12:00:10,Chicago Bears,home,0.485,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758196825,2025-09-18 12:00:25,Dallas Cowboys,away,0.515,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758240013,2025-09-19 00:00:13,Dallas Cowboys,away,0.51,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758240014,2025-09-19 00:00:14,Chicago Bears,home,0.49,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758283212,2025-09-19 12:00:12,Chicago Bears,home,0.485,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758283223,2025-09-19 12:00:23,Dallas Cowboys,away,0.515,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758326405,2025-09-20 00:00:05,Chicago Bears,home,0.475,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758326410,2025-09-20 00:00:10,Dallas Cowboys,away,0.525,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758369624,2025-09-20 12:00:24,Chicago Bears,home,0.475,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758369624,2025-09-20 12:00:24,Dallas Cowboys,away,0.525,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758412806,2025-09-21 00:00:06,Chicago Bears,home,0.475,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758412806,2025-09-21 00:00:06,Dallas Cowboys,away,0.525,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758456022,2025-09-21 12:00:22,Dallas Cowboys,away,0.53,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758456025,2025-09-21 12:00:25,Chicago Bears,home,0.47,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758499217,2025-09-22 00:00:17,Dallas Cowboys,away,0.0005,3,2025-09-21,Dallas Cowboys,Chicago Bears
1758499219,2025-09-22 00:00:19,Chicago Bears,home,0.9995,3,2025-09-21,Dallas Cowboys,Chicago Bears
