timestamp,datetime,team,side,probability,week,date,away_team,home_team
1760875205,2025-10-19 12:00:05,Dallas Cowboys,away,0.345,8,2025-10-26,Dallas Cowboys,Denver Broncos
1760875213,2025-10-19 12:00:13,Denver Broncos,home,0.655,8,2025-10-26,Dallas Cowboys,Denver Broncos
1760918411,2025-10-20 00:00:11,Dallas Cowboys,away,0.405,8,2025-10-26,Dallas Cowboys,Denver Broncos
1760918418,2025-10-20 00:00:18,Denver Broncos,home,0.595,8,2025-10-26,Dallas Cowboys,Denver Broncos
1760961621,2025-10-20 12:00:21,Dallas Cowboys,away,0.415,8,2025-10-26,Dallas Cowboys,Denver Broncos
1760961627,2025-10-20 12:00:27,Denver Broncos,home,0.585,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761004808,2025-10-21 00:00:08,Denver Broncos,home,0.62,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761004820,2025-10-21 00:00:20,Dallas Cowboys,away,0.38,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761048008,2025-10-21 12:00:08,Dallas Cowboys,away,0.385,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761048008,2025-10-21 12:00:08,Denver Broncos,home,0.615,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761091211,2025-10-22 00:00:11,Denver Broncos,home,0.615,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761091220,2025-10-22 00:00:20,Dallas Cowboys,away,0.385,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761134414,2025-10-22 12:00:14,Denver Broncos,home,0.62,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761134426,2025-10-22 12:00:26,Dallas Cowboys,away,0.38,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761177607,2025-10-23 00:00:07,Denver Broncos,home,0.625,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761177610,2025-10-23 00:00:10,Dallas Cowboys,away,0.375,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761220809,2025-10-23 12:00:09,Denver Broncos,home,0.615,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761220817,2025-10-23 12:00:17,Dallas Cowboys,away,0.385,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761264010,2025-10-24 00:00:10,Denver Broncos,home,0.615,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761264016,2025-10-24 00:00:16,Dallas Cowboys,away,0.385,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761307210,2025-10-24 12:00:10,Denver Broncos,home,0.62,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761307221,2025-10-24 12:00:21,Dallas Cowboys,away,0.38,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761350409,2025-10-25 00:00:09,Denver Broncos,home,0.625,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761350415,2025-10-25 00:00:15,Dallas Cowboys,away,0.375,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761393612,2025-10-25 12:00:12,Denver Broncos,home,0.625,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761393622,2025-10-25 12:00:22,Dallas Cowboys,away,0.375,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761436811,2025-10-26 00:00:11,Denver Broncos,home,0.62,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761436818,2025-10-26 00:00:18,Dallas Cowboys,away,0.38,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761480012,2025-10-26 12:00:12,Denver Broncos,home,0.625,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761480024,2025-10-26 12:00:24,Dallas Cowboys,away,0.375,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761523210,2025-10-27 00:00:10,Denver Broncos,home,0.9995,8,2025-10-26,Dallas Cowboys,Denver Broncos
1761523216,2025-10-27 00:00:16,Dallas Cowboys,away,0.0005,8,2025-10-26,Dallas Cowboys,Denver Broncos
