timestamp,datetime,team,side,probability,week,date,away_team,home_team
1766361617,2025-12-22 00:00:17,New York Giants,home,0.38,18,2026-01-04,Dallas Cowboys,New York Giants
1766361619,2025-12-22 00:00:19,Dallas Cowboys,away,0.62,18,2026-01-04,Dallas Cowboys,New York Giants
1766404817,2025-12-22 12:00:17,New York Giants,home,0.385,18,2026-01-04,Dallas Cowboys,New York Giants
1766404819,2025-12-22 12:00:19,Dallas Cowboys,away,0.615,18,2026-01-04,Dallas Cowboys,New York Giants
1766448019,2025-12-23 00:00:19,New York Giants,home,0.405,18,2026-01-04,Dallas Cowboys,New York Giants
1766448021,2025-12-23 00:00:21,Dallas Cowboys,away,0.595,18,2026-01-04,Dallas Cowboys,New York Giants
1766491222,2025-12-23 12:00:22,New York Giants,home,0.405,18,2026-01-04,Dallas Cowboys,New York Giants
1766491225,2025-12-23 12:00:25,Dallas Cowboys,away,0.595,18,2026-01-04,Dallas Cowboys,New York Giants
1766534419,2025-12-24 00:00:19,New York Giants,home,0.415,18,2026-01-04,Dallas Cowboys,New York Giants
1766534422,2025-12-24 00:00:22,Dallas Cowboys,away,0.585,18,2026-01-04,Dallas Cowboys,New York Giants
1766577619,2025-12-24 12:00:19,New York Giants,home,0.415,18,2026-01-04,Dallas Cowboys,New York Giants
1766577621,2025-12-24 12:00:21,Dallas Cowboys,away,0.585,18,2026-01-04,Dallas Cowboys,New York Giants
1766620829,2025-12-25 00:00:29,New York Giants,home,0.415,18,2026-01-04,Dallas Cowboys,New York Giants
1766620831,2025-12-25 00:00:31,Dallas Cowboys,away,0.585,18,2026-01-04,Dallas Cowboys,New York Giants
1766664020,2025-12-25 12:00:20,New York Giants,home,0.45,18,2026-01-04,Dallas Cowboys,New York Giants
1766664023,2025-12-25 12:00:23,Dallas Cowboys,away,0.55,18,2026-01-04,Dallas Cowboys,New York Giants
1766707214,2025-12-26 00:00:14,New York Giants,home,0.415,18,2026-01-04,Dallas Cowboys,New York Giants
1766707215,2025-12-26 00:00:15,Dallas Cowboys,away,0.585,18,2026-01-04,Dallas Cowboys,New York Giants
1766750417,2025-12-26 12:00:17,New York Giants,home,0.415,18,2026-01-04,Dallas Cowboys,New York Giants
1766750419,2025-12-26 12:00:19,Dallas Cowboys,away,0.585,18,2026-01-04,Dallas Cowboys,New York Giants
1766793618,2025-12-27 00:00:18,New York Giants,home,0.42,18,2026-01-04,Dallas Cowboys,New York Giants
1766793620,2025-12-27 00:00:20,Dallas Cowboys,away,0.58,18,2026-01-04,Dallas Cowboys,New York Giants
1766836818,2025-12-27 12:00:18,New York Giants,home,0.42,18,2026-01-04,Dallas Cowboys,New York Giants
1766836820,2025-12-27 12:00:20,Dallas Cowboys,away,0.58,18,2026-01-04,Dallas Cowboys,New York Giants
1766880018,2025-12-28 00:00:18,New York Giants,home,0.405,18,2026-01-04,Dallas Cowboys,New York Giants
