timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757246420,2025-09-07 12:00:20,Denver Broncos,away,0.61,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757246425,2025-09-07 12:00:25,Indianapolis Colts,home,0.39,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757289613,2025-09-08 00:00:13,Denver Broncos,away,0.79,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757289616,2025-09-08 00:00:16,Indianapolis Colts,home,0.21,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757332807,2025-09-08 12:00:07,Indianapolis Colts,home,0.445,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757332822,2025-09-08 12:00:22,Denver Broncos,away,0.555,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757376010,2025-09-09 00:00:10,Denver Broncos,away,0.555,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757376017,2025-09-09 00:00:17,Indianapolis Colts,home,0.445,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757419207,2025-09-09 12:00:07,Denver Broncos,away,0.55,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757419220,2025-09-09 12:00:20,Indianapolis Colts,home,0.45,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757462406,2025-09-10 00:00:06,Indianapolis Colts,home,0.475,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757462414,2025-09-10 00:00:14,Denver Broncos,away,0.525,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757505612,2025-09-10 12:00:12,Indianapolis Colts,home,0.475,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757505624,2025-09-10 12:00:24,Denver Broncos,away,0.525,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757548807,2025-09-11 00:00:07,Indianapolis Colts,home,0.475,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757548813,2025-09-11 00:00:13,Denver Broncos,away,0.525,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757592007,2025-09-11 12:00:07,Denver Broncos,away,0.525,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757592019,2025-09-11 12:00:19,Indianapolis Colts,home,0.475,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757635207,2025-09-12 00:00:07,Indianapolis Colts,home,0.47,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757635224,2025-09-12 00:00:24,Denver Broncos,away,0.53,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757678420,2025-09-12 12:00:20,Indianapolis Colts,home,0.485,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757678420,2025-09-12 12:00:20,Denver Broncos,away,0.515,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757721605,2025-09-13 00:00:05,Indianapolis Colts,home,0.475,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757721606,2025-09-13 00:00:06,Denver Broncos,away,0.525,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757764828,2025-09-13 12:00:28,Indianapolis Colts,home,0.465,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757764828,2025-09-13 12:00:28,Denver Broncos,away,0.535,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757808005,2025-09-14 00:00:05,Denver Broncos,away,0.525,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757808009,2025-09-14 00:00:09,Indianapolis Colts,home,0.475,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757851222,2025-09-14 12:00:22,Indianapolis Colts,home,0.475,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757851230,2025-09-14 12:00:30,Denver Broncos,away,0.525,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757894411,2025-09-15 00:00:11,Indianapolis Colts,home,0.9995,2,2025-09-14,Denver Broncos,Indianapolis Colts
1757894414,2025-09-15 00:00:14,Denver Broncos,away,0.0005,2,2025-09-14,Denver Broncos,Indianapolis Colts
