timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757851230,2025-09-14 12:00:30,Denver Broncos,away,0.42,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1757851233,2025-09-14 12:00:33,Los Angeles Chargers,home,0.58,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1757894403,2025-09-15 00:00:03,Denver Broncos,away,0.42,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1757894405,2025-09-15 00:00:05,Los Angeles Chargers,home,0.58,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1757937616,2025-09-15 12:00:16,Los Angeles Chargers,home,0.58,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1757937631,2025-09-15 12:00:31,Denver Broncos,away,0.42,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1757980806,2025-09-16 00:00:06,Denver Broncos,away,0.415,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1757980823,2025-09-16 00:00:23,Los Angeles Chargers,home,0.585,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758024007,2025-09-16 12:00:07,Los Angeles Chargers,home,0.585,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758024029,2025-09-16 12:00:29,Denver Broncos,away,0.415,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758067209,2025-09-17 00:00:09,Denver Broncos,away,0.415,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758067216,2025-09-17 00:00:16,Los Angeles Chargers,home,0.585,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758110417,2025-09-17 12:00:17,Denver Broncos,away,0.415,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758110425,2025-09-17 12:00:25,Los Angeles Chargers,home,0.585,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758153608,2025-09-18 00:00:08,Los Angeles Chargers,home,0.585,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758153612,2025-09-18 00:00:12,Denver Broncos,away,0.415,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758196808,2025-09-18 12:00:08,Denver Broncos,away,0.415,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758196830,2025-09-18 12:00:30,Los Angeles Chargers,home,0.585,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758240015,2025-09-19 00:00:15,Los Angeles Chargers,home,0.575,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758240018,2025-09-19 00:00:18,Denver Broncos,away,0.425,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758283212,2025-09-19 12:00:12,Denver Broncos,away,0.425,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758283229,2025-09-19 12:00:29,Los Angeles Chargers,home,0.575,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758326405,2025-09-20 00:00:05,Denver Broncos,away,0.415,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758326414,2025-09-20 00:00:14,Los Angeles Chargers,home,0.585,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758369610,2025-09-20 12:00:10,Denver Broncos,away,0.42,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758369624,2025-09-20 12:00:24,Los Angeles Chargers,home,0.58,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758412802,2025-09-21 00:00:02,Denver Broncos,away,0.415,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758412806,2025-09-21 00:00:06,Los Angeles Chargers,home,0.585,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758456010,2025-09-21 12:00:10,Denver Broncos,away,0.415,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758456020,2025-09-21 12:00:20,Los Angeles Chargers,home,0.585,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758499208,2025-09-22 00:00:08,Denver Broncos,away,0.0005,3,2025-09-21,Denver Broncos,Los Angeles Chargers
1758499215,2025-09-22 00:00:15,Los Angeles Chargers,home,0.9995,3,2025-09-21,Denver Broncos,Los Angeles Chargers
