timestamp,datetime,team,side,probability,week,date,away_team,home_team
1759060818,2025-09-28 12:00:18,Denver Broncos,away,0.315,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759060820,2025-09-28 12:00:20,Philadelphia Eagles,home,0.685,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759104004,2025-09-29 00:00:04,Denver Broncos,away,0.31,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759104005,2025-09-29 00:00:05,Philadelphia Eagles,home,0.69,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759147213,2025-09-29 12:00:13,Denver Broncos,away,0.305,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759147215,2025-09-29 12:00:15,Philadelphia Eagles,home,0.695,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759190407,2025-09-30 00:00:07,Denver Broncos,away,0.315,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759190407,2025-09-30 00:00:07,Philadelphia Eagles,home,0.685,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759233610,2025-09-30 12:00:10,Philadelphia Eagles,home,0.665,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759233616,2025-09-30 12:00:16,Denver Broncos,away,0.335,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759276808,2025-10-01 00:00:08,Philadelphia Eagles,home,0.655,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759276809,2025-10-01 00:00:09,Denver Broncos,away,0.345,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759320007,2025-10-01 12:00:07,Philadelphia Eagles,home,0.655,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759320008,2025-10-01 12:00:08,Denver Broncos,away,0.345,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759363203,2025-10-02 00:00:03,Philadelphia Eagles,home,0.655,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759363204,2025-10-02 00:00:04,Denver Broncos,away,0.345,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759406412,2025-10-02 12:00:12,Philadelphia Eagles,home,0.655,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759406416,2025-10-02 12:00:16,Denver Broncos,away,0.345,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759449604,2025-10-03 00:00:04,Philadelphia Eagles,home,0.655,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759449606,2025-10-03 00:00:06,Denver Broncos,away,0.345,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759492804,2025-10-03 12:00:04,Denver Broncos,away,0.345,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759492805,2025-10-03 12:00:05,Philadelphia Eagles,home,0.655,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759536002,2025-10-04 00:00:02,Philadelphia Eagles,home,0.675,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759536010,2025-10-04 00:00:10,Denver Broncos,away,0.325,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759579204,2025-10-04 12:00:04,Philadelphia Eagles,home,0.675,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759579218,2025-10-04 12:00:18,Denver Broncos,away,0.325,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759622405,2025-10-05 00:00:05,Denver Broncos,away,0.325,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759622407,2025-10-05 00:00:07,Philadelphia Eagles,home,0.675,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759665602,2025-10-05 12:00:02,Philadelphia Eagles,home,0.675,5,2025-10-05,Denver Broncos,Philadelphia Eagles
1759665605,2025-10-05 12:00:05,Denver Broncos,away,0.325,5,2025-10-05,Denver Broncos,Philadelphia Eagles
