timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757937607,2025-09-15 12:00:07,Baltimore Ravens,home,0.695,3,2025-09-22,Detroit Lions,Baltimore Ravens
1757937632,2025-09-15 12:00:32,Detroit Lions,away,0.305,3,2025-09-22,Detroit Lions,Baltimore Ravens
1757980802,2025-09-16 00:00:02,Baltimore Ravens,home,0.71,3,2025-09-22,Detroit Lions,Baltimore Ravens
1757980810,2025-09-16 00:00:10,Detroit Lions,away,0.29,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758024016,2025-09-16 12:00:16,Baltimore Ravens,home,0.71,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758024025,2025-09-16 12:00:25,Detroit Lions,away,0.29,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758067207,2025-09-17 00:00:07,Detroit Lions,away,0.305,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758067215,2025-09-17 00:00:15,Baltimore Ravens,home,0.695,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758110408,2025-09-17 12:00:08,Detroit Lions,away,0.315,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758110426,2025-09-17 12:00:26,Baltimore Ravens,home,0.685,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758153607,2025-09-18 00:00:07,Detroit Lions,away,0.31,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758153613,2025-09-18 00:00:13,Baltimore Ravens,home,0.69,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758196802,2025-09-18 12:00:02,Detroit Lions,away,0.31,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758196830,2025-09-18 12:00:30,Baltimore Ravens,home,0.69,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758240008,2025-09-19 00:00:08,Baltimore Ravens,home,0.68,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758240012,2025-09-19 00:00:12,Detroit Lions,away,0.32,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758283202,2025-09-19 12:00:02,Detroit Lions,away,0.315,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758283235,2025-09-19 12:00:35,Baltimore Ravens,home,0.685,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758326418,2025-09-20 00:00:18,Baltimore Ravens,home,0.685,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758326421,2025-09-20 00:00:21,Detroit Lions,away,0.315,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758369619,2025-09-20 12:00:19,Detroit Lions,away,0.315,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758369633,2025-09-20 12:00:33,Baltimore Ravens,home,0.685,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758412805,2025-09-21 00:00:05,Detroit Lions,away,0.315,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758412808,2025-09-21 00:00:08,Baltimore Ravens,home,0.685,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758456017,2025-09-21 12:00:17,Detroit Lions,away,0.335,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758456018,2025-09-21 12:00:18,Baltimore Ravens,home,0.665,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758499213,2025-09-22 00:00:13,Detroit Lions,away,0.325,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758499214,2025-09-22 00:00:14,Baltimore Ravens,home,0.675,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758542414,2025-09-22 12:00:14,Detroit Lions,away,0.32,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758542422,2025-09-22 12:00:22,Baltimore Ravens,home,0.68,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758585608,2025-09-23 00:00:08,Detroit Lions,away,0.315,3,2025-09-22,Detroit Lions,Baltimore Ravens
1758585611,2025-09-23 00:00:11,Baltimore Ravens,home,0.685,3,2025-09-22,Detroit Lions,Baltimore Ravens
