timestamp,datetime,team,side,probability,week,date,away_team,home_team
1766361612,2025-12-22 00:00:12,Chicago Bears,home,0.58,18,2026-01-04,Detroit Lions,Chicago Bears
1766361617,2025-12-22 00:00:17,Detroit Lions,away,0.42,18,2026-01-04,Detroit Lions,Chicago Bears
1766404813,2025-12-22 12:00:13,Chicago Bears,home,0.58,18,2026-01-04,Detroit Lions,Chicago Bears
1766404817,2025-12-22 12:00:17,Detroit Lions,away,0.42,18,2026-01-04,Detroit Lions,Chicago Bears
1766448014,2025-12-23 00:00:14,Chicago Bears,home,0.57,18,2026-01-04,Detroit Lions,Chicago Bears
1766448019,2025-12-23 00:00:19,Detroit Lions,away,0.43,18,2026-01-04,Detroit Lions,Chicago Bears
1766491215,2025-12-23 12:00:15,Chicago Bears,home,0.605,18,2026-01-04,Detroit Lions,Chicago Bears
1766491221,2025-12-23 12:00:21,Detroit Lions,away,0.395,18,2026-01-04,Detroit Lions,Chicago Bears
1766534414,2025-12-24 00:00:14,Chicago Bears,home,0.575,18,2026-01-04,Detroit Lions,Chicago Bears
1766534418,2025-12-24 00:00:18,Detroit Lions,away,0.425,18,2026-01-04,Detroit Lions,Chicago Bears
1766577614,2025-12-24 12:00:14,Chicago Bears,home,0.575,18,2026-01-04,Detroit Lions,Chicago Bears
1766577618,2025-12-24 12:00:18,Detroit Lions,away,0.425,18,2026-01-04,Detroit Lions,Chicago Bears
1766620824,2025-12-25 00:00:24,Chicago Bears,home,0.575,18,2026-01-04,Detroit Lions,Chicago Bears
1766620828,2025-12-25 00:00:28,Detroit Lions,away,0.425,18,2026-01-04,Detroit Lions,Chicago Bears
1766664015,2025-12-25 12:00:15,Chicago Bears,home,0.57,18,2026-01-04,Detroit Lions,Chicago Bears
1766664020,2025-12-25 12:00:20,Detroit Lions,away,0.43,18,2026-01-04,Detroit Lions,Chicago Bears
1766707211,2025-12-26 00:00:11,Chicago Bears,home,0.575,18,2026-01-04,Detroit Lions,Chicago Bears
1766707213,2025-12-26 00:00:13,Detroit Lions,away,0.425,18,2026-01-04,Detroit Lions,Chicago Bears
1766750413,2025-12-26 12:00:13,Chicago Bears,home,0.575,18,2026-01-04,Detroit Lions,Chicago Bears
1766750417,2025-12-26 12:00:17,Detroit Lions,away,0.425,18,2026-01-04,Detroit Lions,Chicago Bears
