timestamp,datetime,team,side,probability,week,date,away_team,home_team
1759060807,2025-09-28 12:00:07,Cincinnati Bengals,home,0.245,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759060810,2025-09-28 12:00:10,Detroit Lions,away,0.755,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759104006,2025-09-29 00:00:06,Cincinnati Bengals,home,0.215,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759104008,2025-09-29 00:00:08,Detroit Lions,away,0.785,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759147204,2025-09-29 12:00:04,Cincinnati Bengals,home,0.205,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759147206,2025-09-29 12:00:06,Detroit Lions,away,0.795,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759190409,2025-09-30 00:00:09,Cincinnati Bengals,home,0.21,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759190412,2025-09-30 00:00:12,Detroit Lions,away,0.79,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759233612,2025-09-30 12:00:12,Cincinnati Bengals,home,0.185,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759233613,2025-09-30 12:00:13,Detroit Lions,away,0.815,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759276804,2025-10-01 00:00:04,Cincinnati Bengals,home,0.175,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759276808,2025-10-01 00:00:08,Detroit Lions,away,0.825,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759320008,2025-10-01 12:00:08,Detroit Lions,away,0.825,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759320011,2025-10-01 12:00:11,Cincinnati Bengals,home,0.175,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759363204,2025-10-02 00:00:04,Detroit Lions,away,0.82,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759363207,2025-10-02 00:00:07,Cincinnati Bengals,home,0.18,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759406403,2025-10-02 12:00:03,Cincinnati Bengals,home,0.175,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759406418,2025-10-02 12:00:18,Detroit Lions,away,0.825,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759449608,2025-10-03 00:00:08,Detroit Lions,away,0.83,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759449609,2025-10-03 00:00:09,Cincinnati Bengals,home,0.17,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759492802,2025-10-03 12:00:02,Detroit Lions,away,0.835,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759492802,2025-10-03 12:00:02,Cincinnati Bengals,home,0.165,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759536008,2025-10-04 00:00:08,Cincinnati Bengals,home,0.175,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759536009,2025-10-04 00:00:09,Detroit Lions,away,0.825,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759579210,2025-10-04 12:00:10,Detroit Lions,away,0.83,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759579211,2025-10-04 12:00:11,Cincinnati Bengals,home,0.17,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759622402,2025-10-05 00:00:02,Cincinnati Bengals,home,0.165,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759622409,2025-10-05 00:00:09,Detroit Lions,away,0.835,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759665607,2025-10-05 12:00:07,Cincinnati Bengals,home,0.165,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759665611,2025-10-05 12:00:11,Detroit Lions,away,0.835,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759708803,2025-10-06 00:00:03,Cincinnati Bengals,home,0.0005,5,2025-10-05,Detroit Lions,Cincinnati Bengals
1759708807,2025-10-06 00:00:07,Detroit Lions,away,0.9995,5,2025-10-05,Detroit Lions,Cincinnati Bengals
