timestamp,datetime,team,side,probability,week,date,away_team,home_team
1759665608,2025-10-05 12:00:08,Kansas City Chiefs,home,0.515,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759665609,2025-10-05 12:00:09,Detroit Lions,away,0.485,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759708804,2025-10-06 00:00:04,Kansas City Chiefs,home,0.51,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759708805,2025-10-06 00:00:05,Detroit Lions,away,0.49,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759752004,2025-10-06 12:00:04,Detroit Lions,away,0.49,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759752010,2025-10-06 12:00:10,Kansas City Chiefs,home,0.51,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759795205,2025-10-07 00:00:05,Detroit Lions,away,0.495,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759795211,2025-10-07 00:00:11,Kansas City Chiefs,home,0.505,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759838412,2025-10-07 12:00:12,Detroit Lions,away,0.51,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759838415,2025-10-07 12:00:15,Kansas City Chiefs,home,0.49,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759881604,2025-10-08 00:00:04,Detroit Lions,away,0.445,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759881607,2025-10-08 00:00:07,Kansas City Chiefs,home,0.555,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759924802,2025-10-08 12:00:02,Detroit Lions,away,0.445,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759924814,2025-10-08 12:00:14,Kansas City Chiefs,home,0.555,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759968010,2025-10-09 00:00:10,Kansas City Chiefs,home,0.545,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1759968013,2025-10-09 00:00:13,Detroit Lions,away,0.455,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760011208,2025-10-09 12:00:08,Kansas City Chiefs,home,0.555,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760011211,2025-10-09 12:00:11,Detroit Lions,away,0.445,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760054410,2025-10-10 00:00:10,Kansas City Chiefs,home,0.545,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760054413,2025-10-10 00:00:13,Detroit Lions,away,0.455,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760097611,2025-10-10 12:00:11,Kansas City Chiefs,home,0.545,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760097624,2025-10-10 12:00:24,Detroit Lions,away,0.455,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760140814,2025-10-11 00:00:14,Kansas City Chiefs,home,0.555,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760140816,2025-10-11 00:00:16,Detroit Lions,away,0.445,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760184018,2025-10-11 12:00:18,Detroit Lions,away,0.445,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760184020,2025-10-11 12:00:20,Kansas City Chiefs,home,0.555,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760227215,2025-10-12 00:00:15,Detroit Lions,away,0.435,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760227216,2025-10-12 00:00:16,Kansas City Chiefs,home,0.565,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760270413,2025-10-12 12:00:13,Kansas City Chiefs,home,0.565,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760270421,2025-10-12 12:00:21,Detroit Lions,away,0.435,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760313606,2025-10-13 00:00:06,Kansas City Chiefs,home,0.575,6,2025-10-12,Detroit Lions,Kansas City Chiefs
1760313612,2025-10-13 00:00:12,Detroit Lions,away,0.425,6,2025-10-12,Detroit Lions,Kansas City Chiefs
