timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765584009,2025-12-13 00:00:09,Detroit Lions,away,0.595,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765584009,2025-12-13 00:00:09,Minnesota Vikings,home,0.405,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765627210,2025-12-13 12:00:10,Detroit Lions,away,0.675,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765627210,2025-12-13 12:00:10,Minnesota Vikings,home,0.325,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765670409,2025-12-14 00:00:09,Detroit Lions,away,0.68,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765670409,2025-12-14 00:00:09,Minnesota Vikings,home,0.32,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765713609,2025-12-14 12:00:09,Minnesota Vikings,home,0.285,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765713609,2025-12-14 12:00:09,Detroit Lions,away,0.715,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765756809,2025-12-15 00:00:09,Detroit Lions,away,0.725,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765756809,2025-12-15 00:00:09,Minnesota Vikings,home,0.275,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765800008,2025-12-15 12:00:08,Minnesota Vikings,home,0.345,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765800008,2025-12-15 12:00:08,Detroit Lions,away,0.655,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765843208,2025-12-16 00:00:08,Detroit Lions,away,0.715,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765843208,2025-12-16 00:00:08,Minnesota Vikings,home,0.285,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765886420,2025-12-16 12:00:20,Detroit Lions,away,0.71,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765886420,2025-12-16 12:00:20,Minnesota Vikings,home,0.29,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765929605,2025-12-17 00:00:05,Detroit Lions,away,0.595,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765929605,2025-12-17 00:00:05,Minnesota Vikings,home,0.405,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765929631,2025-12-17 00:00:31,Detroit Lions,away,0.595,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765929631,2025-12-17 00:00:31,Minnesota Vikings,home,0.405,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765972809,2025-12-17 12:00:09,Detroit Lions,away,0.665,17,2025-12-25,Detroit Lions,Minnesota Vikings
1765972809,2025-12-17 12:00:09,Minnesota Vikings,home,0.335,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766016019,2025-12-18 00:00:19,Minnesota Vikings,home,0.365,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766016019,2025-12-18 00:00:19,Detroit Lions,away,0.635,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766059209,2025-12-18 12:00:09,Minnesota Vikings,home,0.37,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766059209,2025-12-18 12:00:09,Detroit Lions,away,0.63,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766102409,2025-12-19 00:00:09,Minnesota Vikings,home,0.36,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766102409,2025-12-19 00:00:09,Detroit Lions,away,0.64,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766145610,2025-12-19 12:00:10,Minnesota Vikings,home,0.36,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766145611,2025-12-19 12:00:11,Detroit Lions,away,0.64,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766188808,2025-12-20 00:00:08,Detroit Lions,away,0.64,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766188808,2025-12-20 00:00:08,Minnesota Vikings,home,0.36,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766232009,2025-12-20 12:00:09,Minnesota Vikings,home,0.365,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766232009,2025-12-20 12:00:09,Detroit Lions,away,0.635,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766275209,2025-12-21 00:00:09,Minnesota Vikings,home,0.36,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766275209,2025-12-21 00:00:09,Detroit Lions,away,0.64,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766318408,2025-12-21 12:00:08,Minnesota Vikings,home,0.355,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766318408,2025-12-21 12:00:08,Detroit Lions,away,0.645,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766361608,2025-12-22 00:00:08,Minnesota Vikings,home,0.265,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766361608,2025-12-22 00:00:08,Detroit Lions,away,0.735,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766404808,2025-12-22 12:00:08,Minnesota Vikings,home,0.3,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766404808,2025-12-22 12:00:08,Detroit Lions,away,0.7,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766448009,2025-12-23 00:00:09,Minnesota Vikings,home,0.305,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766448009,2025-12-23 00:00:09,Detroit Lions,away,0.695,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766491210,2025-12-23 12:00:10,Detroit Lions,away,0.715,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766491210,2025-12-23 12:00:10,Minnesota Vikings,home,0.285,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766534410,2025-12-24 00:00:10,Minnesota Vikings,home,0.245,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766534410,2025-12-24 00:00:10,Detroit Lions,away,0.755,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766577609,2025-12-24 12:00:09,Minnesota Vikings,home,0.245,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766577609,2025-12-24 12:00:09,Detroit Lions,away,0.755,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766620819,2025-12-25 00:00:19,Minnesota Vikings,home,0.235,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766620819,2025-12-25 00:00:19,Detroit Lions,away,0.765,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766664010,2025-12-25 12:00:10,Minnesota Vikings,home,0.235,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766664010,2025-12-25 12:00:10,Detroit Lions,away,0.765,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766707208,2025-12-26 00:00:08,Detroit Lions,away,0.525,17,2025-12-25,Detroit Lions,Minnesota Vikings
1766707208,2025-12-26 00:00:08,Minnesota Vikings,home,0.475,17,2025-12-25,Detroit Lions,Minnesota Vikings
