timestamp,datetime,team,side,probability,week,date,away_team,home_team
1765843211,2025-12-16 00:00:11,Chicago Bears,home,0.495,16,2025-12-20,Green Bay Packers,Chicago Bears
1765843217,2025-12-16 00:00:17,Green Bay Packers,away,0.505,16,2025-12-20,Green Bay Packers,Chicago Bears
1765886423,2025-12-16 12:00:23,Chicago Bears,home,0.495,16,2025-12-20,Green Bay Packers,Chicago Bears
1765886430,2025-12-16 12:00:30,Green Bay Packers,away,0.505,16,2025-12-20,Green Bay Packers,Chicago Bears
1765929608,2025-12-17 00:00:08,Chicago Bears,home,0.405,16,2025-12-20,Green Bay Packers,Chicago Bears
1765929614,2025-12-17 00:00:14,Green Bay Packers,away,0.595,16,2025-12-20,Green Bay Packers,Chicago Bears
1765929632,2025-12-17 00:00:32,Chicago Bears,home,0.405,16,2025-12-20,Green Bay Packers,Chicago Bears
1765929635,2025-12-17 00:00:35,Green Bay Packers,away,0.595,16,2025-12-20,Green Bay Packers,Chicago Bears
1765972812,2025-12-17 12:00:12,Chicago Bears,home,0.46,16,2025-12-20,Green Bay Packers,Chicago Bears
1765972823,2025-12-17 12:00:23,Green Bay Packers,away,0.54,16,2025-12-20,Green Bay Packers,Chicago Bears
1766016021,2025-12-18 00:00:21,Chicago Bears,home,0.475,16,2025-12-20,Green Bay Packers,Chicago Bears
1766016025,2025-12-18 00:00:25,Green Bay Packers,away,0.525,16,2025-12-20,Green Bay Packers,Chicago Bears
1766059211,2025-12-18 12:00:11,Chicago Bears,home,0.47,16,2025-12-20,Green Bay Packers,Chicago Bears
1766059216,2025-12-18 12:00:16,Green Bay Packers,away,0.53,16,2025-12-20,Green Bay Packers,Chicago Bears
1766102412,2025-12-19 00:00:12,Chicago Bears,home,0.47,16,2025-12-20,Green Bay Packers,Chicago Bears
1766102416,2025-12-19 00:00:16,Green Bay Packers,away,0.53,16,2025-12-20,Green Bay Packers,Chicago Bears
1766145612,2025-12-19 12:00:12,Chicago Bears,home,0.525,16,2025-12-20,Green Bay Packers,Chicago Bears
1766145617,2025-12-19 12:00:17,Green Bay Packers,away,0.475,16,2025-12-20,Green Bay Packers,Chicago Bears
1766188811,2025-12-20 00:00:11,Chicago Bears,home,0.525,16,2025-12-20,Green Bay Packers,Chicago Bears
1766188816,2025-12-20 00:00:16,Green Bay Packers,away,0.475,16,2025-12-20,Green Bay Packers,Chicago Bears
1766232013,2025-12-20 12:00:13,Chicago Bears,home,0.54,16,2025-12-20,Green Bay Packers,Chicago Bears
1766232019,2025-12-20 12:00:19,Green Bay Packers,away,0.46,16,2025-12-20,Green Bay Packers,Chicago Bears
1766275211,2025-12-21 00:00:11,Chicago Bears,home,0.515,16,2025-12-20,Green Bay Packers,Chicago Bears
1766275216,2025-12-21 00:00:16,Green Bay Packers,away,0.485,16,2025-12-20,Green Bay Packers,Chicago Bears
