timestamp,datetime,team,side,probability,week,date,away_team,home_team
1762689604,2025-11-09 12:00:04,Green Bay Packers,away,0.715,11,2025-11-16,Green Bay Packers,New York Giants
1762689617,2025-11-09 12:00:17,New York Giants,home,0.285,11,2025-11-16,Green Bay Packers,New York Giants
1762732804,2025-11-10 00:00:04,Green Bay Packers,away,0.755,11,2025-11-16,Green Bay Packers,New York Giants
1762732810,2025-11-10 00:00:10,New York Giants,home,0.245,11,2025-11-16,Green Bay Packers,New York Giants
1762776004,2025-11-10 12:00:04,Green Bay Packers,away,0.79,11,2025-11-16,Green Bay Packers,New York Giants
1762776016,2025-11-10 12:00:16,New York Giants,home,0.21,11,2025-11-16,Green Bay Packers,New York Giants
1762819206,2025-11-11 00:00:06,Green Bay Packers,away,0.795,11,2025-11-16,Green Bay Packers,New York Giants
1762819216,2025-11-11 00:00:16,New York Giants,home,0.205,11,2025-11-16,Green Bay Packers,New York Giants
1762862419,2025-11-11 12:00:19,Green Bay Packers,away,0.785,11,2025-11-16,Green Bay Packers,New York Giants
1762862432,2025-11-11 12:00:32,New York Giants,home,0.215,11,2025-11-16,Green Bay Packers,New York Giants
1762905608,2025-11-12 00:00:08,Green Bay Packers,away,0.765,11,2025-11-16,Green Bay Packers,New York Giants
1762905614,2025-11-12 00:00:14,New York Giants,home,0.235,11,2025-11-16,Green Bay Packers,New York Giants
1762948805,2025-11-12 12:00:05,Green Bay Packers,away,0.765,11,2025-11-16,Green Bay Packers,New York Giants
1762948818,2025-11-12 12:00:18,New York Giants,home,0.235,11,2025-11-16,Green Bay Packers,New York Giants
1762992004,2025-11-13 00:00:04,Green Bay Packers,away,0.755,11,2025-11-16,Green Bay Packers,New York Giants
1762992014,2025-11-13 00:00:14,New York Giants,home,0.245,11,2025-11-16,Green Bay Packers,New York Giants
1763035204,2025-11-13 12:00:04,Green Bay Packers,away,0.755,11,2025-11-16,Green Bay Packers,New York Giants
1763035220,2025-11-13 12:00:20,New York Giants,home,0.245,11,2025-11-16,Green Bay Packers,New York Giants
1763078405,2025-11-14 00:00:05,Green Bay Packers,away,0.755,11,2025-11-16,Green Bay Packers,New York Giants
1763078413,2025-11-14 00:00:13,New York Giants,home,0.245,11,2025-11-16,Green Bay Packers,New York Giants
1763121605,2025-11-14 12:00:05,Green Bay Packers,away,0.755,11,2025-11-16,Green Bay Packers,New York Giants
1763121620,2025-11-14 12:00:20,New York Giants,home,0.245,11,2025-11-16,Green Bay Packers,New York Giants
1763164805,2025-11-15 00:00:05,Green Bay Packers,away,0.755,11,2025-11-16,Green Bay Packers,New York Giants
1763164816,2025-11-15 00:00:16,New York Giants,home,0.245,11,2025-11-16,Green Bay Packers,New York Giants
1763208005,2025-11-15 12:00:05,Green Bay Packers,away,0.755,11,2025-11-16,Green Bay Packers,New York Giants
1763208020,2025-11-15 12:00:20,New York Giants,home,0.245,11,2025-11-16,Green Bay Packers,New York Giants
1763251205,2025-11-16 00:00:05,Green Bay Packers,away,0.755,11,2025-11-16,Green Bay Packers,New York Giants
1763251211,2025-11-16 00:00:11,New York Giants,home,0.245,11,2025-11-16,Green Bay Packers,New York Giants
1763294404,2025-11-16 12:00:04,Green Bay Packers,away,0.765,11,2025-11-16,Green Bay Packers,New York Giants
1763294419,2025-11-16 12:00:19,New York Giants,home,0.235,11,2025-11-16,Green Bay Packers,New York Giants
