timestamp,datetime,team,side,probability,week,date,away_team,home_team
1759060805,2025-09-28 12:00:05,Baltimore Ravens,home,0.795,5,2025-10-05,Houston Texans,Baltimore Ravens
1759060815,2025-09-28 12:00:15,Houston Texans,away,0.205,5,2025-10-05,Houston Texans,Baltimore Ravens
1759104006,2025-09-29 00:00:06,Baltimore Ravens,home,0.755,5,2025-10-05,Houston Texans,Baltimore Ravens
1759104009,2025-09-29 00:00:09,Houston Texans,away,0.245,5,2025-10-05,Houston Texans,Baltimore Ravens
1759147203,2025-09-29 12:00:03,Baltimore Ravens,home,0.735,5,2025-10-05,Houston Texans,Baltimore Ravens
1759147212,2025-09-29 12:00:12,Houston Texans,away,0.265,5,2025-10-05,Houston Texans,Baltimore Ravens
1759190404,2025-09-30 00:00:04,Houston Texans,away,0.385,5,2025-10-05,Houston Texans,Baltimore Ravens
1759190405,2025-09-30 00:00:05,Baltimore Ravens,home,0.615,5,2025-10-05,Houston Texans,Baltimore Ravens
1759233608,2025-09-30 12:00:08,Houston Texans,away,0.395,5,2025-10-05,Houston Texans,Baltimore Ravens
1759233613,2025-09-30 12:00:13,Baltimore Ravens,home,0.605,5,2025-10-05,Houston Texans,Baltimore Ravens
1759276808,2025-10-01 00:00:08,Houston Texans,away,0.535,5,2025-10-05,Houston Texans,Baltimore Ravens
1759276808,2025-10-01 00:00:08,Baltimore Ravens,home,0.465,5,2025-10-05,Houston Texans,Baltimore Ravens
1759320007,2025-10-01 12:00:07,Baltimore Ravens,home,0.465,5,2025-10-05,Houston Texans,Baltimore Ravens
1759320015,2025-10-01 12:00:15,Houston Texans,away,0.535,5,2025-10-05,Houston Texans,Baltimore Ravens
1759363204,2025-10-02 00:00:04,Baltimore Ravens,home,0.475,5,2025-10-05,Houston Texans,Baltimore Ravens
1759363209,2025-10-02 00:00:09,Houston Texans,away,0.525,5,2025-10-05,Houston Texans,Baltimore Ravens
1759406412,2025-10-02 12:00:12,Baltimore Ravens,home,0.47,5,2025-10-05,Houston Texans,Baltimore Ravens
1759406417,2025-10-02 12:00:17,Houston Texans,away,0.53,5,2025-10-05,Houston Texans,Baltimore Ravens
1759449604,2025-10-03 00:00:04,Baltimore Ravens,home,0.445,5,2025-10-05,Houston Texans,Baltimore Ravens
1759449607,2025-10-03 00:00:07,Houston Texans,away,0.555,5,2025-10-05,Houston Texans,Baltimore Ravens
1759492809,2025-10-03 12:00:09,Baltimore Ravens,home,0.435,5,2025-10-05,Houston Texans,Baltimore Ravens
1759492809,2025-10-03 12:00:09,Houston Texans,away,0.565,5,2025-10-05,Houston Texans,Baltimore Ravens
1759536005,2025-10-04 00:00:05,Baltimore Ravens,home,0.47,5,2025-10-05,Houston Texans,Baltimore Ravens
1759536005,2025-10-04 00:00:05,Houston Texans,away,0.53,5,2025-10-05,Houston Texans,Baltimore Ravens
1759579214,2025-10-04 12:00:14,Baltimore Ravens,home,0.465,5,2025-10-05,Houston Texans,Baltimore Ravens
1759579217,2025-10-04 12:00:17,Houston Texans,away,0.535,5,2025-10-05,Houston Texans,Baltimore Ravens
1759622404,2025-10-05 00:00:04,Baltimore Ravens,home,0.465,5,2025-10-05,Houston Texans,Baltimore Ravens
1759622405,2025-10-05 00:00:05,Houston Texans,away,0.535,5,2025-10-05,Houston Texans,Baltimore Ravens
1759665604,2025-10-05 12:00:04,Houston Texans,away,0.52,5,2025-10-05,Houston Texans,Baltimore Ravens
1759665605,2025-10-05 12:00:05,Baltimore Ravens,home,0.48,5,2025-10-05,Houston Texans,Baltimore Ravens
