timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757851215,2025-09-14 12:00:15,Jacksonville Jaguars,home,0.51,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1757851226,2025-09-14 12:00:26,Houston Texans,away,0.49,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1757894410,2025-09-15 00:00:10,Jacksonville Jaguars,home,0.515,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1757894413,2025-09-15 00:00:13,Houston Texans,away,0.485,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1757937612,2025-09-15 12:00:12,Houston Texans,away,0.465,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1757937631,2025-09-15 12:00:31,Jacksonville Jaguars,home,0.535,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1757980802,2025-09-16 00:00:02,Houston Texans,away,0.47,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1757980824,2025-09-16 00:00:24,Jacksonville Jaguars,home,0.53,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758024016,2025-09-16 12:00:16,Jacksonville Jaguars,home,0.52,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758024016,2025-09-16 12:00:16,Houston Texans,away,0.48,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758067209,2025-09-17 00:00:09,Houston Texans,away,0.46,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758067219,2025-09-17 00:00:19,Jacksonville Jaguars,home,0.54,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758110408,2025-09-17 12:00:08,Jacksonville Jaguars,home,0.54,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758110422,2025-09-17 12:00:22,Houston Texans,away,0.46,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758153606,2025-09-18 00:00:06,Houston Texans,away,0.45,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758153615,2025-09-18 00:00:15,Jacksonville Jaguars,home,0.55,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758196823,2025-09-18 12:00:23,Houston Texans,away,0.465,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758196823,2025-09-18 12:00:23,Jacksonville Jaguars,home,0.535,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758240012,2025-09-19 00:00:12,Houston Texans,away,0.47,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758240015,2025-09-19 00:00:15,Jacksonville Jaguars,home,0.53,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758283227,2025-09-19 12:00:27,Jacksonville Jaguars,home,0.53,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758283231,2025-09-19 12:00:31,Houston Texans,away,0.47,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758326413,2025-09-20 00:00:13,Jacksonville Jaguars,home,0.525,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758326415,2025-09-20 00:00:15,Houston Texans,away,0.475,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758369602,2025-09-20 12:00:02,Houston Texans,away,0.475,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758369617,2025-09-20 12:00:17,Jacksonville Jaguars,home,0.525,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758412804,2025-09-21 00:00:04,Jacksonville Jaguars,home,0.535,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758412810,2025-09-21 00:00:10,Houston Texans,away,0.465,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758456015,2025-09-21 12:00:15,Houston Texans,away,0.465,3,2025-09-21,Houston Texans,Jacksonville Jaguars
1758456025,2025-09-21 12:00:25,Jacksonville Jaguars,home,0.535,3,2025-09-21,Houston Texans,Jacksonville Jaguars
