timestamp,datetime,team,side,probability,week,date,away_team,home_team
1764028814,2025-11-25 00:00:14,Houston Texans,away,0.63,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764028814,2025-11-25 00:00:14,Kansas City Chiefs,home,0.37,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764072017,2025-11-25 12:00:17,Kansas City Chiefs,home,0.52,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764072018,2025-11-25 12:00:18,Houston Texans,away,0.48,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764115212,2025-11-26 00:00:12,Kansas City Chiefs,home,0.61,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764115213,2025-11-26 00:00:13,Houston Texans,away,0.39,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764158432,2025-11-26 12:00:32,Kansas City Chiefs,home,0.465,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764158433,2025-11-26 12:00:33,Houston Texans,away,0.535,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764201615,2025-11-27 00:00:15,Kansas City Chiefs,home,0.47,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764201615,2025-11-27 00:00:15,Houston Texans,away,0.53,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764244822,2025-11-27 12:00:22,Kansas City Chiefs,home,0.465,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764244823,2025-11-27 12:00:23,Houston Texans,away,0.535,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764288014,2025-11-28 00:00:14,Houston Texans,away,0.41,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764288014,2025-11-28 00:00:14,Kansas City Chiefs,home,0.59,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764331220,2025-11-28 12:00:20,Kansas City Chiefs,home,0.665,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764331222,2025-11-28 12:00:22,Houston Texans,away,0.335,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764374418,2025-11-29 00:00:18,Kansas City Chiefs,home,0.655,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764374419,2025-11-29 00:00:19,Houston Texans,away,0.345,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764417621,2025-11-29 12:00:21,Kansas City Chiefs,home,0.655,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764417622,2025-11-29 12:00:22,Houston Texans,away,0.345,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764460814,2025-11-30 00:00:14,Kansas City Chiefs,home,0.655,14,2025-12-07,Houston Texans,Kansas City Chiefs
1764460815,2025-11-30 00:00:15,Houston Texans,away,0.345,14,2025-12-07,Houston Texans,Kansas City Chiefs
