timestamp,datetime,team,side,probability,week,date,away_team,home_team
1760356817,2025-10-13 12:00:17,Houston Texans,away,0.39,7,2025-10-20,Houston Texans,Seattle Seahawks
1760356818,2025-10-13 12:00:18,Seattle Seahawks,home,0.61,7,2025-10-20,Houston Texans,Seattle Seahawks
1760400016,2025-10-14 00:00:16,Houston Texans,away,0.375,7,2025-10-20,Houston Texans,Seattle Seahawks
1760400017,2025-10-14 00:00:17,Seattle Seahawks,home,0.625,7,2025-10-20,Houston Texans,Seattle Seahawks
1760443214,2025-10-14 12:00:14,Seattle Seahawks,home,0.635,7,2025-10-20,Houston Texans,Seattle Seahawks
1760443222,2025-10-14 12:00:22,Houston Texans,away,0.365,7,2025-10-20,Houston Texans,Seattle Seahawks
1760486413,2025-10-15 00:00:13,Seattle Seahawks,home,0.625,7,2025-10-20,Houston Texans,Seattle Seahawks
1760486415,2025-10-15 00:00:15,Houston Texans,away,0.375,7,2025-10-20,Houston Texans,Seattle Seahawks
1760529611,2025-10-15 12:00:11,Houston Texans,away,0.375,7,2025-10-20,Houston Texans,Seattle Seahawks
1760529623,2025-10-15 12:00:23,Seattle Seahawks,home,0.625,7,2025-10-20,Houston Texans,Seattle Seahawks
1760572807,2025-10-16 00:00:07,Seattle Seahawks,home,0.615,7,2025-10-20,Houston Texans,Seattle Seahawks
1760572816,2025-10-16 00:00:16,Houston Texans,away,0.385,7,2025-10-20,Houston Texans,Seattle Seahawks
1760616015,2025-10-16 12:00:15,Seattle Seahawks,home,0.615,7,2025-10-20,Houston Texans,Seattle Seahawks
1760616021,2025-10-16 12:00:21,Houston Texans,away,0.385,7,2025-10-20,Houston Texans,Seattle Seahawks
1760659205,2025-10-17 00:00:05,Houston Texans,away,0.385,7,2025-10-20,Houston Texans,Seattle Seahawks
1760659206,2025-10-17 00:00:06,Seattle Seahawks,home,0.615,7,2025-10-20,Houston Texans,Seattle Seahawks
1760702406,2025-10-17 12:00:06,Houston Texans,away,0.385,7,2025-10-20,Houston Texans,Seattle Seahawks
1760702415,2025-10-17 12:00:15,Seattle Seahawks,home,0.615,7,2025-10-20,Houston Texans,Seattle Seahawks
1760745613,2025-10-18 00:00:13,Houston Texans,away,0.385,7,2025-10-20,Houston Texans,Seattle Seahawks
1760745619,2025-10-18 00:00:19,Seattle Seahawks,home,0.615,7,2025-10-20,Houston Texans,Seattle Seahawks
1760788803,2025-10-18 12:00:03,Seattle Seahawks,home,0.615,7,2025-10-20,Houston Texans,Seattle Seahawks
1760788822,2025-10-18 12:00:22,Houston Texans,away,0.385,7,2025-10-20,Houston Texans,Seattle Seahawks
1760832010,2025-10-19 00:00:10,Houston Texans,away,0.375,7,2025-10-20,Houston Texans,Seattle Seahawks
1760832017,2025-10-19 00:00:17,Seattle Seahawks,home,0.625,7,2025-10-20,Houston Texans,Seattle Seahawks
1760875210,2025-10-19 12:00:10,Seattle Seahawks,home,0.625,7,2025-10-20,Houston Texans,Seattle Seahawks
1760875220,2025-10-19 12:00:20,Houston Texans,away,0.375,7,2025-10-20,Houston Texans,Seattle Seahawks
1760918416,2025-10-20 00:00:16,Seattle Seahawks,home,0.625,7,2025-10-20,Houston Texans,Seattle Seahawks
1760918423,2025-10-20 00:00:23,Houston Texans,away,0.375,7,2025-10-20,Houston Texans,Seattle Seahawks
1760961610,2025-10-20 12:00:10,Houston Texans,away,0.375,7,2025-10-20,Houston Texans,Seattle Seahawks
1760961625,2025-10-20 12:00:25,Seattle Seahawks,home,0.625,7,2025-10-20,Houston Texans,Seattle Seahawks
1761004806,2025-10-21 00:00:06,Seattle Seahawks,home,0.625,7,2025-10-20,Houston Texans,Seattle Seahawks
1761004814,2025-10-21 00:00:14,Houston Texans,away,0.375,7,2025-10-20,Houston Texans,Seattle Seahawks
