timestamp,datetime,team,side,probability,week,date,away_team,home_team
1762689609,2025-11-09 12:00:09,Tennessee Titans,home,0.245,11,2025-11-16,Houston Texans,Tennessee Titans
1762689629,2025-11-09 12:00:29,Houston Texans,away,0.755,11,2025-11-16,Houston Texans,Tennessee Titans
1762732807,2025-11-10 00:00:07,Tennessee Titans,home,0.23,11,2025-11-16,Houston Texans,Tennessee Titans
1762732816,2025-11-10 00:00:16,Houston Texans,away,0.77,11,2025-11-16,Houston Texans,Tennessee Titans
1762776010,2025-11-10 12:00:10,Tennessee Titans,home,0.235,11,2025-11-16,Houston Texans,Tennessee Titans
1762776029,2025-11-10 12:00:29,Houston Texans,away,0.765,11,2025-11-16,Houston Texans,Tennessee Titans
1762819211,2025-11-11 00:00:11,Tennessee Titans,home,0.235,11,2025-11-16,Houston Texans,Tennessee Titans
1762819225,2025-11-11 00:00:25,Houston Texans,away,0.765,11,2025-11-16,Houston Texans,Tennessee Titans
1762862424,2025-11-11 12:00:24,Tennessee Titans,home,0.235,11,2025-11-16,Houston Texans,Tennessee Titans
1762862446,2025-11-11 12:00:46,Houston Texans,away,0.765,11,2025-11-16,Houston Texans,Tennessee Titans
1762905611,2025-11-12 00:00:11,Tennessee Titans,home,0.25,11,2025-11-16,Houston Texans,Tennessee Titans
1762905621,2025-11-12 00:00:21,Houston Texans,away,0.75,11,2025-11-16,Houston Texans,Tennessee Titans
1762948812,2025-11-12 12:00:12,Tennessee Titans,home,0.235,11,2025-11-16,Houston Texans,Tennessee Titans
1762948833,2025-11-12 12:00:33,Houston Texans,away,0.765,11,2025-11-16,Houston Texans,Tennessee Titans
1762992009,2025-11-13 00:00:09,Tennessee Titans,home,0.265,11,2025-11-16,Houston Texans,Tennessee Titans
1762992024,2025-11-13 00:00:24,Houston Texans,away,0.735,11,2025-11-16,Houston Texans,Tennessee Titans
1763035212,2025-11-13 12:00:12,Tennessee Titans,home,0.255,11,2025-11-16,Houston Texans,Tennessee Titans
1763035237,2025-11-13 12:00:37,Houston Texans,away,0.745,11,2025-11-16,Houston Texans,Tennessee Titans
1763078409,2025-11-14 00:00:09,Tennessee Titans,home,0.285,11,2025-11-16,Houston Texans,Tennessee Titans
1763078423,2025-11-14 00:00:23,Houston Texans,away,0.715,11,2025-11-16,Houston Texans,Tennessee Titans
1763121612,2025-11-14 12:00:12,Tennessee Titans,home,0.285,11,2025-11-16,Houston Texans,Tennessee Titans
1763121637,2025-11-14 12:00:37,Houston Texans,away,0.715,11,2025-11-16,Houston Texans,Tennessee Titans
1763164810,2025-11-15 00:00:10,Tennessee Titans,home,0.295,11,2025-11-16,Houston Texans,Tennessee Titans
1763164829,2025-11-15 00:00:29,Houston Texans,away,0.705,11,2025-11-16,Houston Texans,Tennessee Titans
1763208012,2025-11-15 12:00:12,Tennessee Titans,home,0.295,11,2025-11-16,Houston Texans,Tennessee Titans
1763208037,2025-11-15 12:00:37,Houston Texans,away,0.705,11,2025-11-16,Houston Texans,Tennessee Titans
1763251208,2025-11-16 00:00:08,Tennessee Titans,home,0.305,11,2025-11-16,Houston Texans,Tennessee Titans
1763251218,2025-11-16 00:00:18,Houston Texans,away,0.695,11,2025-11-16,Houston Texans,Tennessee Titans
1763294411,2025-11-16 12:00:11,Tennessee Titans,home,0.305,11,2025-11-16,Houston Texans,Tennessee Titans
1763294432,2025-11-16 12:00:32,Houston Texans,away,0.695,11,2025-11-16,Houston Texans,Tennessee Titans
