timestamp,datetime,team,side,probability,week,date,away_team,home_team
1766361611,2025-12-22 00:00:11,Indianapolis Colts,away,0.375,18,2026-01-04,Indianapolis Colts,Houston Texans
1766361612,2025-12-22 00:00:12,Houston Texans,home,0.625,18,2026-01-04,Indianapolis Colts,Houston Texans
1766404811,2025-12-22 12:00:11,Indianapolis Colts,away,0.365,18,2026-01-04,Indianapolis Colts,Houston Texans
1766404812,2025-12-22 12:00:12,Houston Texans,home,0.635,18,2026-01-04,Indianapolis Colts,Houston Texans
1766448013,2025-12-23 00:00:13,Indianapolis Colts,away,0.355,18,2026-01-04,Indianapolis Colts,Houston Texans
1766448014,2025-12-23 00:00:14,Houston Texans,home,0.645,18,2026-01-04,Indianapolis Colts,Houston Texans
1766491213,2025-12-23 12:00:13,Indianapolis Colts,away,0.355,18,2026-01-04,Indianapolis Colts,Houston Texans
1766491215,2025-12-23 12:00:15,Houston Texans,home,0.645,18,2026-01-04,Indianapolis Colts,Houston Texans
1766534413,2025-12-24 00:00:13,Indianapolis Colts,away,0.315,18,2026-01-04,Indianapolis Colts,Houston Texans
1766534414,2025-12-24 00:00:14,Houston Texans,home,0.685,18,2026-01-04,Indianapolis Colts,Houston Texans
1766577612,2025-12-24 12:00:12,Indianapolis Colts,away,0.315,18,2026-01-04,Indianapolis Colts,Houston Texans
1766577613,2025-12-24 12:00:13,Houston Texans,home,0.685,18,2026-01-04,Indianapolis Colts,Houston Texans
1766620823,2025-12-25 00:00:23,Indianapolis Colts,away,0.315,18,2026-01-04,Indianapolis Colts,Houston Texans
1766620824,2025-12-25 00:00:24,Houston Texans,home,0.685,18,2026-01-04,Indianapolis Colts,Houston Texans
1766664013,2025-12-25 12:00:13,Indianapolis Colts,away,0.315,18,2026-01-04,Indianapolis Colts,Houston Texans
1766664014,2025-12-25 12:00:14,Houston Texans,home,0.685,18,2026-01-04,Indianapolis Colts,Houston Texans
1766707210,2025-12-26 00:00:10,Indianapolis Colts,away,0.325,18,2026-01-04,Indianapolis Colts,Houston Texans
1766707211,2025-12-26 00:00:11,Houston Texans,home,0.675,18,2026-01-04,Indianapolis Colts,Houston Texans
1766750412,2025-12-26 12:00:12,Indianapolis Colts,away,0.33,18,2026-01-04,Indianapolis Colts,Houston Texans
1766750413,2025-12-26 12:00:13,Houston Texans,home,0.67,18,2026-01-04,Indianapolis Colts,Houston Texans
1766793613,2025-12-27 00:00:13,Indianapolis Colts,away,0.33,18,2026-01-04,Indianapolis Colts,Houston Texans
1766793614,2025-12-27 00:00:14,Houston Texans,home,0.67,18,2026-01-04,Indianapolis Colts,Houston Texans
1766836813,2025-12-27 12:00:13,Indianapolis Colts,away,0.315,18,2026-01-04,Indianapolis Colts,Houston Texans
1766836814,2025-12-27 12:00:14,Houston Texans,home,0.685,18,2026-01-04,Indianapolis Colts,Houston Texans
1766880013,2025-12-28 00:00:13,Indianapolis Colts,away,0.35,18,2026-01-04,Indianapolis Colts,Houston Texans
1766880014,2025-12-28 00:00:14,Houston Texans,home,0.65,18,2026-01-04,Indianapolis Colts,Houston Texans
1766923213,2025-12-28 12:00:13,Indianapolis Colts,away,0.315,18,2026-01-04,Indianapolis Colts,Houston Texans
1766923214,2025-12-28 12:00:14,Houston Texans,home,0.685,18,2026-01-04,Indianapolis Colts,Houston Texans
1766966429,2025-12-29 00:00:29,Indianapolis Colts,away,0.21,18,2026-01-04,Indianapolis Colts,Houston Texans
1766966430,2025-12-29 00:00:30,Houston Texans,home,0.79,18,2026-01-04,Indianapolis Colts,Houston Texans
1767009613,2025-12-29 12:00:13,Indianapolis Colts,away,0.17,18,2026-01-04,Indianapolis Colts,Houston Texans
1767009614,2025-12-29 12:00:14,Houston Texans,home,0.83,18,2026-01-04,Indianapolis Colts,Houston Texans
1767052816,2025-12-30 00:00:16,Indianapolis Colts,away,0.17,18,2026-01-04,Indianapolis Colts,Houston Texans
1767052817,2025-12-30 00:00:17,Houston Texans,home,0.83,18,2026-01-04,Indianapolis Colts,Houston Texans
1767096014,2025-12-30 12:00:14,Indianapolis Colts,away,0.165,18,2026-01-04,Indianapolis Colts,Houston Texans
1767096015,2025-12-30 12:00:15,Houston Texans,home,0.835,18,2026-01-04,Indianapolis Colts,Houston Texans
1767139213,2025-12-31 00:00:13,Indianapolis Colts,away,0.16,18,2026-01-04,Indianapolis Colts,Houston Texans
1767139214,2025-12-31 00:00:14,Houston Texans,home,0.84,18,2026-01-04,Indianapolis Colts,Houston Texans
1767182413,2025-12-31 12:00:13,Houston Texans,home,0.84,18,2026-01-04,Indianapolis Colts,Houston Texans
1767182413,2025-12-31 12:00:13,Indianapolis Colts,away,0.16,18,2026-01-04,Indianapolis Colts,Houston Texans
1767225613,2026-01-01 00:00:13,Indianapolis Colts,away,0.165,18,2026-01-04,Indianapolis Colts,Houston Texans
1767225614,2026-01-01 00:00:14,Houston Texans,home,0.835,18,2026-01-04,Indianapolis Colts,Houston Texans
1767268814,2026-01-01 12:00:14,Indianapolis Colts,away,0.175,18,2026-01-04,Indianapolis Colts,Houston Texans
1767268815,2026-01-01 12:00:15,Houston Texans,home,0.825,18,2026-01-04,Indianapolis Colts,Houston Texans
1767312013,2026-01-02 00:00:13,Houston Texans,home,0.83,18,2026-01-04,Indianapolis Colts,Houston Texans
1767312013,2026-01-02 00:00:13,Indianapolis Colts,away,0.17,18,2026-01-04,Indianapolis Colts,Houston Texans
1767355212,2026-01-02 12:00:12,Indianapolis Colts,away,0.17,18,2026-01-04,Indianapolis Colts,Houston Texans
1767355213,2026-01-02 12:00:13,Houston Texans,home,0.83,18,2026-01-04,Indianapolis Colts,Houston Texans
1767398412,2026-01-03 00:00:12,Houston Texans,home,0.825,18,2026-01-04,Indianapolis Colts,Houston Texans
1767398412,2026-01-03 00:00:12,Indianapolis Colts,away,0.175,18,2026-01-04,Indianapolis Colts,Houston Texans
1767441613,2026-01-03 12:00:13,Indianapolis Colts,away,0.185,18,2026-01-04,Indianapolis Colts,Houston Texans
1767441614,2026-01-03 12:00:14,Houston Texans,home,0.815,18,2026-01-04,Indianapolis Colts,Houston Texans
1767484813,2026-01-04 00:00:13,Indianapolis Colts,away,0.175,18,2026-01-04,Indianapolis Colts,Houston Texans
1767484814,2026-01-04 00:00:14,Houston Texans,home,0.825,18,2026-01-04,Indianapolis Colts,Houston Texans
1767528015,2026-01-04 12:00:15,Indianapolis Colts,away,0.175,18,2026-01-04,Indianapolis Colts,Houston Texans
1767528016,2026-01-04 12:00:16,Houston Texans,home,0.825,18,2026-01-04,Indianapolis Colts,Houston Texans
1767571215,2026-01-05 00:00:15,Indianapolis Colts,away,0.0005,18,2026-01-04,Indianapolis Colts,Houston Texans
1767571216,2026-01-05 00:00:16,Houston Texans,home,0.9995,18,2026-01-04,Indianapolis Colts,Houston Texans
1767614412,2026-01-05 12:00:12,Indianapolis Colts,away,0.0005,18,2026-01-04,Indianapolis Colts,Houston Texans
1767614413,2026-01-05 12:00:13,Houston Texans,home,0.9995,18,2026-01-04,Indianapolis Colts,Houston Texans
