timestamp,datetime,team,side,probability,week,date,away_team,home_team
1760270409,2025-10-12 12:00:09,Indianapolis Colts,away,0.51,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760270410,2025-10-12 12:00:10,Los Angeles Chargers,home,0.49,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760313602,2025-10-13 00:00:02,Indianapolis Colts,away,0.495,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760313604,2025-10-13 00:00:04,Los Angeles Chargers,home,0.505,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760356819,2025-10-13 12:00:19,Indianapolis Colts,away,0.485,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760356820,2025-10-13 12:00:20,Los Angeles Chargers,home,0.515,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760400018,2025-10-14 00:00:18,Los Angeles Chargers,home,0.535,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760400018,2025-10-14 00:00:18,Indianapolis Colts,away,0.465,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760443207,2025-10-14 12:00:07,Indianapolis Colts,away,0.465,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760443224,2025-10-14 12:00:24,Los Angeles Chargers,home,0.535,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760486404,2025-10-15 00:00:04,Indianapolis Colts,away,0.455,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760486415,2025-10-15 00:00:15,Los Angeles Chargers,home,0.545,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760529620,2025-10-15 12:00:20,Indianapolis Colts,away,0.455,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760529622,2025-10-15 12:00:22,Los Angeles Chargers,home,0.545,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760572805,2025-10-16 00:00:05,Los Angeles Chargers,home,0.545,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760572821,2025-10-16 00:00:21,Indianapolis Colts,away,0.455,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760616012,2025-10-16 12:00:12,Los Angeles Chargers,home,0.545,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760616023,2025-10-16 12:00:23,Indianapolis Colts,away,0.455,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760659206,2025-10-17 00:00:06,Indianapolis Colts,away,0.455,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760659215,2025-10-17 00:00:15,Los Angeles Chargers,home,0.545,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760702420,2025-10-17 12:00:20,Los Angeles Chargers,home,0.545,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760702424,2025-10-17 12:00:24,Indianapolis Colts,away,0.455,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760745604,2025-10-18 00:00:04,Los Angeles Chargers,home,0.545,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760745608,2025-10-18 00:00:08,Indianapolis Colts,away,0.455,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760788820,2025-10-18 12:00:20,Los Angeles Chargers,home,0.545,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760788828,2025-10-18 12:00:28,Indianapolis Colts,away,0.455,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760832008,2025-10-19 00:00:08,Los Angeles Chargers,home,0.545,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760832015,2025-10-19 00:00:15,Indianapolis Colts,away,0.455,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760875209,2025-10-19 12:00:09,Indianapolis Colts,away,0.445,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760875212,2025-10-19 12:00:12,Los Angeles Chargers,home,0.555,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760918415,2025-10-20 00:00:15,Indianapolis Colts,away,0.9995,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
1760918416,2025-10-20 00:00:16,Los Angeles Chargers,home,0.0005,7,2025-10-19,Indianapolis Colts,Los Angeles Chargers
