timestamp,datetime,team,side,probability,week,date,away_team,home_team
1761480020,2025-10-26 12:00:20,Pittsburgh Steelers,home,0.4,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761480021,2025-10-26 12:00:21,Indianapolis Colts,away,0.6,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761523214,2025-10-27 00:00:14,Indianapolis Colts,away,0.6,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761523214,2025-10-27 00:00:14,Pittsburgh Steelers,home,0.4,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761566417,2025-10-27 12:00:17,Pittsburgh Steelers,home,0.37,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761566418,2025-10-27 12:00:18,Indianapolis Colts,away,0.63,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761609617,2025-10-28 00:00:17,Indianapolis Colts,away,0.605,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761609617,2025-10-28 00:00:17,Pittsburgh Steelers,home,0.395,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761652815,2025-10-28 12:00:15,Pittsburgh Steelers,home,0.385,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761652816,2025-10-28 12:00:16,Indianapolis Colts,away,0.615,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761696016,2025-10-29 00:00:16,Indianapolis Colts,away,0.625,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761696016,2025-10-29 00:00:16,Pittsburgh Steelers,home,0.375,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761782416,2025-10-30 00:00:16,Pittsburgh Steelers,home,0.385,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761782417,2025-10-30 00:00:17,Indianapolis Colts,away,0.615,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761825618,2025-10-30 12:00:18,Pittsburgh Steelers,home,0.385,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761825619,2025-10-30 12:00:19,Indianapolis Colts,away,0.615,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761868811,2025-10-31 00:00:11,Indianapolis Colts,away,0.615,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761868811,2025-10-31 00:00:11,Pittsburgh Steelers,home,0.385,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761912018,2025-10-31 12:00:18,Pittsburgh Steelers,home,0.385,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761912019,2025-10-31 12:00:19,Indianapolis Colts,away,0.615,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761955216,2025-11-01 00:00:16,Pittsburgh Steelers,home,0.385,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761955216,2025-11-01 00:00:16,Indianapolis Colts,away,0.615,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761998420,2025-11-01 12:00:20,Pittsburgh Steelers,home,0.385,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1761998421,2025-11-01 12:00:21,Indianapolis Colts,away,0.615,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1762041613,2025-11-02 00:00:13,Pittsburgh Steelers,home,0.375,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1762041613,2025-11-02 00:00:13,Indianapolis Colts,away,0.625,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1762084817,2025-11-02 12:00:17,Pittsburgh Steelers,home,0.375,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
1762084818,2025-11-02 12:00:18,Indianapolis Colts,away,0.625,9,2025-11-02,Indianapolis Colts,Pittsburgh Steelers
