timestamp,datetime,team,side,probability,week,date,away_team,home_team
1757851228,2025-09-14 12:00:28,Tennessee Titans,home,0.42,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1757851235,2025-09-14 12:00:35,Indianapolis Colts,away,0.58,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1757894405,2025-09-15 00:00:05,Indianapolis Colts,away,0.605,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1757894414,2025-09-15 00:00:14,Tennessee Titans,home,0.395,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1757937610,2025-09-15 12:00:10,Tennessee Titans,home,0.375,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1757937623,2025-09-15 12:00:23,Indianapolis Colts,away,0.625,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1757980808,2025-09-16 00:00:08,Tennessee Titans,home,0.37,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1757980817,2025-09-16 00:00:17,Indianapolis Colts,away,0.63,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758024021,2025-09-16 12:00:21,Indianapolis Colts,away,0.64,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758024029,2025-09-16 12:00:29,Tennessee Titans,home,0.36,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758067212,2025-09-17 00:00:12,Tennessee Titans,home,0.355,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758067216,2025-09-17 00:00:16,Indianapolis Colts,away,0.645,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758110414,2025-09-17 12:00:14,Indianapolis Colts,away,0.65,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758110422,2025-09-17 12:00:22,Tennessee Titans,home,0.35,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758153610,2025-09-18 00:00:10,Indianapolis Colts,away,0.645,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758153611,2025-09-18 00:00:11,Tennessee Titans,home,0.355,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758196818,2025-09-18 12:00:18,Indianapolis Colts,away,0.65,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758196820,2025-09-18 12:00:20,Tennessee Titans,home,0.35,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758240004,2025-09-19 00:00:04,Tennessee Titans,home,0.345,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758240007,2025-09-19 00:00:07,Indianapolis Colts,away,0.655,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758283229,2025-09-19 12:00:29,Tennessee Titans,home,0.345,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758283233,2025-09-19 12:00:33,Indianapolis Colts,away,0.655,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758326415,2025-09-20 00:00:15,Tennessee Titans,home,0.345,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758326417,2025-09-20 00:00:17,Indianapolis Colts,away,0.655,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758369602,2025-09-20 12:00:02,Tennessee Titans,home,0.345,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758369626,2025-09-20 12:00:26,Indianapolis Colts,away,0.655,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758412806,2025-09-21 00:00:06,Indianapolis Colts,away,0.68,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758412810,2025-09-21 00:00:10,Tennessee Titans,home,0.32,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758456007,2025-09-21 12:00:07,Indianapolis Colts,away,0.685,3,2025-09-21,Indianapolis Colts,Tennessee Titans
1758456020,2025-09-21 12:00:20,Tennessee Titans,home,0.315,3,2025-09-21,Indianapolis Colts,Tennessee Titans
